,group,variable,month,ANTIAMARÍLICA DOSIS ÚNICA DENTRO,ANTIAMARÍLICA DOSIS ÚNICA DENTRO,ANTIAMARÍLICA DOSIS ÚNICA FUERA,ANTIAMARÍLICA DOSIS ÚNICA FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACACIO,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2023-01-01,1,0,0,3,1,3,4
ACHACACHI,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2023-01-01,22,16,6,7,28,23,51
ACHOCALLA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2023-01-01,21,14,4,1,25,15,40
AIQUILE,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2023-01-01,6,1,11,7,17,8,25
ALALAY,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2023-01-01,0,0,0,1,0,1,1
ALCALA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2023-01-01,2,0,0,1,2,1,3
ALTO BENI,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2023-01-01,2,1,1,1,3,2,5
ANCORAIMES,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2023-01-01,1,1,4,4,5,5,10
ANDAMARCA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2023-01-01,1,1,2,1,3,2,5
ANTEQUERA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2023-01-01,1,3,0,0,1,3,4
ANZALDO,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2023-01-01,2,3,1,1,3,4,7
APOLO,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2023-01-01,22,12,1,3,23,15,38
ARAMPAMPA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2023-01-01,1,2,2,3,3,5,8
ARANI,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2023-01-01,4,5,1,4,5,9,14
ARBIETO,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2023-01-01,26,17,4,3,30,20,50
ARQUE,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2023-01-01,2,2,1,4,3,6,9
