,group,variable,month,PENTAVALENTE 4TA. DOSIS DENTRO,PENTAVALENTE 4TA. DOSIS DENTRO,PENTAVALENTE 4TA. DOSIS FUERA,PENTAVALENTE 4TA. DOSIS FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACACIO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,1,2,1,0,2,2,4
ACHACACHI,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,13,14,2,2,15,16,31
ACHOCALLA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,17,9,1,1,18,10,28
AIQUILE,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,6,7,3,6,9,13,22
ALCALA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,0,0,1,0,1,0,1
ALTO BENI,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,5,6,0,0,5,6,11
ANCORAIMES,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,3,2,4,2,7,4,11
ANDAMARCA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,0,1,0,1,0,2,2
ANZALDO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,3,1,0,3,3,4,7
APOLO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,7,7,3,2,10,9,19
ARANI,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,4,3,0,1,4,4,8
ARBIETO,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,15,13,5,3,20,16,36
ARQUE,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,7,4,4,1,11,5,16
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,15,7,1,1,16,8,24
ATOCHA,vacunaciones en ninos de 12 a 23 meses,pentavalente 4ta. dosis,2023-01-01,3,5,0,1,3,6,9
