,group,variable,month,SRP 2DA. DOSIS DENTRO,SRP 2DA. DOSIS DENTRO,SRP 2DA. DOSIS FUERA,SRP 2DA. DOSIS FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACACIO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,1,2,1,0,2,2,4
ACHACACHI,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,13,14,2,2,15,16,31
ACHOCALLA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,11,5,1,1,12,6,18
AIQUILE,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,6,7,3,6,9,13,22
ALCALA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,1,1,1,0,2,1,3
ALTO BENI,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,5,6,0,0,5,6,11
ANCORAIMES,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,2,2,4,2,6,4,10
ANDAMARCA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,0,1,0,0,0,1,1
ANZALDO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,1,1,1,2,2,3,5
APOLO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,7,7,3,2,10,9,19
ARAMPAMPA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,0,0,1,0,1,0,1
ARANI,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,2,2,1,0,3,2,5
ARBIETO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,12,12,5,3,17,15,32
ARQUE,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,6,3,3,1,9,4,13
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,19,26,1,1,20,27,47
ATOCHA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,4,2,0,1,4,3,7
AUCAPATA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2023-01-01,4,2,0,0,4,2,6
