,group,variable,month,ANTIROTAVIRÍCA 1RA DOSIS DENTRO,ANTIROTAVIRÍCA 1RA DOSIS DENTRO,ANTIROTAVIRÍCA 1RA DOSIS FUERA,ANTIROTAVIRÍCA 1RA DOSIS FUERA,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,,,
ACACIO,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,1,1,1,1,4
ACHACACHI,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,13,14,3,7,37
ACHOCALLA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,25,24,1,2,52
AIQUILE,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,11,5,4,2,22
ALALAY,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,0,0,3,0,3
ALCALA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,1,0,0,2,3
ALTO BENI,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,4,5,0,0,9
ANCORAIMES,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,4,2,3,2,11
ANDAMARCA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,0,1,0,0,1
ANTEQUERA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,0,2,0,0,2
ANZALDO,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,1,0,0,3,4
APOLO,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,18,11,1,0,30
ARAMPAMPA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,0,0,0,1,1
ARANI,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,3,3,1,1,8
ARBIETO,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,7,17,2,1,27
ARQUE,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,4,6,0,0,10
ASCENCION DE GUARAYOS,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,29,25,0,0,54
ATOCHA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,10,5,0,1,16
AUCAPATA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,3,4,0,0,7
AYATA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,2,0,2,1,5
AYO AYO,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,4,2,0,2,8
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,4,11,9,9,33
AZURDUY,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,5,6,1,2,14
BATALLAS,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,8,18,0,1,27
BAURES,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,1,4,0,0,5
BELEN DE ANDAMARCA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,0,0,0,1,1
BELEN DE URMIRI,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2023-01-01,1,1,0,0,2
