,group,variable,month,PENTAVALENTE 3RA DOSIS DENTRO,PENTAVALENTE 3RA DOSIS DENTRO,PENTAVALENTE 3RA DOSIS FUERA,PENTAVALENTE 3RA DOSIS FUERA,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,,,
ACACIO,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,2,1,2,0,5
ACHACACHI,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,10,15,2,2,29
ACHOCALLA,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,18,20,0,0,38
AIQUILE,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,9,14,3,3,29
ALALAY,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,0,1,1,1,3
ALCALA,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,2,1,0,1,4
ALTO BENI,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,5,2,0,0,7
ANCORAIMES,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,5,6,1,4,16
ANTEQUERA,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,3,2,0,0,5
ANZALDO,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,0,3,2,5,10
APOLO,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,7,9,1,4,21
ARAMPAMPA,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,0,0,1,2,3
ARANI,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,4,8,2,3,17
ARBIETO,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,13,18,2,3,36
ARQUE,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,5,1,2,1,9
ASCENCION DE GUARAYOS,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,44,30,0,2,76
ATOCHA,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,8,9,1,0,18
AYATA,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,0,1,2,2,5
AYO AYO,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,1,2,0,0,3
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,11,5,2,4,22
AZURDUY,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,4,2,3,1,10
BATALLAS,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,12,12,0,0,24
BAURES,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,3,1,1,1,6
BELEN DE URMIRI,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,0,0,1,0,1
BELLA FLOR,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,2,3,0,1,6
BERMEJO,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,22,19,0,1,42
BETANZOS,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,14,15,3,6,38
BOLIVAR,vacunaciones en menores de 1 ano,pentavalente 3ra dosis,2023-01-01,2,3,1,0,6
