,group,variable,month,ANTIPOLIOMIELÍTICA 2DA DOSIS DENTRO,ANTIPOLIOMIELÍTICA 2DA DOSIS DENTRO,ANTIPOLIOMIELÍTICA 2DA DOSIS FUERA,ANTIPOLIOMIELÍTICA 2DA DOSIS FUERA,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,,,
ACACIO,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,2,3,1,0,6
ACHACACHI,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,8,12,2,8,30
ACHOCALLA,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,32,19,1,2,54
AIQUILE,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,8,14,3,6,31
ALALAY,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,0,0,2,0,2
ALCALA,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,2,0,0,0,2
ALTO BENI,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,2,4,0,1,7
ANCORAIMES,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,4,4,1,4,13
ANDAMARCA,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,2,2,0,1,5
ANTEQUERA,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,1,1,0,0,2
ANZALDO,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,1,2,0,2,5
APOLO,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,7,16,5,2,30
ARAMPAMPA,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,0,1,3,4,8
ARANI,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,2,6,3,2,13
ARBIETO,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,18,11,1,4,34
ARQUE,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,9,8,4,0,21
ASCENCION DE GUARAYOS,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,16,20,0,0,36
ATOCHA,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,5,6,0,0,11
AUCAPATA,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,2,4,0,0,6
AYATA,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,3,1,1,1,6
AYO AYO,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,4,4,2,0,10
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,6,16,8,8,38
AZURDUY,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,4,3,4,2,13
BATALLAS,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,9,13,0,0,22
BAURES,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,2,2,1,1,6
BELEN DE ANDAMARCA,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,0,0,0,2,2
BELEN DE URMIRI,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2023-01-01,1,1,0,1,3
