,group,variable,month,BCG DENTRO,BCG DENTRO,BCG FUERA,BCG FUERA,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,,,
ACHACACHI,vacunaciones en menores de 1 ano,bcg,2023-01-01,15,21,4,8,48
ACHOCALLA,vacunaciones en menores de 1 ano,bcg,2023-01-01,7,10,4,3,24
AIQUILE,vacunaciones en menores de 1 ano,bcg,2023-01-01,14,15,4,2,35
ALALAY,vacunaciones en menores de 1 ano,bcg,2023-01-01,0,0,2,2,4
ALCALA,vacunaciones en menores de 1 ano,bcg,2023-01-01,0,1,0,0,1
ALTO BENI,vacunaciones en menores de 1 ano,bcg,2023-01-01,2,3,0,0,5
ANCORAIMES,vacunaciones en menores de 1 ano,bcg,2023-01-01,1,0,3,7,11
ANDAMARCA,vacunaciones en menores de 1 ano,bcg,2023-01-01,0,0,1,1,2
ANZALDO,vacunaciones en menores de 1 ano,bcg,2023-01-01,1,1,2,4,8
APOLO,vacunaciones en menores de 1 ano,bcg,2023-01-01,8,9,2,6,25
ARAMPAMPA,vacunaciones en menores de 1 ano,bcg,2023-01-01,0,0,1,1,2
ARANI,vacunaciones en menores de 1 ano,bcg,2023-01-01,3,1,2,2,8
ARBIETO,vacunaciones en menores de 1 ano,bcg,2023-01-01,6,7,1,0,14
ARQUE,vacunaciones en menores de 1 ano,bcg,2023-01-01,0,2,5,3,10
ASCENCION DE GUARAYOS,vacunaciones en menores de 1 ano,bcg,2023-01-01,20,20,0,0,40
ATOCHA,vacunaciones en menores de 1 ano,bcg,2023-01-01,3,5,0,0,8
AUCAPATA,vacunaciones en menores de 1 ano,bcg,2023-01-01,2,1,1,1,5
AYATA,vacunaciones en menores de 1 ano,bcg,2023-01-01,1,1,1,5,8
AYO AYO,vacunaciones en menores de 1 ano,bcg,2023-01-01,0,0,7,3,10
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en menores de 1 ano,bcg,2023-01-01,5,8,10,7,30
AZURDUY,vacunaciones en menores de 1 ano,bcg,2023-01-01,1,2,1,2,6
BATALLAS,vacunaciones en menores de 1 ano,bcg,2023-01-01,8,7,4,6,25
BAURES,vacunaciones en menores de 1 ano,bcg,2023-01-01,2,3,0,0,5
BELLA FLOR,vacunaciones en menores de 1 ano,bcg,2023-01-01,0,1,0,0,1
BERMEJO,vacunaciones en menores de 1 ano,bcg,2023-01-01,29,25,0,0,54
BETANZOS,vacunaciones en menores de 1 ano,bcg,2023-01-01,16,13,4,5,38
BOLIVAR,vacunaciones en menores de 1 ano,bcg,2023-01-01,0,3,1,0,4
BOYUIBE,vacunaciones en menores de 1 ano,bcg,2023-01-01,3,0,0,0,3
BUENA VISTA,vacunaciones en menores de 1 ano,bcg,2023-01-01,1,3,0,0,4
CABEZAS,vacunaciones en menores de 1 ano,bcg,2023-01-01,13,12,11,12,48
CAIROMA,vacunaciones en menores de 1 ano,bcg,2023-01-01,0,2,5,1,8
"CAIZA ""D""",vacunaciones en menores de 1 ano,bcg,2023-01-01,4,2,1,2,9
CAJUATA,vacunaciones en menores de 1 ano,bcg,2023-01-01,7,0,0,0,7
CALACOTO,vacunaciones en menores de 1 ano,bcg,2023-01-01,0,0,2,4,6
CALAMARCA,vacunaciones en menores de 1 ano,bcg,2023-01-01,8,3,0,2,13
