,group,variable,month,OTROS EN MENORES DE 5 AÑOS CANTIDAD,OTROS EN MENORES DE 5 AÑOS CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
AIQUILE,diagnostico de egreso,otros en menores de 5 anos,2012-01-01,1,0,1
ASCENCION DE GUARAYOS,diagnostico de egreso,otros en menores de 5 anos,2012-01-01,26,29,55
BERMEJO,diagnostico de egreso,otros en menores de 5 anos,2012-01-01,175,149,324
CABEZAS,diagnostico de egreso,otros en menores de 5 anos,2012-01-01,1,0,1
CAMARGO,diagnostico de egreso,otros en menores de 5 anos,2012-01-01,6,13,19
CAMIRI,diagnostico de egreso,otros en menores de 5 anos,2012-01-01,33,31,64
CARMEN RIVERO TORREZ,diagnostico de egreso,otros en menores de 5 anos,2012-01-01,15,4,19
CHALLAPATA,diagnostico de egreso,otros en menores de 5 anos,2012-01-01,4,4,8
CHARAGUA,diagnostico de egreso,otros en menores de 5 anos,2012-01-01,4,3,7
CHULUMANI (V. DE LA LIBERTAD),diagnostico de egreso,otros en menores de 5 anos,2012-01-01,1,1,2
CLIZA,diagnostico de egreso,otros en menores de 5 anos,2012-01-01,1,0,1
COBIJA,diagnostico de egreso,otros en menores de 5 anos,2012-01-01,70,64,134
COCHABAMBA,diagnostico de egreso,otros en menores de 5 anos,2012-01-01,273,239,512
COLCAPIRHUA,diagnostico de egreso,otros en menores de 5 anos,2012-01-01,9,8,17
COROICO,diagnostico de egreso,otros en menores de 5 anos,2012-01-01,2,2,4
CULPINA,diagnostico de egreso,otros en menores de 5 anos,2012-01-01,0,2,2
EL ALTO,diagnostico de egreso,otros en menores de 5 anos,2012-01-01,330,331,661
EL PUENTE(TJA),diagnostico de egreso,otros en menores de 5 anos,2012-01-01,1,1,2
EL TORNO,diagnostico de egreso,otros en menores de 5 anos,2012-01-01,4,0,4
ENTRE RIOS TRJ,diagnostico de egreso,otros en menores de 5 anos,2012-01-01,0,5,5
GUAYARAMERIN,diagnostico de egreso,otros en menores de 5 anos,2012-01-01,17,15,32
GUTIERREZ,diagnostico de egreso,otros en menores de 5 anos,2012-01-01,2,3,5
HUANUNI,diagnostico de egreso,otros en menores de 5 anos,2012-01-01,3,1,4
LA ASUNTA,diagnostico de egreso,otros en menores de 5 anos,2012-01-01,2,0,2
LA PAZ,diagnostico de egreso,otros en menores de 5 anos,2012-01-01,268,353,621
LLALLAGUA,diagnostico de egreso,otros en menores de 5 anos,2012-01-01,10,1,11
MAGDALENA,diagnostico de egreso,otros en menores de 5 anos,2012-01-01,2,1,3
MAIRANA,diagnostico de egreso,otros en menores de 5 anos,2012-01-01,0,4,4
MONTEAGUDO,diagnostico de egreso,otros en menores de 5 anos,2012-01-01,7,8,15
MONTERO,diagnostico de egreso,otros en menores de 5 anos,2012-01-01,55,49,104
ORURO,diagnostico de egreso,otros en menores de 5 anos,2012-01-01,24,25,49
PADILLA,diagnostico de egreso,otros en menores de 5 anos,2012-01-01,1,3,4
PAILON,diagnostico de egreso,otros en menores de 5 anos,2012-01-01,1,0,1
PALOS BLANCOS,diagnostico de egreso,otros en menores de 5 anos,2012-01-01,3,2,5
PATACAMAYA,diagnostico de egreso,otros en menores de 5 anos,2012-01-01,1,1,2
PORTACHUELO,diagnostico de egreso,otros en menores de 5 anos,2012-01-01,51,45,96
POTOSI,diagnostico de egreso,otros en menores de 5 anos,2012-01-01,68,42,110
PUERTO VILLARROEL,diagnostico de egreso,otros en menores de 5 anos,2012-01-01,17,8,25
PUNA,diagnostico de egreso,otros en menores de 5 anos,2012-01-01,27,27,54
PUNATA,diagnostico de egreso,otros en menores de 5 anos,2012-01-01,24,12,36
QUILLACOLLO,diagnostico de egreso,otros en menores de 5 anos,2012-01-01,7,6,13
RIBERALTA,diagnostico de egreso,otros en menores de 5 anos,2012-01-01,18,15,33
ROBORE,diagnostico de egreso,otros en menores de 5 anos,2012-01-01,5,0,5
RURRENABAQUE,diagnostico de egreso,otros en menores de 5 anos,2012-01-01,4,8,12
SACABA,diagnostico de egreso,otros en menores de 5 anos,2012-01-01,24,32,56
SAMAIPATA,diagnostico de egreso,otros en menores de 5 anos,2012-01-01,0,1,1
SAN BORJA,diagnostico de egreso,otros en menores de 5 anos,2012-01-01,6,1,7
