,group,variable,month,NEUMONÍAS EN MENORES DE 5 AÑOS CANTIDAD,NEUMONÍAS EN MENORES DE 5 AÑOS CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
ASCENCION DE GUARAYOS,diagnostico de egreso,neumonias en menores de 5 anos,2012-01-01,4,3,7
AZURDUY,diagnostico de egreso,neumonias en menores de 5 anos,2012-01-01,1,1,2
BERMEJO,diagnostico de egreso,neumonias en menores de 5 anos,2012-01-01,2,1,3
CABEZAS,diagnostico de egreso,neumonias en menores de 5 anos,2012-01-01,1,1,2
CAMIRI,diagnostico de egreso,neumonias en menores de 5 anos,2012-01-01,2,1,3
CHALLAPATA,diagnostico de egreso,neumonias en menores de 5 anos,2012-01-01,3,0,3
CHARAGUA,diagnostico de egreso,neumonias en menores de 5 anos,2012-01-01,1,5,6
CLIZA,diagnostico de egreso,neumonias en menores de 5 anos,2012-01-01,3,0,3
COBIJA,diagnostico de egreso,neumonias en menores de 5 anos,2012-01-01,13,8,21
COCHABAMBA,diagnostico de egreso,neumonias en menores de 5 anos,2012-01-01,52,52,104
COLCAPIRHUA,diagnostico de egreso,neumonias en menores de 5 anos,2012-01-01,1,2,3
COMARAPA,diagnostico de egreso,neumonias en menores de 5 anos,2012-01-01,3,0,3
CONCEPCION,diagnostico de egreso,neumonias en menores de 5 anos,2012-01-01,2,1,3
COROICO,diagnostico de egreso,neumonias en menores de 5 anos,2012-01-01,1,0,1
EL ALTO,diagnostico de egreso,neumonias en menores de 5 anos,2012-01-01,50,52,102
GUAYARAMERIN,diagnostico de egreso,neumonias en menores de 5 anos,2012-01-01,0,1,1
HUANUNI,diagnostico de egreso,neumonias en menores de 5 anos,2012-01-01,0,1,1
IRUPANA (VILLA DE LANZA),diagnostico de egreso,neumonias en menores de 5 anos,2012-01-01,1,0,1
LA PAZ,diagnostico de egreso,neumonias en menores de 5 anos,2012-01-01,22,16,38
LLALLAGUA,diagnostico de egreso,neumonias en menores de 5 anos,2012-01-01,2,1,3
MAGDALENA,diagnostico de egreso,neumonias en menores de 5 anos,2012-01-01,1,0,1
MAIRANA,diagnostico de egreso,neumonias en menores de 5 anos,2012-01-01,1,1,2
MONTEAGUDO,diagnostico de egreso,neumonias en menores de 5 anos,2012-01-01,1,2,3
MONTERO,diagnostico de egreso,neumonias en menores de 5 anos,2012-01-01,12,14,26
ORURO,diagnostico de egreso,neumonias en menores de 5 anos,2012-01-01,6,5,11
PADILLA,diagnostico de egreso,neumonias en menores de 5 anos,2012-01-01,1,1,2
PAILON,diagnostico de egreso,neumonias en menores de 5 anos,2012-01-01,2,0,2
PALOS BLANCOS,diagnostico de egreso,neumonias en menores de 5 anos,2012-01-01,0,1,1
PATACAMAYA,diagnostico de egreso,neumonias en menores de 5 anos,2012-01-01,1,0,1
PORTACHUELO,diagnostico de egreso,neumonias en menores de 5 anos,2012-01-01,9,7,16
POTOSI,diagnostico de egreso,neumonias en menores de 5 anos,2012-01-01,20,3,23
PUERTO RICO,diagnostico de egreso,neumonias en menores de 5 anos,2012-01-01,0,1,1
PUERTO SUAREZ,diagnostico de egreso,neumonias en menores de 5 anos,2012-01-01,1,1,2
PUERTO VILLARROEL,diagnostico de egreso,neumonias en menores de 5 anos,2012-01-01,2,1,3
PUNA,diagnostico de egreso,neumonias en menores de 5 anos,2012-01-01,1,0,1
PUNATA,diagnostico de egreso,neumonias en menores de 5 anos,2012-01-01,0,1,1
QUILLACOLLO,diagnostico de egreso,neumonias en menores de 5 anos,2012-01-01,0,2,2
REYES,diagnostico de egreso,neumonias en menores de 5 anos,2012-01-01,1,0,1
RIBERALTA,diagnostico de egreso,neumonias en menores de 5 anos,2012-01-01,3,2,5
ROBORE,diagnostico de egreso,neumonias en menores de 5 anos,2012-01-01,1,0,1
RURRENABAQUE,diagnostico de egreso,neumonias en menores de 5 anos,2012-01-01,1,2,3
SACABA,diagnostico de egreso,neumonias en menores de 5 anos,2012-01-01,3,3,6
SAMAIPATA,diagnostico de egreso,neumonias en menores de 5 anos,2012-01-01,1,0,1
SAN ANTONIO DE LOMERIO,diagnostico de egreso,neumonias en menores de 5 anos,2012-01-01,0,1,1
SAN BORJA,diagnostico de egreso,neumonias en menores de 5 anos,2012-01-01,1,2,3
