,group,variable,month,DIARREAS EN MENORES DE 5 AÑOS CANTIDAD,DIARREAS EN MENORES DE 5 AÑOS CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
ASCENCION DE GUARAYOS,diagnostico de egreso,diarreas en menores de 5 anos,2012-01-01,1,0,1
AZURDUY,diagnostico de egreso,diarreas en menores de 5 anos,2012-01-01,1,0,1
BERMEJO,diagnostico de egreso,diarreas en menores de 5 anos,2012-01-01,25,21,46
BOYUIBE,diagnostico de egreso,diarreas en menores de 5 anos,2012-01-01,1,1,2
CABEZAS,diagnostico de egreso,diarreas en menores de 5 anos,2012-01-01,0,1,1
CAMARGO,diagnostico de egreso,diarreas en menores de 5 anos,2012-01-01,1,0,1
CAMIRI,diagnostico de egreso,diarreas en menores de 5 anos,2012-01-01,6,7,13
CAPINOTA,diagnostico de egreso,diarreas en menores de 5 anos,2012-01-01,1,1,2
CARMEN RIVERO TORREZ,diagnostico de egreso,diarreas en menores de 5 anos,2012-01-01,3,0,3
CHARAGUA,diagnostico de egreso,diarreas en menores de 5 anos,2012-01-01,6,4,10
CHULUMANI (V. DE LA LIBERTAD),diagnostico de egreso,diarreas en menores de 5 anos,2012-01-01,0,1,1
CLIZA,diagnostico de egreso,diarreas en menores de 5 anos,2012-01-01,1,0,1
COBIJA,diagnostico de egreso,diarreas en menores de 5 anos,2012-01-01,12,14,26
COCHABAMBA,diagnostico de egreso,diarreas en menores de 5 anos,2012-01-01,94,57,151
COLCAPIRHUA,diagnostico de egreso,diarreas en menores de 5 anos,2012-01-01,1,1,2
COMARAPA,diagnostico de egreso,diarreas en menores de 5 anos,2012-01-01,0,1,1
CONCEPCION,diagnostico de egreso,diarreas en menores de 5 anos,2012-01-01,0,2,2
EL ALTO,diagnostico de egreso,diarreas en menores de 5 anos,2012-01-01,89,83,172
EL TORNO,diagnostico de egreso,diarreas en menores de 5 anos,2012-01-01,3,0,3
GUAYARAMERIN,diagnostico de egreso,diarreas en menores de 5 anos,2012-01-01,11,13,24
GUTIERREZ,diagnostico de egreso,diarreas en menores de 5 anos,2012-01-01,1,0,1
HUANUNI,diagnostico de egreso,diarreas en menores de 5 anos,2012-01-01,2,0,2
LA ASUNTA,diagnostico de egreso,diarreas en menores de 5 anos,2012-01-01,3,3,6
LA PAZ,diagnostico de egreso,diarreas en menores de 5 anos,2012-01-01,23,20,43
LLALLAGUA,diagnostico de egreso,diarreas en menores de 5 anos,2012-01-01,3,2,5
MAGDALENA,diagnostico de egreso,diarreas en menores de 5 anos,2012-01-01,5,1,6
MAIRANA,diagnostico de egreso,diarreas en menores de 5 anos,2012-01-01,0,5,5
MONTEAGUDO,diagnostico de egreso,diarreas en menores de 5 anos,2012-01-01,1,2,3
MONTERO,diagnostico de egreso,diarreas en menores de 5 anos,2012-01-01,20,11,31
ORURO,diagnostico de egreso,diarreas en menores de 5 anos,2012-01-01,14,14,28
PAILON,diagnostico de egreso,diarreas en menores de 5 anos,2012-01-01,2,2,4
PALOS BLANCOS,diagnostico de egreso,diarreas en menores de 5 anos,2012-01-01,1,0,1
PATACAMAYA,diagnostico de egreso,diarreas en menores de 5 anos,2012-01-01,0,1,1
PORTACHUELO,diagnostico de egreso,diarreas en menores de 5 anos,2012-01-01,8,6,14
POTOSI,diagnostico de egreso,diarreas en menores de 5 anos,2012-01-01,14,7,21
PUERTO RICO,diagnostico de egreso,diarreas en menores de 5 anos,2012-01-01,0,1,1
PUERTO SUAREZ,diagnostico de egreso,diarreas en menores de 5 anos,2012-01-01,2,1,3
PUERTO VILLARROEL,diagnostico de egreso,diarreas en menores de 5 anos,2012-01-01,4,2,6
PUNA,diagnostico de egreso,diarreas en menores de 5 anos,2012-01-01,20,13,33
PUNATA,diagnostico de egreso,diarreas en menores de 5 anos,2012-01-01,6,2,8
QUILLACOLLO,diagnostico de egreso,diarreas en menores de 5 anos,2012-01-01,0,1,1
REYES,diagnostico de egreso,diarreas en menores de 5 anos,2012-01-01,1,0,1
RIBERALTA,diagnostico de egreso,diarreas en menores de 5 anos,2012-01-01,8,2,10
ROBORE,diagnostico de egreso,diarreas en menores de 5 anos,2012-01-01,1,0,1
RURRENABAQUE,diagnostico de egreso,diarreas en menores de 5 anos,2012-01-01,5,2,7
