municipality,group,variable,month,AQV femenino,TOTAL
ACHACACHI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2012-01-01,3,3
ASCENCION DE GUARAYOS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2012-01-01,2,2
AZURDUY,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2012-01-01,2,2
BAURES,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2012-01-01,1,1
BERMEJO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2012-01-01,1,1
CALAMARCA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2012-01-01,2,2
CAMARGO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2012-01-01,3,3
CAMIRI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2012-01-01,14,14
CARANAVI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2012-01-01,3,3
CHARAGUA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2012-01-01,5,5
COBIJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2012-01-01,23,23
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2012-01-01,75,75
COLCAPIRHUA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2012-01-01,6,6
COLQUECHACA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2012-01-01,5,5
COMARAPA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2012-01-01,4,4
CONCEPCION,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2012-01-01,7,7
CULPINA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2012-01-01,2,2
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2012-01-01,24,24
EL TORNO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2012-01-01,2,2
GUAYARAMERIN,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2012-01-01,1,1
GUTIERREZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2012-01-01,9,9
