municipality,group,variable,month,AQV masculino,TOTAL
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2012-01-01,3,3
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2012-01-01,1,1
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2012-01-01,9,9
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2012-01-01,1,1
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2012-02-01,1,1
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2012-02-01,3,3
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2012-02-01,3,3
COBIJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2012-03-01,2,2
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2012-03-01,3,3
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2012-03-01,4,4
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2012-03-01,2,2
COBIJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2012-04-01,2,2
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2012-04-01,1,1
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2012-04-01,5,5
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2012-04-01,1,1
COBIJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2012-05-01,4,4
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2012-05-01,7,7
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2012-05-01,1,1
SUCRE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2012-05-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2012-06-01,1,1
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2012-06-01,4,4
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2012-06-01,3,3
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2012-06-01,8,8
SAN JAVIER(STC),"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2012-06-01,2,2
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2012-06-01,1,1
SUCRE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2012-06-01,2,2
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2012-07-01,1,1
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2012-07-01,3,3
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2012-07-01,2,2
TARIJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2012-07-01,8,8
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2012-08-01,1,1
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2012-08-01,2,2
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2012-08-01,4,4
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2012-08-01,2,2
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2012-09-01,1,1
COLCAPIRHUA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2012-09-01,1,1
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2012-09-01,6,6
MINEROS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2012-09-01,4,4
POTOSI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2012-09-01,4,4
QUILLACOLLO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2012-09-01,2,2
SUCRE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2012-09-01,1,1
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2012-10-01,4,4
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2012-10-01,15,15
SUCRE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2012-10-01,2,2
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2012-11-01,19,19
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2012-11-01,9,9
PAILON,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2012-11-01,2,2
SAN JULIAN,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2012-11-01,1,1
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2012-11-01,2,2
SUCRE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2012-11-01,2,2
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2012-12-01,1,1
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2012-12-01,1,1
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2012-12-01,3,3
