municipality,group,variable,month,Adultos(as) mayores de 60 años que reciben Complemento Nutricional,TOTAL
ACACIO,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2017-01-01,447,447
ACHOCALLA,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2017-01-01,337,337
AIQUILE,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2017-01-01,1290,1290
ALALAY,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2017-01-01,131,131
ALCALA,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2017-01-01,70,70
ANDAMARCA,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2017-01-01,22,22
ANTEQUERA,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2017-01-01,72,72
ANZALDO,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2017-01-01,605,605
ARAMPAMPA,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2017-01-01,278,278
ARANI,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2017-01-01,573,573
ARBIETO,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2017-01-01,969,969
ARQUE,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2017-01-01,166,166
ASCENCION DE GUARAYOS,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2017-01-01,24,24
ATOCHA,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2017-01-01,27,27
AYOPAYA (V. DE INDEPENDENCIA),micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2017-01-01,326,326
BATALLAS,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2017-01-01,165,165
BAURES,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2017-01-01,3,3
BELEN DE ANDAMARCA,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2017-01-01,2,2
BELEN DE URMIRI,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2017-01-01,148,148
BELLA FLOR,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2017-01-01,89,89
BOLPEBRA,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2017-01-01,7,7
BOYUIBE,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2017-01-01,167,167
CABEZAS,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2017-01-01,248,248
CAIROMA,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2017-01-01,297,297
CALAMARCA,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2017-01-01,68,68
CAMARGO,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2017-01-01,764,764
CAMATAQUI (C. VILLA ABECIA),micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2017-01-01,288,288
CAMIRI,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2017-01-01,678,678
CAPINOTA,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2017-01-01,609,609
CARANAVI,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2017-01-01,114,114
CARIPUYO,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2017-01-01,287,287
CHALLAPATA,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2017-01-01,368,368
CHAQUI,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2017-01-01,975,975
CHARAGUA,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2017-01-01,33,33
CHIPAYA,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2017-01-01,43,43
CHOQUE COTA,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2017-01-01,105,105
