municipality,group,variable,month,Niñas(os) de 2 años a menores de 5 años con 2da dosis vitamina A,TOTAL
ACACIO,micronutrientes,ninas(os) de 2 anos a menores de 5 anos con 2da dosis vitamina a,2017-01-01,25,25
ACHACACHI,micronutrientes,ninas(os) de 2 anos a menores de 5 anos con 2da dosis vitamina a,2017-01-01,27,27
ACHOCALLA,micronutrientes,ninas(os) de 2 anos a menores de 5 anos con 2da dosis vitamina a,2017-01-01,47,47
AIQUILE,micronutrientes,ninas(os) de 2 anos a menores de 5 anos con 2da dosis vitamina a,2017-01-01,31,31
ALALAY,micronutrientes,ninas(os) de 2 anos a menores de 5 anos con 2da dosis vitamina a,2017-01-01,2,2
ALCALA,micronutrientes,ninas(os) de 2 anos a menores de 5 anos con 2da dosis vitamina a,2017-01-01,12,12
ALTO BENI,micronutrientes,ninas(os) de 2 anos a menores de 5 anos con 2da dosis vitamina a,2017-01-01,39,39
ANCORAIMES,micronutrientes,ninas(os) de 2 anos a menores de 5 anos con 2da dosis vitamina a,2017-01-01,28,28
ANDAMARCA,micronutrientes,ninas(os) de 2 anos a menores de 5 anos con 2da dosis vitamina a,2017-01-01,11,11
ANTEQUERA,micronutrientes,ninas(os) de 2 anos a menores de 5 anos con 2da dosis vitamina a,2017-01-01,2,2
ANZALDO,micronutrientes,ninas(os) de 2 anos a menores de 5 anos con 2da dosis vitamina a,2017-01-01,11,11
APOLO,micronutrientes,ninas(os) de 2 anos a menores de 5 anos con 2da dosis vitamina a,2017-01-01,50,50
ARAMPAMPA,micronutrientes,ninas(os) de 2 anos a menores de 5 anos con 2da dosis vitamina a,2017-01-01,10,10
ARANI,micronutrientes,ninas(os) de 2 anos a menores de 5 anos con 2da dosis vitamina a,2017-01-01,9,9
ARBIETO,micronutrientes,ninas(os) de 2 anos a menores de 5 anos con 2da dosis vitamina a,2017-01-01,44,44
ARQUE,micronutrientes,ninas(os) de 2 anos a menores de 5 anos con 2da dosis vitamina a,2017-01-01,18,18
ASCENCION DE GUARAYOS,micronutrientes,ninas(os) de 2 anos a menores de 5 anos con 2da dosis vitamina a,2017-01-01,33,33
ATOCHA,micronutrientes,ninas(os) de 2 anos a menores de 5 anos con 2da dosis vitamina a,2017-01-01,26,26
AUCAPATA,micronutrientes,ninas(os) de 2 anos a menores de 5 anos con 2da dosis vitamina a,2017-01-01,5,5
AYATA,micronutrientes,ninas(os) de 2 anos a menores de 5 anos con 2da dosis vitamina a,2017-01-01,19,19
AYO AYO,micronutrientes,ninas(os) de 2 anos a menores de 5 anos con 2da dosis vitamina a,2017-01-01,2,2
AYOPAYA (V. DE INDEPENDENCIA),micronutrientes,ninas(os) de 2 anos a menores de 5 anos con 2da dosis vitamina a,2017-01-01,32,32
AZURDUY,micronutrientes,ninas(os) de 2 anos a menores de 5 anos con 2da dosis vitamina a,2017-01-01,25,25
BATALLAS,micronutrientes,ninas(os) de 2 anos a menores de 5 anos con 2da dosis vitamina a,2017-01-01,8,8
BAURES,micronutrientes,ninas(os) de 2 anos a menores de 5 anos con 2da dosis vitamina a,2017-01-01,13,13
BELEN DE ANDAMARCA,micronutrientes,ninas(os) de 2 anos a menores de 5 anos con 2da dosis vitamina a,2017-01-01,2,2
BELEN DE URMIRI,micronutrientes,ninas(os) de 2 anos a menores de 5 anos con 2da dosis vitamina a,2017-01-01,3,3
BELLA FLOR,micronutrientes,ninas(os) de 2 anos a menores de 5 anos con 2da dosis vitamina a,2017-01-01,13,13
BERMEJO,micronutrientes,ninas(os) de 2 anos a menores de 5 anos con 2da dosis vitamina a,2017-01-01,31,31
BETANZOS,micronutrientes,ninas(os) de 2 anos a menores de 5 anos con 2da dosis vitamina a,2017-01-01,52,52
BOLIVAR,micronutrientes,ninas(os) de 2 anos a menores de 5 anos con 2da dosis vitamina a,2017-01-01,24,24
BOLPEBRA,micronutrientes,ninas(os) de 2 anos a menores de 5 anos con 2da dosis vitamina a,2017-01-01,11,11
BOYUIBE,micronutrientes,ninas(os) de 2 anos a menores de 5 anos con 2da dosis vitamina a,2017-01-01,14,14
BUENA VISTA,micronutrientes,ninas(os) de 2 anos a menores de 5 anos con 2da dosis vitamina a,2017-01-01,31,31
CABEZAS,micronutrientes,ninas(os) de 2 anos a menores de 5 anos con 2da dosis vitamina a,2017-01-01,70,70
CAIROMA,micronutrientes,ninas(os) de 2 anos a menores de 5 anos con 2da dosis vitamina a,2017-01-01,25,25
"CAIZA ""D""",micronutrientes,ninas(os) de 2 anos a menores de 5 anos con 2da dosis vitamina a,2017-01-01,15,15
CAJUATA,micronutrientes,ninas(os) de 2 anos a menores de 5 anos con 2da dosis vitamina a,2017-01-01,5,5
CALAMARCA,micronutrientes,ninas(os) de 2 anos a menores de 5 anos con 2da dosis vitamina a,2017-01-01,28,28
CAMARGO,micronutrientes,ninas(os) de 2 anos a menores de 5 anos con 2da dosis vitamina a,2017-01-01,30,30
CAMATAQUI (C. VILLA ABECIA),micronutrientes,ninas(os) de 2 anos a menores de 5 anos con 2da dosis vitamina a,2017-01-01,8,8
CAMIRI,micronutrientes,ninas(os) de 2 anos a menores de 5 anos con 2da dosis vitamina a,2017-01-01,42,42
CAPINOTA,micronutrientes,ninas(os) de 2 anos a menores de 5 anos con 2da dosis vitamina a,2017-01-01,33,33
