municipality,group,variable,month,Niñas(os) de 1 año que reciben alimento complementario,TOTAL
ACACIO,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,54,54
ACHACACHI,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,285,285
ACHOCALLA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,230,230
AIQUILE,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,306,306
ALALAY,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,32,32
ALCALA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,39,39
ALTO BENI,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,64,64
ANCORAIMES,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,107,107
ANDAMARCA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,48,48
ANTEQUERA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,27,27
ANZALDO,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,60,60
APOLO,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,169,169
ARAMPAMPA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,53,53
ARANI,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,103,103
ARBIETO,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,137,137
ARQUE,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,160,160
ASCENCION DE GUARAYOS,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,4,4
ATOCHA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,93,93
AUCAPATA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,61,61
AYATA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,94,94
AYO AYO,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,6,6
AYOPAYA (V. DE INDEPENDENCIA),micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,158,158
AZURDUY,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,155,155
BATALLAS,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,7,7
BAURES,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,37,37
BELEN DE ANDAMARCA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,16,16
BELEN DE URMIRI,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,19,19
BELLA FLOR,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,45,45
BETANZOS,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,427,427
BOLPEBRA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,23,23
BOYUIBE,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,71,71
BUENA VISTA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,137,137
CABEZAS,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,1,1
CAIROMA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,121,121
"CAIZA ""D""",micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,108,108
CAJUATA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,64,64
CALACOTO,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,28,28
CAMARGO,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,145,145
CAMATAQUI (C. VILLA ABECIA),micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,36,36
CAMIRI,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,224,224
CAPINOTA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,272,272
CAQUIAVIRI,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,92,92
CARACOLLO,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,267,267
CARAPARI,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,212,212
CARIPUYO,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,55,55
CARMEN RIVERO TORREZ,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,30,30
CATACORA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,7,7
CHACARILLA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,18,18
CHALLAPATA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,450,450
CHAQUI,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,124,124
CHARAGUA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,103,103
CHARAÑA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,10,10
CHAYANTA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,217,217
CHIMORE,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,274,274
CHIPAYA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2017-01-01,3,3
