municipality,group,variable,month,RN con corte tardío de Cordón Umbilical,TOTAL
ACACIO,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,3,3
ACHACACHI,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,47,47
ACHOCALLA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,18,18
AIQUILE,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,20,20
ALALAY,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,1,1
ALTO BENI,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,1,1
ANDAMARCA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,2,2
ANTEQUERA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,1,1
ANZALDO,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,5,5
APOLO,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,15,15
ARAMPAMPA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,2,2
ASCENCION DE GUARAYOS,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,33,33
ATOCHA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,3,3
AYATA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,4,4
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,1,1
AZURDUY,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,4,4
BAURES,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,2,2
BELLA FLOR,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,1,1
BERMEJO,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,35,35
BETANZOS,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,20,20
BOLIVAR,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,2,2
BOYUIBE,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,2,2
CABEZAS,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,7,7
CAIROMA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,5,5
"CAIZA ""D""",atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,8,8
CAJUATA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,9,9
CALAMARCA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,4,4
CAMARGO,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,17,17
CAMATAQUI (C. VILLA ABECIA),atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,1,1
CAPINOTA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,20,20
CAQUIAVIRI,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,3,3
CARACOLLO,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,13,13
CARANAVI,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,6,6
CARAPARI,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,6,6
CARIPUYO,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,5,5
CHALLAPATA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,3,3
CHAQUI,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,1,1
CHARAGUA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,1,1
CHAYANTA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,9,9
CHIMORE,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,1,1
CHULUMANI (V. DE LA LIBERTAD),atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,11,11
CHUMA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,3,3
CHUQUIHUTA AYLLU JUCUMANI,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,6,6
CKOCHAS,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,3,3
CLIZA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,14,14
COBIJA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,4,4
COCAPATA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,7,7
COCHABAMBA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,54,54
"COLCHA ""K""",atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,7,7
COLLANA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,1,1
COLOMI,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,1,1
COLQUECHACA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,9,9
COLQUENCHA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,7,7
COLQUIRI,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,5,5
COPACABANA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,6,6
CORIPATA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,9,9
COROICO,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,32,32
COTAGAITA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,10,10
CUEVO,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,1,1
CULPINA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,13,13
DESAGUADERO,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,1,1
EL ALTO,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,264,264
EL CHORO,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,2,2
EL PUENTE(STC),atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,4,4
EL PUENTE(TJA),atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,5,5
EL VILLAR,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,1,1
ENTRE RIOS CBBA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,49,49
EUCALIPTUS,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,2,2
EXALTACION,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,1,1
FERNANDEZ ALONSO,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,3,3
FILADELFIA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,2,2
GAIOC JATUN AYLLU YURA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,1,1
GRAL. J.J. PEREZ (CHARAZANI),atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,5,5
HUACARETA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,4,4
HUACAYA (VILLA DE HUACAYA),atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,1,1
HUACHACALLA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,3,3
HUANUNI,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,14,14
HUARACAJE,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,1,1
HUMANATA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,1,1
ICLA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,1,1
INCAHUASI,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,9,9
INGAVI (HUMAITA),atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,1,1
INQUISIVI,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,3,3
JESUS DE MACHACA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,3,3
LA ASUNTA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,2,2
LA PAZ,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,29,29
LA RIVERA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,2,2
LAJA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,14,14
LAS CARRERAS,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,1,1
LICOMA PAMPA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,3,3
LURIBAY,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,7,7
MACHACAMARCA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,5,5
MACHARETI,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,1,1
MAPIRI,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,16,16
MECAPACA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,1,1
MINEROS,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,1,1
MIZQUE,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,30,30
MOCOMOCO,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,2,2
MOJOCOYA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,4,4
MONTEAGUDO,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,2,2
MONTERO,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,10,10
MORO MORO,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,2,2
MOROCHATA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,3,3
NACEBE (SANTA ROSA DEL ABUNA),atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,1,1
OCURI,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,3,3
OMEREQUE,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,4,4
ORURO,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,53,53
PADCAYA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,7,7
PADILLA,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,5,5
PALOS BLANCOS,atencion de partos en servicios,rn con corte tardio de cordon umbilical,2022-01-01,25,25
