municipality,group,variable,month,Partos atendidos por proveedor calificado,TOTAL
ACACIO,atencion de partos en servicios,partos atendidos por proveedor calificado,2022-01-01,2,2
ACHACACHI,atencion de partos en servicios,partos atendidos por proveedor calificado,2022-01-01,46,46
ACHOCALLA,atencion de partos en servicios,partos atendidos por proveedor calificado,2022-01-01,9,9
AIQUILE,atencion de partos en servicios,partos atendidos por proveedor calificado,2022-01-01,20,20
ALTO BENI,atencion de partos en servicios,partos atendidos por proveedor calificado,2022-01-01,11,11
ANDAMARCA,atencion de partos en servicios,partos atendidos por proveedor calificado,2022-01-01,1,1
ANTEQUERA,atencion de partos en servicios,partos atendidos por proveedor calificado,2022-01-01,1,1
ANZALDO,atencion de partos en servicios,partos atendidos por proveedor calificado,2022-01-01,1,1
APOLO,atencion de partos en servicios,partos atendidos por proveedor calificado,2022-01-01,15,15
ARANI,atencion de partos en servicios,partos atendidos por proveedor calificado,2022-01-01,2,2
ARBIETO,atencion de partos en servicios,partos atendidos por proveedor calificado,2022-01-01,6,6
ATOCHA,atencion de partos en servicios,partos atendidos por proveedor calificado,2022-01-01,6,6
AYATA,atencion de partos en servicios,partos atendidos por proveedor calificado,2022-01-01,1,1
AYO AYO,atencion de partos en servicios,partos atendidos por proveedor calificado,2022-01-01,3,3
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en servicios,partos atendidos por proveedor calificado,2022-01-01,12,12
AZURDUY,atencion de partos en servicios,partos atendidos por proveedor calificado,2022-01-01,6,6
BATALLAS,atencion de partos en servicios,partos atendidos por proveedor calificado,2022-01-01,2,2
BELLA FLOR,atencion de partos en servicios,partos atendidos por proveedor calificado,2022-01-01,1,1
BERMEJO,atencion de partos en servicios,partos atendidos por proveedor calificado,2022-01-01,39,39
BETANZOS,atencion de partos en servicios,partos atendidos por proveedor calificado,2022-01-01,16,16
BOYUIBE,atencion de partos en servicios,partos atendidos por proveedor calificado,2022-01-01,2,2
CABEZAS,atencion de partos en servicios,partos atendidos por proveedor calificado,2022-01-01,6,6
CAIROMA,atencion de partos en servicios,partos atendidos por proveedor calificado,2022-01-01,2,2
"CAIZA ""D""",atencion de partos en servicios,partos atendidos por proveedor calificado,2022-01-01,6,6
CAJUATA,atencion de partos en servicios,partos atendidos por proveedor calificado,2022-01-01,8,8
CALAMARCA,atencion de partos en servicios,partos atendidos por proveedor calificado,2022-01-01,3,3
CAMARGO,atencion de partos en servicios,partos atendidos por proveedor calificado,2022-01-01,19,19
CAMATAQUI (C. VILLA ABECIA),atencion de partos en servicios,partos atendidos por proveedor calificado,2022-01-01,1,1
CAMIRI,atencion de partos en servicios,partos atendidos por proveedor calificado,2022-01-01,40,40
CAPINOTA,atencion de partos en servicios,partos atendidos por proveedor calificado,2022-01-01,20,20
CAQUIAVIRI,atencion de partos en servicios,partos atendidos por proveedor calificado,2022-01-01,1,1
CARACOLLO,atencion de partos en servicios,partos atendidos por proveedor calificado,2022-01-01,16,16
CARANAVI,atencion de partos en servicios,partos atendidos por proveedor calificado,2022-01-01,39,39
CARIPUYO,atencion de partos en servicios,partos atendidos por proveedor calificado,2022-01-01,3,3
CHALLAPATA,atencion de partos en servicios,partos atendidos por proveedor calificado,2022-01-01,45,45
CHAQUI,atencion de partos en servicios,partos atendidos por proveedor calificado,2022-01-01,1,1
CHARAGUA,atencion de partos en servicios,partos atendidos por proveedor calificado,2022-01-01,30,30
CHAYANTA,atencion de partos en servicios,partos atendidos por proveedor calificado,2022-01-01,8,8
CHIMORE,atencion de partos en servicios,partos atendidos por proveedor calificado,2022-01-01,31,31
CHUA COCANI,atencion de partos en servicios,partos atendidos por proveedor calificado,2022-01-01,2,2
CHULUMANI (V. DE LA LIBERTAD),atencion de partos en servicios,partos atendidos por proveedor calificado,2022-01-01,9,9
CHUMA,atencion de partos en servicios,partos atendidos por proveedor calificado,2022-01-01,3,3
CHUQUIHUTA AYLLU JUCUMANI,atencion de partos en servicios,partos atendidos por proveedor calificado,2022-01-01,6,6
CKOCHAS,atencion de partos en servicios,partos atendidos por proveedor calificado,2022-01-01,2,2
CLIZA,atencion de partos en servicios,partos atendidos por proveedor calificado,2022-01-01,35,35
COBIJA,atencion de partos en servicios,partos atendidos por proveedor calificado,2022-01-01,105,105
COCAPATA,atencion de partos en servicios,partos atendidos por proveedor calificado,2022-01-01,7,7
COCHABAMBA,atencion de partos en servicios,partos atendidos por proveedor calificado,2022-01-01,1131,1131
COLCAPIRHUA,atencion de partos en servicios,partos atendidos por proveedor calificado,2022-01-01,35,35
"COLCHA ""K""",atencion de partos en servicios,partos atendidos por proveedor calificado,2022-01-01,5,5
COLLANA,atencion de partos en servicios,partos atendidos por proveedor calificado,2022-01-01,1,1
COLOMI,atencion de partos en servicios,partos atendidos por proveedor calificado,2022-01-01,17,17
COLPA BELGICA,atencion de partos en servicios,partos atendidos por proveedor calificado,2022-01-01,2,2
COLQUECHACA,atencion de partos en servicios,partos atendidos por proveedor calificado,2022-01-01,5,5
COLQUENCHA,atencion de partos en servicios,partos atendidos por proveedor calificado,2022-01-01,7,7
COLQUIRI,atencion de partos en servicios,partos atendidos por proveedor calificado,2022-01-01,5,5
CONCEPCION,atencion de partos en servicios,partos atendidos por proveedor calificado,2022-01-01,30,30
COPACABANA,atencion de partos en servicios,partos atendidos por proveedor calificado,2022-01-01,6,6
CORIPATA,atencion de partos en servicios,partos atendidos por proveedor calificado,2022-01-01,17,17
CORO CORO,atencion de partos en servicios,partos atendidos por proveedor calificado,2022-01-01,2,2
COROICO,atencion de partos en servicios,partos atendidos por proveedor calificado,2022-01-01,32,32
COTAGAITA,atencion de partos en servicios,partos atendidos por proveedor calificado,2022-01-01,13,13
COTOCA,atencion de partos en servicios,partos atendidos por proveedor calificado,2022-01-01,38,38
CUATRO CAÑADAS,atencion de partos en servicios,partos atendidos por proveedor calificado,2022-01-01,30,30
CUCHUMUELA (V. G. VILLARROEL),atencion de partos en servicios,partos atendidos por proveedor calificado,2022-01-01,1,1
CULPINA,atencion de partos en servicios,partos atendidos por proveedor calificado,2022-01-01,13,13
DESAGUADERO,atencion de partos en servicios,partos atendidos por proveedor calificado,2022-01-01,1,1
EL ALTO,atencion de partos en servicios,partos atendidos por proveedor calificado,2022-01-01,1132,1132
EL CHORO,atencion de partos en servicios,partos atendidos por proveedor calificado,2022-01-01,1,1
EL PUENTE(STC),atencion de partos en servicios,partos atendidos por proveedor calificado,2022-01-01,4,4
EL PUENTE(TJA),atencion de partos en servicios,partos atendidos por proveedor calificado,2022-01-01,2,2
EL TORNO,atencion de partos en servicios,partos atendidos por proveedor calificado,2022-01-01,77,77
ENTRE RIOS TRJ,atencion de partos en servicios,partos atendidos por proveedor calificado,2022-01-01,13,13
ENTRE RIOS CBBA,atencion de partos en servicios,partos atendidos por proveedor calificado,2022-01-01,64,64
ESCOMA,atencion de partos en servicios,partos atendidos por proveedor calificado,2022-01-01,6,6
EUCALIPTUS,atencion de partos en servicios,partos atendidos por proveedor calificado,2022-01-01,2,2
GAIOC JATUN AYLLU YURA,atencion de partos en servicios,partos atendidos por proveedor calificado,2022-01-01,1,1
GRAL. J.J. PEREZ (CHARAZANI),atencion de partos en servicios,partos atendidos por proveedor calificado,2022-01-01,2,2
GUANAY,atencion de partos en servicios,partos atendidos por proveedor calificado,2022-01-01,19,19
GUAYARAMERIN,atencion de partos en servicios,partos atendidos por proveedor calificado,2022-01-01,8,8
HUACARETA,atencion de partos en servicios,partos atendidos por proveedor calificado,2022-01-01,6,6
HUACHACALLA,atencion de partos en servicios,partos atendidos por proveedor calificado,2022-01-01,3,3
HUANUNI,atencion de partos en servicios,partos atendidos por proveedor calificado,2022-01-01,17,17
HUARINA,atencion de partos en servicios,partos atendidos por proveedor calificado,2022-01-01,5,5
ICHOCA,atencion de partos en servicios,partos atendidos por proveedor calificado,2022-01-01,1,1
ICLA,atencion de partos en servicios,partos atendidos por proveedor calificado,2022-01-01,1,1
INCAHUASI,atencion de partos en servicios,partos atendidos por proveedor calificado,2022-01-01,11,11
INQUISIVI,atencion de partos en servicios,partos atendidos por proveedor calificado,2022-01-01,2,2
IRUPANA (VILLA DE LANZA),atencion de partos en servicios,partos atendidos por proveedor calificado,2022-01-01,13,13
IXIAMAS,atencion de partos en servicios,partos atendidos por proveedor calificado,2022-01-01,6,6
JESUS DE MACHACA,atencion de partos en servicios,partos atendidos por proveedor calificado,2022-01-01,3,3
LA ASUNTA,atencion de partos en servicios,partos atendidos por proveedor calificado,2022-01-01,37,37
LA GUARDIA,atencion de partos en servicios,partos atendidos por proveedor calificado,2022-01-01,97,97
LA PAZ,atencion de partos en servicios,partos atendidos por proveedor calificado,2022-01-01,860,860
LAJA,atencion de partos en servicios,partos atendidos por proveedor calificado,2022-01-01,17,17
LAS CARRERAS,atencion de partos en servicios,partos atendidos por proveedor calificado,2022-01-01,1,1
LICOMA PAMPA,atencion de partos en servicios,partos atendidos por proveedor calificado,2022-01-01,3,3
LLALLAGUA,atencion de partos en servicios,partos atendidos por proveedor calificado,2022-01-01,69,69
LURIBAY,atencion de partos en servicios,partos atendidos por proveedor calificado,2022-01-01,7,7
MACHACAMARCA,atencion de partos en servicios,partos atendidos por proveedor calificado,2022-01-01,5,5
MACHARETI,atencion de partos en servicios,partos atendidos por proveedor calificado,2022-01-01,1,1
MAGDALENA,atencion de partos en servicios,partos atendidos por proveedor calificado,2022-01-01,10,10
MAIRANA,atencion de partos en servicios,partos atendidos por proveedor calificado,2022-01-01,10,10
MAPIRI,atencion de partos en servicios,partos atendidos por proveedor calificado,2022-01-01,22,22
MIZQUE,atencion de partos en servicios,partos atendidos por proveedor calificado,2022-01-01,34,34
MOCOMOCO,atencion de partos en servicios,partos atendidos por proveedor calificado,2022-01-01,1,1
MOJOCOYA,atencion de partos en servicios,partos atendidos por proveedor calificado,2022-01-01,4,4
MONTEAGUDO,atencion de partos en servicios,partos atendidos por proveedor calificado,2022-01-01,2,2
MONTERO,atencion de partos en servicios,partos atendidos por proveedor calificado,2022-01-01,192,192
MOROCHATA,atencion de partos en servicios,partos atendidos por proveedor calificado,2022-01-01,1,1
OCURI,atencion de partos en servicios,partos atendidos por proveedor calificado,2022-01-01,2,2
OMEREQUE,atencion de partos en servicios,partos atendidos por proveedor calificado,2022-01-01,3,3
ORURO,atencion de partos en servicios,partos atendidos por proveedor calificado,2022-01-01,542,542
PADCAYA,atencion de partos en servicios,partos atendidos por proveedor calificado,2022-01-01,6,6
PADILLA,atencion de partos en servicios,partos atendidos por proveedor calificado,2022-01-01,15,15
PAILON,atencion de partos en servicios,partos atendidos por proveedor calificado,2022-01-01,7,7
PALOS BLANCOS,atencion de partos en servicios,partos atendidos por proveedor calificado,2022-01-01,22,22
PAMPA GRANDE,atencion de partos en servicios,partos atendidos por proveedor calificado,2022-01-01,5,5
PAPEL PAMPA,atencion de partos en servicios,partos atendidos por proveedor calificado,2022-01-01,1,1
PATACAMAYA,atencion de partos en servicios,partos atendidos por proveedor calificado,2022-01-01,33,33
PELECHUCO,atencion de partos en servicios,partos atendidos por proveedor calificado,2022-01-01,1,1
POCOATA,atencion de partos en servicios,partos atendidos por proveedor calificado,2022-01-01,8,8
POCONA,atencion de partos en servicios,partos atendidos por proveedor calificado,2022-01-01,3,3
POJO (CBBA),atencion de partos en servicios,partos atendidos por proveedor calificado,2022-01-01,11,11
POOPO,atencion de partos en servicios,partos atendidos por proveedor calificado,2022-01-01,1,1
PORCO,atencion de partos en servicios,partos atendidos por proveedor calificado,2022-01-01,7,7
POROMA,atencion de partos en servicios,partos atendidos por proveedor calificado,2022-01-01,4,4
PORTACHUELO,atencion de partos en servicios,partos atendidos por proveedor calificado,2022-01-01,33,33
PORVENIR,atencion de partos en servicios,partos atendidos por proveedor calificado,2022-01-01,2,2
POTOSI,atencion de partos en servicios,partos atendidos por proveedor calificado,2022-01-01,481,481
PRESTO,atencion de partos en servicios,partos atendidos por proveedor calificado,2022-01-01,5,5
PUCARANI,atencion de partos en servicios,partos atendidos por proveedor calificado,2022-01-01,4,4
PUERTO CARABUCO,atencion de partos en servicios,partos atendidos por proveedor calificado,2022-01-01,1,1
PUERTO GONZALO MORENO,atencion de partos en servicios,partos atendidos por proveedor calificado,2022-01-01,4,4
PUERTO RICO,atencion de partos en servicios,partos atendidos por proveedor calificado,2022-01-01,6,6
PUERTO SUAREZ,atencion de partos en servicios,partos atendidos por proveedor calificado,2022-01-01,19,19
PUERTO VILLARROEL,atencion de partos en servicios,partos atendidos por proveedor calificado,2022-01-01,153,153
PUNA,atencion de partos en servicios,partos atendidos por proveedor calificado,2022-01-01,6,6
PUNATA,atencion de partos en servicios,partos atendidos por proveedor calificado,2022-01-01,80,80
