municipality,group,variable,month,Mujeres con visita de control en las 48 hrs siguientes al parto,TOTAL
ACACIO,atencion de partos en servicios,mujeres con visita de control en las 48 hrs siguientes al parto,2022-01-01,3,3
ACHACACHI,atencion de partos en servicios,mujeres con visita de control en las 48 hrs siguientes al parto,2022-01-01,47,47
ACHOCALLA,atencion de partos en servicios,mujeres con visita de control en las 48 hrs siguientes al parto,2022-01-01,19,19
AIQUILE,atencion de partos en servicios,mujeres con visita de control en las 48 hrs siguientes al parto,2022-01-01,20,20
ALALAY,atencion de partos en servicios,mujeres con visita de control en las 48 hrs siguientes al parto,2022-01-01,1,1
ALTO BENI,atencion de partos en servicios,mujeres con visita de control en las 48 hrs siguientes al parto,2022-01-01,11,11
ANCORAIMES,atencion de partos en servicios,mujeres con visita de control en las 48 hrs siguientes al parto,2022-01-01,1,1
ANDAMARCA,atencion de partos en servicios,mujeres con visita de control en las 48 hrs siguientes al parto,2022-01-01,2,2
ANTEQUERA,atencion de partos en servicios,mujeres con visita de control en las 48 hrs siguientes al parto,2022-01-01,1,1
ANZALDO,atencion de partos en servicios,mujeres con visita de control en las 48 hrs siguientes al parto,2022-01-01,5,5
APOLO,atencion de partos en servicios,mujeres con visita de control en las 48 hrs siguientes al parto,2022-01-01,15,15
ARAMPAMPA,atencion de partos en servicios,mujeres con visita de control en las 48 hrs siguientes al parto,2022-01-01,2,2
ARANI,atencion de partos en servicios,mujeres con visita de control en las 48 hrs siguientes al parto,2022-01-01,3,3
ARBIETO,atencion de partos en servicios,mujeres con visita de control en las 48 hrs siguientes al parto,2022-01-01,6,6
ASCENCION DE GUARAYOS,atencion de partos en servicios,mujeres con visita de control en las 48 hrs siguientes al parto,2022-01-01,46,46
ATOCHA,atencion de partos en servicios,mujeres con visita de control en las 48 hrs siguientes al parto,2022-01-01,4,4
AYATA,atencion de partos en servicios,mujeres con visita de control en las 48 hrs siguientes al parto,2022-01-01,4,4
AYO AYO,atencion de partos en servicios,mujeres con visita de control en las 48 hrs siguientes al parto,2022-01-01,3,3
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en servicios,mujeres con visita de control en las 48 hrs siguientes al parto,2022-01-01,14,14
AZURDUY,atencion de partos en servicios,mujeres con visita de control en las 48 hrs siguientes al parto,2022-01-01,7,7
BATALLAS,atencion de partos en servicios,mujeres con visita de control en las 48 hrs siguientes al parto,2022-01-01,4,4
BAURES,atencion de partos en servicios,mujeres con visita de control en las 48 hrs siguientes al parto,2022-01-01,3,3
BERMEJO,atencion de partos en servicios,mujeres con visita de control en las 48 hrs siguientes al parto,2022-01-01,39,39
