municipality,group,variable,month,Vaginales,TOTAL
ACACIO,atencion de partos en servicios,vaginales,2022-01-01,3,3
ACHACACHI,atencion de partos en servicios,vaginales,2022-01-01,31,31
ACHOCALLA,atencion de partos en servicios,vaginales,2022-01-01,18,18
AIQUILE,atencion de partos en servicios,vaginales,2022-01-01,15,15
ALTO BENI,atencion de partos en servicios,vaginales,2022-01-01,11,11
ANCORAIMES,atencion de partos en servicios,vaginales,2022-01-01,1,1
ANDAMARCA,atencion de partos en servicios,vaginales,2022-01-01,2,2
ANTEQUERA,atencion de partos en servicios,vaginales,2022-01-01,1,1
ANZALDO,atencion de partos en servicios,vaginales,2022-01-01,5,5
APOLO,atencion de partos en servicios,vaginales,2022-01-01,15,15
ARAMPAMPA,atencion de partos en servicios,vaginales,2022-01-01,2,2
ARANI,atencion de partos en servicios,vaginales,2022-01-01,2,2
ARBIETO,atencion de partos en servicios,vaginales,2022-01-01,6,6
ASCENCION DE GUARAYOS,atencion de partos en servicios,vaginales,2022-01-01,33,33
ATOCHA,atencion de partos en servicios,vaginales,2022-01-01,5,5
AYATA,atencion de partos en servicios,vaginales,2022-01-01,4,4
AYO AYO,atencion de partos en servicios,vaginales,2022-01-01,3,3
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en servicios,vaginales,2022-01-01,12,12
AZURDUY,atencion de partos en servicios,vaginales,2022-01-01,6,6
BATALLAS,atencion de partos en servicios,vaginales,2022-01-01,4,4
BAURES,atencion de partos en servicios,vaginales,2022-01-01,3,3
BELLA FLOR,atencion de partos en servicios,vaginales,2022-01-01,1,1
BERMEJO,atencion de partos en servicios,vaginales,2022-01-01,14,14
BETANZOS,atencion de partos en servicios,vaginales,2022-01-01,20,20
BOLIVAR,atencion de partos en servicios,vaginales,2022-01-01,2,2
BOYUIBE,atencion de partos en servicios,vaginales,2022-01-01,2,2
BUENA VISTA,atencion de partos en servicios,vaginales,2022-01-01,10,10
CABEZAS,atencion de partos en servicios,vaginales,2022-01-01,7,7
CAIROMA,atencion de partos en servicios,vaginales,2022-01-01,7,7
"CAIZA ""D""",atencion de partos en servicios,vaginales,2022-01-01,8,8
CAJUATA,atencion de partos en servicios,vaginales,2022-01-01,9,9
CALAMARCA,atencion de partos en servicios,vaginales,2022-01-01,4,4
CAMARGO,atencion de partos en servicios,vaginales,2022-01-01,12,12
CAMATAQUI (C. VILLA ABECIA),atencion de partos en servicios,vaginales,2022-01-01,1,1
CAMIRI,atencion de partos en servicios,vaginales,2022-01-01,29,29
CAPINOTA,atencion de partos en servicios,vaginales,2022-01-01,20,20
CAQUIAVIRI,atencion de partos en servicios,vaginales,2022-01-01,3,3
CARACOLLO,atencion de partos en servicios,vaginales,2022-01-01,14,14
CARANAVI,atencion de partos en servicios,vaginales,2022-01-01,36,36
CARAPARI,atencion de partos en servicios,vaginales,2022-01-01,6,6
CARIPUYO,atencion de partos en servicios,vaginales,2022-01-01,5,5
CARMEN RIVERO TORREZ,atencion de partos en servicios,vaginales,2022-01-01,8,8
CHALLAPATA,atencion de partos en servicios,vaginales,2022-01-01,34,34
CHAQUI,atencion de partos en servicios,vaginales,2022-01-01,1,1
CHARAGUA,atencion de partos en servicios,vaginales,2022-01-01,35,35
CHAYANTA,atencion de partos en servicios,vaginales,2022-01-01,9,9
CHIMORE,atencion de partos en servicios,vaginales,2022-01-01,31,31
CHUA COCANI,atencion de partos en servicios,vaginales,2022-01-01,2,2
CHULUMANI (V. DE LA LIBERTAD),atencion de partos en servicios,vaginales,2022-01-01,7,7
CHUMA,atencion de partos en servicios,vaginales,2022-01-01,3,3
CHUQUIHUTA AYLLU JUCUMANI,atencion de partos en servicios,vaginales,2022-01-01,6,6
CKOCHAS,atencion de partos en servicios,vaginales,2022-01-01,2,2
CLIZA,atencion de partos en servicios,vaginales,2022-01-01,23,23
COBIJA,atencion de partos en servicios,vaginales,2022-01-01,50,50
COCAPATA,atencion de partos en servicios,vaginales,2022-01-01,7,7
COCHABAMBA,atencion de partos en servicios,vaginales,2022-01-01,529,529
COLCAPIRHUA,atencion de partos en servicios,vaginales,2022-01-01,13,13
"COLCHA ""K""",atencion de partos en servicios,vaginales,2022-01-01,7,7
COLLANA,atencion de partos en servicios,vaginales,2022-01-01,1,1
COLOMI,atencion de partos en servicios,vaginales,2022-01-01,18,18
COLPA BELGICA,atencion de partos en servicios,vaginales,2022-01-01,2,2
COLQUECHACA,atencion de partos en servicios,vaginales,2022-01-01,9,9
COLQUENCHA,atencion de partos en servicios,vaginales,2022-01-01,7,7
COLQUIRI,atencion de partos en servicios,vaginales,2022-01-01,5,5
COMANCHE,atencion de partos en servicios,vaginales,2022-01-01,1,1
COMARAPA,atencion de partos en servicios,vaginales,2022-01-01,8,8
CONCEPCION,atencion de partos en servicios,vaginales,2022-01-01,27,27
COPACABANA,atencion de partos en servicios,vaginales,2022-01-01,6,6
CORIPATA,atencion de partos en servicios,vaginales,2022-01-01,17,17
CORO CORO,atencion de partos en servicios,vaginales,2022-01-01,2,2
COROICO,atencion de partos en servicios,vaginales,2022-01-01,20,20
COTAGAITA,atencion de partos en servicios,vaginales,2022-01-01,15,15
COTOCA,atencion de partos en servicios,vaginales,2022-01-01,67,67
CUATRO CAÑADAS,atencion de partos en servicios,vaginales,2022-01-01,22,22
CUCHUMUELA (V. G. VILLARROEL),atencion de partos en servicios,vaginales,2022-01-01,1,1
CUEVO,atencion de partos en servicios,vaginales,2022-01-01,2,2
CULPINA,atencion de partos en servicios,vaginales,2022-01-01,13,13
DESAGUADERO,atencion de partos en servicios,vaginales,2022-01-01,1,1
EL ALTO,atencion de partos en servicios,vaginales,2022-01-01,811,811
EL CHORO,atencion de partos en servicios,vaginales,2022-01-01,2,2
EL PUENTE(STC),atencion de partos en servicios,vaginales,2022-01-01,5,5
EL PUENTE(TJA),atencion de partos en servicios,vaginales,2022-01-01,8,8
EL TORNO,atencion de partos en servicios,vaginales,2022-01-01,23,23
EL VILLAR,atencion de partos en servicios,vaginales,2022-01-01,3,3
ENTRE RIOS TRJ,atencion de partos en servicios,vaginales,2022-01-01,10,10
ENTRE RIOS CBBA,atencion de partos en servicios,vaginales,2022-01-01,64,64
ESCOMA,atencion de partos en servicios,vaginales,2022-01-01,4,4
EUCALIPTUS,atencion de partos en servicios,vaginales,2022-01-01,2,2
EXALTACION,atencion de partos en servicios,vaginales,2022-01-01,1,1
FERNANDEZ ALONSO,atencion de partos en servicios,vaginales,2022-01-01,5,5
FILADELFIA,atencion de partos en servicios,vaginales,2022-01-01,2,2
GAIOC JATUN AYLLU YURA,atencion de partos en servicios,vaginales,2022-01-01,1,1
GENERAL SAAVEDRA,atencion de partos en servicios,vaginales,2022-01-01,7,7
GRAL. J.J. PEREZ (CHARAZANI),atencion de partos en servicios,vaginales,2022-01-01,7,7
GUANAY,atencion de partos en servicios,vaginales,2022-01-01,19,19
GUAQUI,atencion de partos en servicios,vaginales,2022-01-01,4,4
GUAYARAMERIN,atencion de partos en servicios,vaginales,2022-01-01,45,45
GUTIERREZ,atencion de partos en servicios,vaginales,2022-01-01,6,6
HUACARETA,atencion de partos en servicios,vaginales,2022-01-01,9,9
HUACAYA (VILLA DE HUACAYA),atencion de partos en servicios,vaginales,2022-01-01,1,1
HUACHACALLA,atencion de partos en servicios,vaginales,2022-01-01,3,3
HUANUNI,atencion de partos en servicios,vaginales,2022-01-01,5,5
HUARACAJE,atencion de partos en servicios,vaginales,2022-01-01,4,4
HUARINA,atencion de partos en servicios,vaginales,2022-01-01,5,5
HUAYLLAMARCA,atencion de partos en servicios,vaginales,2022-01-01,2,2
ICHOCA,atencion de partos en servicios,vaginales,2022-01-01,1,1
ICLA,atencion de partos en servicios,vaginales,2022-01-01,1,1
INCAHUASI,atencion de partos en servicios,vaginales,2022-01-01,11,11
INGAVI (HUMAITA),atencion de partos en servicios,vaginales,2022-01-01,1,1
INQUISIVI,atencion de partos en servicios,vaginales,2022-01-01,2,2
IRUPANA (VILLA DE LANZA),atencion de partos en servicios,vaginales,2022-01-01,13,13
IXIAMAS,atencion de partos en servicios,vaginales,2022-01-01,6,6
JESUS DE MACHACA,atencion de partos en servicios,vaginales,2022-01-01,3,3
LA ASUNTA,atencion de partos en servicios,vaginales,2022-01-01,51,51
LA GUARDIA,atencion de partos en servicios,vaginales,2022-01-01,68,68
LA PAZ,atencion de partos en servicios,vaginales,2022-01-01,604,604
LA RIVERA,atencion de partos en servicios,vaginales,2022-01-01,2,2
LAGUNILLAS,atencion de partos en servicios,vaginales,2022-01-01,3,3
LAJA,atencion de partos en servicios,vaginales,2022-01-01,17,17
LAS CARRERAS,atencion de partos en servicios,vaginales,2022-01-01,1,1
LICOMA PAMPA,atencion de partos en servicios,vaginales,2022-01-01,3,3
LLALLAGUA,atencion de partos en servicios,vaginales,2022-01-01,42,42
LLICA,atencion de partos en servicios,vaginales,2022-01-01,2,2
LURIBAY,atencion de partos en servicios,vaginales,2022-01-01,9,9
MACHACAMARCA,atencion de partos en servicios,vaginales,2022-01-01,5,5
MACHARETI,atencion de partos en servicios,vaginales,2022-01-01,1,1
MAGDALENA,atencion de partos en servicios,vaginales,2022-01-01,11,11
MAIRANA,atencion de partos en servicios,vaginales,2022-01-01,5,5
MAPIRI,atencion de partos en servicios,vaginales,2022-01-01,22,22
MECAPACA,atencion de partos en servicios,vaginales,2022-01-01,1,1
MINEROS,atencion de partos en servicios,vaginales,2022-01-01,8,8
MIZQUE,atencion de partos en servicios,vaginales,2022-01-01,27,27
MOCOMOCO,atencion de partos en servicios,vaginales,2022-01-01,2,2
MOJOCOYA,atencion de partos en servicios,vaginales,2022-01-01,4,4
MONTEAGUDO,atencion de partos en servicios,vaginales,2022-01-01,19,19
MONTERO,atencion de partos en servicios,vaginales,2022-01-01,119,119
MORO MORO,atencion de partos en servicios,vaginales,2022-01-01,3,3
MOROCHATA,atencion de partos en servicios,vaginales,2022-01-01,1,1
NACEBE (SANTA ROSA DEL ABUNA),atencion de partos en servicios,vaginales,2022-01-01,1,1
OCURI,atencion de partos en servicios,vaginales,2022-01-01,3,3
OKINAWA,atencion de partos en servicios,vaginales,2022-01-01,4,4
OMEREQUE,atencion de partos en servicios,vaginales,2022-01-01,4,4
ORURO,atencion de partos en servicios,vaginales,2022-01-01,252,252
PADCAYA,atencion de partos en servicios,vaginales,2022-01-01,9,9
PADILLA,atencion de partos en servicios,vaginales,2022-01-01,7,7
PAILON,atencion de partos en servicios,vaginales,2022-01-01,21,21
PALCA,atencion de partos en servicios,vaginales,2022-01-01,4,4
PALOS BLANCOS,atencion de partos en servicios,vaginales,2022-01-01,26,26
PAMPA AULLAGAS,atencion de partos en servicios,vaginales,2022-01-01,1,1
PAMPA GRANDE,atencion de partos en servicios,vaginales,2022-01-01,5,5
PAPEL PAMPA,atencion de partos en servicios,vaginales,2022-01-01,3,3
PATACAMAYA,atencion de partos en servicios,vaginales,2022-01-01,33,33
PELECHUCO,atencion de partos en servicios,vaginales,2022-01-01,1,1
POCOATA,atencion de partos en servicios,vaginales,2022-01-01,11,11
POCONA,atencion de partos en servicios,vaginales,2022-01-01,8,8
POJO (CBBA),atencion de partos en servicios,vaginales,2022-01-01,11,11
POOPO,atencion de partos en servicios,vaginales,2022-01-01,1,1
PORCO,atencion de partos en servicios,vaginales,2022-01-01,11,11
POROMA,atencion de partos en servicios,vaginales,2022-01-01,4,4
PORONGO,atencion de partos en servicios,vaginales,2022-01-01,1,1
PORTACHUELO,atencion de partos en servicios,vaginales,2022-01-01,11,11
PORVENIR,atencion de partos en servicios,vaginales,2022-01-01,2,2
POTOSI,atencion de partos en servicios,vaginales,2022-01-01,294,294
PRESTO,atencion de partos en servicios,vaginales,2022-01-01,5,5
PUCARANI,atencion de partos en servicios,vaginales,2022-01-01,14,14
PUERTO ACOSTA,atencion de partos en servicios,vaginales,2022-01-01,5,5
PUERTO CARABUCO,atencion de partos en servicios,vaginales,2022-01-01,3,3
PUERTO GONZALO MORENO,atencion de partos en servicios,vaginales,2022-01-01,4,4
PUERTO PEREZ,atencion de partos en servicios,vaginales,2022-01-01,1,1
PUERTO QUIJARRO,atencion de partos en servicios,vaginales,2022-01-01,11,11
PUERTO RICO,atencion de partos en servicios,vaginales,2022-01-01,6,6
PUERTO SUAREZ,atencion de partos en servicios,vaginales,2022-01-01,19,19
PUERTO VILLARROEL,atencion de partos en servicios,vaginales,2022-01-01,119,119
PUNA,atencion de partos en servicios,vaginales,2022-01-01,7,7
PUNATA,atencion de partos en servicios,vaginales,2022-01-01,44,44
QUIABAYA,atencion de partos en servicios,vaginales,2022-01-01,4,4
QUILLACOLLO,atencion de partos en servicios,vaginales,2022-01-01,143,143
QUIME,atencion de partos en servicios,vaginales,2022-01-01,4,4
QUIRUSILLAS,atencion de partos en servicios,vaginales,2022-01-01,1,1
RAQAYPAMPA(ETA),atencion de partos en servicios,vaginales,2022-01-01,3,3
RAVELO,atencion de partos en servicios,vaginales,2022-01-01,7,7
REYES,atencion de partos en servicios,vaginales,2022-01-01,17,17
RIBERALTA,atencion de partos en servicios,vaginales,2022-01-01,160,160
ROBORE,atencion de partos en servicios,vaginales,2022-01-01,16,16
RURRENABAQUE,atencion de partos en servicios,vaginales,2022-01-01,22,22
SABAYA,atencion de partos en servicios,vaginales,2022-01-01,4,4
SACABA,atencion de partos en servicios,vaginales,2022-01-01,124,124
SACABAMBA,atencion de partos en servicios,vaginales,2022-01-01,1,1
SACACA,atencion de partos en servicios,vaginales,2022-01-01,12,12
SAIPINA,atencion de partos en servicios,vaginales,2022-01-01,2,2
SALINAS DE GARCI MENDOZA,atencion de partos en servicios,vaginales,2022-01-01,4,4
SAMAIPATA,atencion de partos en servicios,vaginales,2022-01-01,8,8
SAN ANDRES,atencion de partos en servicios,vaginales,2022-01-01,2,2
SAN ANTONIO DE ESMORUCO,atencion de partos en servicios,vaginales,2022-01-01,1,1
SAN ANTONIO DE LOMERIO,atencion de partos en servicios,vaginales,2022-01-01,10,10
SAN BENITO,atencion de partos en servicios,vaginales,2022-01-01,2,2
SAN BORJA,atencion de partos en servicios,vaginales,2022-01-01,38,38
SAN BUENA VENTURA,atencion de partos en servicios,vaginales,2022-01-01,20,20
SAN CARLOS,atencion de partos en servicios,vaginales,2022-01-01,14,14
SAN IGNACIO,atencion de partos en servicios,vaginales,2022-01-01,33,33
SAN IGNACIO DE VELASCO,atencion de partos en servicios,vaginales,2022-01-01,95,95
SAN JAVIER(STC),atencion de partos en servicios,vaginales,2022-01-01,25,25
SAN JOAQUIN,atencion de partos en servicios,vaginales,2022-01-01,4,4
SAN JOSE DE CHIQUITOS,atencion de partos en servicios,vaginales,2022-01-01,11,11
SAN JUAN DE YAPACANI,atencion de partos en servicios,vaginales,2022-01-01,3,3
SAN JULIAN,atencion de partos en servicios,vaginales,2022-01-01,45,45
SAN LORENZO(PND),atencion de partos en servicios,vaginales,2022-01-01,4,4
SAN LORENZO(TJA),atencion de partos en servicios,vaginales,2022-01-01,7,7
SAN LUCAS,atencion de partos en servicios,vaginales,2022-01-01,18,18
SAN MATIAS,atencion de partos en servicios,vaginales,2022-01-01,16,16
SAN MIGUEL DE VELASCO,atencion de partos en servicios,vaginales,2022-01-01,21,21
SAN PEDRO,atencion de partos en servicios,vaginales,2022-01-01,4,4
SAN PEDRO DE BUENA VISTA,atencion de partos en servicios,vaginales,2022-01-01,6,6
SAN PEDRO DE CURAHUARA,atencion de partos en servicios,vaginales,2022-01-01,2,2
SAN PEDRO DE MACHA,atencion de partos en servicios,vaginales,2022-01-01,14,14
SAN PEDRO DE TIQUINA,atencion de partos en servicios,vaginales,2022-01-01,4,4
SAN RAFAEL,atencion de partos en servicios,vaginales,2022-01-01,6,6
SAN RAMON BENI,atencion de partos en servicios,vaginales,2022-01-01,6,6
SAN RAMON SCZ,atencion de partos en servicios,vaginales,2022-01-01,7,7
SANTA ANA,atencion de partos en servicios,vaginales,2022-01-01,29,29
SANTA CRUZ DE LA SIERRA,atencion de partos en servicios,vaginales,2022-01-01,1087,1087
SANTA ROSA,atencion de partos en servicios,vaginales,2022-01-01,13,13
SANTA ROSA DEL SARA,atencion de partos en servicios,vaginales,2022-01-01,6,6
SANTIAGO DE HUARI,atencion de partos en servicios,vaginales,2022-01-01,4,4
SANTIAGO DE HUATA,atencion de partos en servicios,vaginales,2022-01-01,1,1
SANTIAGO DE MACHACA,atencion de partos en servicios,vaginales,2022-01-01,2,2
SANTIVAÑES,atencion de partos en servicios,vaginales,2022-01-01,4,4
SAPAHAQUI,atencion de partos en servicios,vaginales,2022-01-01,6,6
SENA,atencion de partos en servicios,vaginales,2022-01-01,5,5
SHINAOTA,atencion de partos en servicios,vaginales,2022-01-01,27,27
SICA SICA (VILLA AROMA),atencion de partos en servicios,vaginales,2022-01-01,5,5
SICAYA,atencion de partos en servicios,vaginales,2022-01-01,2,2
SIPE SIPE,atencion de partos en servicios,vaginales,2022-01-01,53,53
SOPACHUY,atencion de partos en servicios,vaginales,2022-01-01,3,3
SORACACHI,atencion de partos en servicios,vaginales,2022-01-01,2,2
SORATA,atencion de partos en servicios,vaginales,2022-01-01,6,6
SUCRE,atencion de partos en servicios,vaginales,2022-01-01,173,173
TACACOMA,atencion de partos en servicios,vaginales,2022-01-01,4,4
TACOBAMBA,atencion de partos en servicios,vaginales,2022-01-01,3,3
TACOPAYA,atencion de partos en servicios,vaginales,2022-01-01,3,3
TAPACARI,atencion de partos en servicios,vaginales,2022-01-01,3,3
TARABUCO,atencion de partos en servicios,vaginales,2022-01-01,9,9
TARACO,atencion de partos en servicios,vaginales,2022-01-01,3,3
TARATA,atencion de partos en servicios,vaginales,2022-01-01,4,4
TARIJA,atencion de partos en servicios,vaginales,2022-01-01,154,154
TARVITA,atencion de partos en servicios,vaginales,2022-01-01,14,14
TEOPONTE,atencion de partos en servicios,vaginales,2022-01-01,14,14
TIAHUANACU,atencion de partos en servicios,vaginales,2022-01-01,10,10
TINGUIPAYA,atencion de partos en servicios,vaginales,2022-01-01,3,3
TIPUANI,atencion de partos en servicios,vaginales,2022-01-01,10,10
TIQUIPAYA,atencion de partos en servicios,vaginales,2022-01-01,36,36
TIRAQUE (CBBA),atencion de partos en servicios,vaginales,2022-01-01,23,23
TOCO,atencion de partos en servicios,vaginales,2022-01-01,1,1
TOLATA,atencion de partos en servicios,vaginales,2022-01-01,2,2
TOLEDO,atencion de partos en servicios,vaginales,2022-01-01,1,1
TOMAVE,atencion de partos en servicios,vaginales,2022-01-01,2,2
TOMINA,atencion de partos en servicios,vaginales,2022-01-01,5,5
TORO TORO,atencion de partos en servicios,vaginales,2022-01-01,6,6
TOTORA(CBBA),atencion de partos en servicios,vaginales,2022-01-01,15,15
TOTORA(ORR),atencion de partos en servicios,vaginales,2022-01-01,2,2
TRINIDAD,atencion de partos en servicios,vaginales,2022-01-01,138,138
TUPIZA,atencion de partos en servicios,vaginales,2022-01-01,37,37
TURCO,atencion de partos en servicios,vaginales,2022-01-01,2,2
UNCIA,atencion de partos en servicios,vaginales,2022-01-01,17,17
URIONDO (A. CONCEPCION),atencion de partos en servicios,vaginales,2022-01-01,9,9
URUBICHA,atencion de partos en servicios,vaginales,2022-01-01,7,7
UYUNI,atencion de partos en servicios,vaginales,2022-01-01,39,39
VACAS,atencion de partos en servicios,vaginales,2022-01-01,5,5
VALLEGRANDE,atencion de partos en servicios,vaginales,2022-01-01,2,2
VIACHA,atencion de partos en servicios,vaginales,2022-01-01,51,51
VILA VILA,atencion de partos en servicios,vaginales,2022-01-01,4,4
VILLA CHARCAS,atencion de partos en servicios,vaginales,2022-01-01,10,10
VILLA MONTES,atencion de partos en servicios,vaginales,2022-01-01,41,41
VILLA NUEVA (LOMA ALTA),atencion de partos en servicios,vaginales,2022-01-01,2,2
VILLA RIVERO,atencion de partos en servicios,vaginales,2022-01-01,4,4
VILLA SERRANO,atencion de partos en servicios,vaginales,2022-01-01,3,3
VILLA TUNARI,atencion de partos en servicios,vaginales,2022-01-01,92,92
VILLA VACA GUZMAN (MUYUPAMPA),atencion de partos en servicios,vaginales,2022-01-01,6,6
VILLAZON,atencion de partos en servicios,vaginales,2022-01-01,38,38
VINTO,atencion de partos en servicios,vaginales,2022-01-01,59,59
VITICHI,atencion de partos en servicios,vaginales,2022-01-01,1,1
WALDO BALLIVIAN,atencion de partos en servicios,vaginales,2022-01-01,3,3
WARNES,atencion de partos en servicios,vaginales,2022-01-01,56,56
YACO,atencion de partos en servicios,vaginales,2022-01-01,2,2
YACUIBA,atencion de partos en servicios,vaginales,2022-01-01,65,65
YAMPARAEZ,atencion de partos en servicios,vaginales,2022-01-01,2,2
YANACACHI,atencion de partos en servicios,vaginales,2022-01-01,2,2
