municipality,group,variable,month,Nacidos muertos con peso menor a 2500g,TOTAL
ACHACACHI,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2022-01-01,1,1
CAMIRI,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2022-01-01,1,1
COCHABAMBA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2022-01-01,7,7
EL ALTO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2022-01-01,11,11
GUAYARAMERIN,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2022-01-01,1,1
LA PAZ,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2022-01-01,36,36
LLALLAGUA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2022-01-01,2,2
MIZQUE,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2022-01-01,1,1
ORURO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2022-01-01,3,3
PADILLA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2022-01-01,1,1
PAPEL PAMPA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2022-01-01,1,1
POTOSI,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2022-01-01,7,7
PUERTO SUAREZ,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2022-01-01,1,1
PUNATA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2022-01-01,1,1
REYES,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2022-01-01,1,1
RIBERALTA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2022-01-01,2,2
RURRENABAQUE,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2022-01-01,1,1
SAN IGNACIO DE VELASCO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2022-01-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2022-01-01,26,26
SUCRE,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2022-01-01,7,7
TARIJA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2022-01-01,2,2
TRINIDAD,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2022-01-01,4,4
VILLA MONTES,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2022-01-01,3,3
VILLA TUNARI,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2022-01-01,3,3
WARNES,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2022-01-01,1,1
AIQUILE,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2022-02-01,1,1
CARANAVI,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2022-02-01,1,1
CHALLAPATA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2022-02-01,1,1
COBIJA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2022-02-01,2,2
COCHABAMBA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2022-02-01,4,4
CUATRO CAÑADAS,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2022-02-01,1,1
EL ALTO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2022-02-01,11,11
HUANUNI,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2022-02-01,1,1
LA PAZ,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2022-02-01,9,9
