municipality,group,variable,month,Nacidos vivos con peso menor a 2500g,TOTAL
ACHACACHI,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2022-01-01,2,2
AIQUILE,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2022-01-01,1,1
BERMEJO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2022-01-01,2,2
BETANZOS,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2022-01-01,3,3
CAMARGO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2022-01-01,1,1
CARACOLLO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2022-01-01,2,2
CARANAVI,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2022-01-01,1,1
CHALLAPATA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2022-01-01,1,1
CHARAGUA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2022-01-01,1,1
CHUQUIHUTA AYLLU JUCUMANI,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2022-01-01,1,1
COBIJA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2022-01-01,10,10
COCHABAMBA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2022-01-01,84,84
COLOMI,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2022-01-01,1,1
COMARAPA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2022-01-01,1,1
CONCEPCION,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2022-01-01,4,4
CORIPATA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2022-01-01,1,1
EL ALTO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2022-01-01,77,77
ENTRE RIOS CBBA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2022-01-01,2,2
GUAYARAMERIN,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2022-01-01,8,8
HUANUNI,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2022-01-01,1,1
INCAHUASI,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2022-01-01,2,2
LA PAZ,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2022-01-01,107,107
LA RIVERA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2022-01-01,1,1
LLALLAGUA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2022-01-01,3,3
MACHACAMARCA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2022-01-01,1,1
MAGDALENA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2022-01-01,2,2
MIZQUE,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2022-01-01,1,1
MONTERO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2022-01-01,2,2
ORURO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2022-01-01,46,46
PATACAMAYA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2022-01-01,1,1
POTOSI,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2022-01-01,33,33
PUERTO RICO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2022-01-01,1,1
PUERTO VILLARROEL,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2022-01-01,8,8
PUNA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2022-01-01,1,1
PUNATA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2022-01-01,1,1
QUILLACOLLO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2022-01-01,5,5
REYES,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2022-01-01,4,4
RIBERALTA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2022-01-01,20,20
ROBORE,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2022-01-01,1,1
RURRENABAQUE,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2022-01-01,1,1
SAN ANTONIO DE LOMERIO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2022-01-01,2,2
SAN BORJA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2022-01-01,3,3
SAN BUENA VENTURA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2022-01-01,4,4
SAN IGNACIO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2022-01-01,5,5
