municipality,group,variable,month,Partos atendidos por personal de salud calificado,TOTAL
ACACIO,atencion de partos en servicios,partos atendidos por personal de salud calificado,2022-01-01,1,1
ACHACACHI,atencion de partos en servicios,partos atendidos por personal de salud calificado,2022-01-01,1,1
ACHOCALLA,atencion de partos en servicios,partos atendidos por personal de salud calificado,2022-01-01,9,9
ANCORAIMES,atencion de partos en servicios,partos atendidos por personal de salud calificado,2022-01-01,1,1
ANDAMARCA,atencion de partos en servicios,partos atendidos por personal de salud calificado,2022-01-01,1,1
ANZALDO,atencion de partos en servicios,partos atendidos por personal de salud calificado,2022-01-01,4,4
ARAMPAMPA,atencion de partos en servicios,partos atendidos por personal de salud calificado,2022-01-01,2,2
ASCENCION DE GUARAYOS,atencion de partos en servicios,partos atendidos por personal de salud calificado,2022-01-01,43,43
AYATA,atencion de partos en servicios,partos atendidos por personal de salud calificado,2022-01-01,3,3
AZURDUY,atencion de partos en servicios,partos atendidos por personal de salud calificado,2022-01-01,1,1
BATALLAS,atencion de partos en servicios,partos atendidos por personal de salud calificado,2022-01-01,2,2
BAURES,atencion de partos en servicios,partos atendidos por personal de salud calificado,2022-01-01,3,3
BETANZOS,atencion de partos en servicios,partos atendidos por personal de salud calificado,2022-01-01,4,4
BOLIVAR,atencion de partos en servicios,partos atendidos por personal de salud calificado,2022-01-01,2,2
BUENA VISTA,atencion de partos en servicios,partos atendidos por personal de salud calificado,2022-01-01,10,10
CABEZAS,atencion de partos en servicios,partos atendidos por personal de salud calificado,2022-01-01,1,1
CAIROMA,atencion de partos en servicios,partos atendidos por personal de salud calificado,2022-01-01,5,5
"CAIZA ""D""",atencion de partos en servicios,partos atendidos por personal de salud calificado,2022-01-01,2,2
CAJUATA,atencion de partos en servicios,partos atendidos por personal de salud calificado,2022-01-01,1,1
CALAMARCA,atencion de partos en servicios,partos atendidos por personal de salud calificado,2022-01-01,1,1
CAMIRI,atencion de partos en servicios,partos atendidos por personal de salud calificado,2022-01-01,30,30
CAQUIAVIRI,atencion de partos en servicios,partos atendidos por personal de salud calificado,2022-01-01,2,2
CARANAVI,atencion de partos en servicios,partos atendidos por personal de salud calificado,2022-01-01,3,3
CARAPARI,atencion de partos en servicios,partos atendidos por personal de salud calificado,2022-01-01,6,6
CARIPUYO,atencion de partos en servicios,partos atendidos por personal de salud calificado,2022-01-01,2,2
CARMEN RIVERO TORREZ,atencion de partos en servicios,partos atendidos por personal de salud calificado,2022-01-01,8,8
CHALLAPATA,atencion de partos en servicios,partos atendidos por personal de salud calificado,2022-01-01,2,2
CHARAGUA,atencion de partos en servicios,partos atendidos por personal de salud calificado,2022-01-01,10,10
CHAYANTA,atencion de partos en servicios,partos atendidos por personal de salud calificado,2022-01-01,1,1
CHULUMANI (V. DE LA LIBERTAD),atencion de partos en servicios,partos atendidos por personal de salud calificado,2022-01-01,2,2
COBIJA,atencion de partos en servicios,partos atendidos por personal de salud calificado,2022-01-01,27,27
COCHABAMBA,atencion de partos en servicios,partos atendidos por personal de salud calificado,2022-01-01,154,154
"COLCHA ""K""",atencion de partos en servicios,partos atendidos por personal de salud calificado,2022-01-01,2,2
COLOMI,atencion de partos en servicios,partos atendidos por personal de salud calificado,2022-01-01,1,1
COLQUECHACA,atencion de partos en servicios,partos atendidos por personal de salud calificado,2022-01-01,4,4
COMANCHE,atencion de partos en servicios,partos atendidos por personal de salud calificado,2022-01-01,1,1
COMARAPA,atencion de partos en servicios,partos atendidos por personal de salud calificado,2022-01-01,20,20
COTAGAITA,atencion de partos en servicios,partos atendidos por personal de salud calificado,2022-01-01,2,2
COTOCA,atencion de partos en servicios,partos atendidos por personal de salud calificado,2022-01-01,48,48
CUEVO,atencion de partos en servicios,partos atendidos por personal de salud calificado,2022-01-01,2,2
EL ALTO,atencion de partos en servicios,partos atendidos por personal de salud calificado,2022-01-01,24,24
EL CHORO,atencion de partos en servicios,partos atendidos por personal de salud calificado,2022-01-01,1,1
EL PUENTE(STC),atencion de partos en servicios,partos atendidos por personal de salud calificado,2022-01-01,1,1
EL PUENTE(TJA),atencion de partos en servicios,partos atendidos por personal de salud calificado,2022-01-01,6,6
EL VILLAR,atencion de partos en servicios,partos atendidos por personal de salud calificado,2022-01-01,3,3
ENTRE RIOS TRJ,atencion de partos en servicios,partos atendidos por personal de salud calificado,2022-01-01,2,2
EXALTACION,atencion de partos en servicios,partos atendidos por personal de salud calificado,2022-01-01,1,1
FERNANDEZ ALONSO,atencion de partos en servicios,partos atendidos por personal de salud calificado,2022-01-01,5,5
