municipality,group,variable,month,RN con apego precoz,TOTAL
ACACIO,atencion de partos en servicios,rn con apego precoz,2022-01-01,3,3
ACHACACHI,atencion de partos en servicios,rn con apego precoz,2022-01-01,46,46
ACHOCALLA,atencion de partos en servicios,rn con apego precoz,2022-01-01,18,18
AIQUILE,atencion de partos en servicios,rn con apego precoz,2022-01-01,17,17
ALALAY,atencion de partos en servicios,rn con apego precoz,2022-01-01,1,1
ALTO BENI,atencion de partos en servicios,rn con apego precoz,2022-01-01,11,11
ANCORAIMES,atencion de partos en servicios,rn con apego precoz,2022-01-01,1,1
ANDAMARCA,atencion de partos en servicios,rn con apego precoz,2022-01-01,2,2
ANTEQUERA,atencion de partos en servicios,rn con apego precoz,2022-01-01,1,1
ANZALDO,atencion de partos en servicios,rn con apego precoz,2022-01-01,5,5
APOLO,atencion de partos en servicios,rn con apego precoz,2022-01-01,15,15
ARAMPAMPA,atencion de partos en servicios,rn con apego precoz,2022-01-01,2,2
ARANI,atencion de partos en servicios,rn con apego precoz,2022-01-01,2,2
ARBIETO,atencion de partos en servicios,rn con apego precoz,2022-01-01,6,6
ASCENCION DE GUARAYOS,atencion de partos en servicios,rn con apego precoz,2022-01-01,46,46
ATOCHA,atencion de partos en servicios,rn con apego precoz,2022-01-01,3,3
AYATA,atencion de partos en servicios,rn con apego precoz,2022-01-01,4,4
AYO AYO,atencion de partos en servicios,rn con apego precoz,2022-01-01,3,3
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en servicios,rn con apego precoz,2022-01-01,12,12
AZURDUY,atencion de partos en servicios,rn con apego precoz,2022-01-01,7,7
BATALLAS,atencion de partos en servicios,rn con apego precoz,2022-01-01,4,4
BAURES,atencion de partos en servicios,rn con apego precoz,2022-01-01,3,3
BELLA FLOR,atencion de partos en servicios,rn con apego precoz,2022-01-01,1,1
BERMEJO,atencion de partos en servicios,rn con apego precoz,2022-01-01,31,31
BETANZOS,atencion de partos en servicios,rn con apego precoz,2022-01-01,20,20
BOLIVAR,atencion de partos en servicios,rn con apego precoz,2022-01-01,2,2
BOYUIBE,atencion de partos en servicios,rn con apego precoz,2022-01-01,2,2
BUENA VISTA,atencion de partos en servicios,rn con apego precoz,2022-01-01,10,10
CABEZAS,atencion de partos en servicios,rn con apego precoz,2022-01-01,7,7
CAIROMA,atencion de partos en servicios,rn con apego precoz,2022-01-01,7,7
"CAIZA ""D""",atencion de partos en servicios,rn con apego precoz,2022-01-01,9,9
CAJUATA,atencion de partos en servicios,rn con apego precoz,2022-01-01,9,9
CALAMARCA,atencion de partos en servicios,rn con apego precoz,2022-01-01,4,4
CAMARGO,atencion de partos en servicios,rn con apego precoz,2022-01-01,16,16
CAMATAQUI (C. VILLA ABECIA),atencion de partos en servicios,rn con apego precoz,2022-01-01,1,1
CAMIRI,atencion de partos en servicios,rn con apego precoz,2022-01-01,43,43
CAPINOTA,atencion de partos en servicios,rn con apego precoz,2022-01-01,20,20
CAQUIAVIRI,atencion de partos en servicios,rn con apego precoz,2022-01-01,3,3
