municipality,group,variable,month,Nacidos muertos,TOTAL
ACHACACHI,atencion de partos en servicios,nacidos muertos,2022-01-01,1,1
CAMARGO,atencion de partos en servicios,nacidos muertos,2022-01-01,2,2
CAMIRI,atencion de partos en servicios,nacidos muertos,2022-01-01,2,2
CARANAVI,atencion de partos en servicios,nacidos muertos,2022-01-01,1,1
CHARAGUA,atencion de partos en servicios,nacidos muertos,2022-01-01,1,1
COCHABAMBA,atencion de partos en servicios,nacidos muertos,2022-01-01,15,15
EL ALTO,atencion de partos en servicios,nacidos muertos,2022-01-01,20,20
ENTRE RIOS TRJ,atencion de partos en servicios,nacidos muertos,2022-01-01,1,1
GUAYARAMERIN,atencion de partos en servicios,nacidos muertos,2022-01-01,1,1
GUTIERREZ,atencion de partos en servicios,nacidos muertos,2022-01-01,1,1
LA GUARDIA,atencion de partos en servicios,nacidos muertos,2022-01-01,1,1
LA PAZ,atencion de partos en servicios,nacidos muertos,2022-01-01,24,24
LLALLAGUA,atencion de partos en servicios,nacidos muertos,2022-01-01,4,4
MIZQUE,atencion de partos en servicios,nacidos muertos,2022-01-01,1,1
MONTERO,atencion de partos en servicios,nacidos muertos,2022-01-01,5,5
ORURO,atencion de partos en servicios,nacidos muertos,2022-01-01,8,8
PADILLA,atencion de partos en servicios,nacidos muertos,2022-01-01,1,1
PAPEL PAMPA,atencion de partos en servicios,nacidos muertos,2022-01-01,1,1
POTOSI,atencion de partos en servicios,nacidos muertos,2022-01-01,6,6
PUERTO SUAREZ,atencion de partos en servicios,nacidos muertos,2022-01-01,2,2
PUERTO VILLARROEL,atencion de partos en servicios,nacidos muertos,2022-01-01,1,1
PUNATA,atencion de partos en servicios,nacidos muertos,2022-01-01,1,1
REYES,atencion de partos en servicios,nacidos muertos,2022-01-01,1,1
RIBERALTA,atencion de partos en servicios,nacidos muertos,2022-01-01,2,2
RURRENABAQUE,atencion de partos en servicios,nacidos muertos,2022-01-01,1,1
SAN BUENA VENTURA,atencion de partos en servicios,nacidos muertos,2022-01-01,1,1
SAN IGNACIO DE VELASCO,atencion de partos en servicios,nacidos muertos,2022-01-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en servicios,nacidos muertos,2022-01-01,35,35
SUCRE,atencion de partos en servicios,nacidos muertos,2022-01-01,8,8
TARIJA,atencion de partos en servicios,nacidos muertos,2022-01-01,7,7
TORO TORO,atencion de partos en servicios,nacidos muertos,2022-01-01,1,1
TRINIDAD,atencion de partos en servicios,nacidos muertos,2022-01-01,5,5
VILLA CHARCAS,atencion de partos en servicios,nacidos muertos,2022-01-01,1,1
VILLA MONTES,atencion de partos en servicios,nacidos muertos,2022-01-01,3,3
VILLA TUNARI,atencion de partos en servicios,nacidos muertos,2022-01-01,3,3
WARNES,atencion de partos en servicios,nacidos muertos,2022-01-01,1,1
YACUIBA,atencion de partos en servicios,nacidos muertos,2022-01-01,2,2
YAPACANI,atencion de partos en servicios,nacidos muertos,2022-01-01,3,3
AIQUILE,atencion de partos en servicios,nacidos muertos,2022-02-01,1,1
CAMARGO,atencion de partos en servicios,nacidos muertos,2022-02-01,1,1
CAMIRI,atencion de partos en servicios,nacidos muertos,2022-02-01,1,1
CARANAVI,atencion de partos en servicios,nacidos muertos,2022-02-01,1,1
CHALLAPATA,atencion de partos en servicios,nacidos muertos,2022-02-01,2,2
CHARAGUA,atencion de partos en servicios,nacidos muertos,2022-02-01,1,1
COBIJA,atencion de partos en servicios,nacidos muertos,2022-02-01,3,3
COCHABAMBA,atencion de partos en servicios,nacidos muertos,2022-02-01,7,7
COLQUECHACA,atencion de partos en servicios,nacidos muertos,2022-02-01,1,1
CUATRO CAÑADAS,atencion de partos en servicios,nacidos muertos,2022-02-01,1,1
EL ALTO,atencion de partos en servicios,nacidos muertos,2022-02-01,18,18
HUANUNI,atencion de partos en servicios,nacidos muertos,2022-02-01,1,1
LA PAZ,atencion de partos en servicios,nacidos muertos,2022-02-01,14,14
LLALLAGUA,atencion de partos en servicios,nacidos muertos,2022-02-01,2,2
