municipality,group,variable,month,RN con malformación congénita,TOTAL
AIQUILE,atencion de partos en servicios,rn con malformacion congenita,2022-01-01,1,1
ASCENCION DE GUARAYOS,atencion de partos en servicios,rn con malformacion congenita,2022-01-01,1,1
BERMEJO,atencion de partos en servicios,rn con malformacion congenita,2022-01-01,1,1
CAMARGO,atencion de partos en servicios,rn con malformacion congenita,2022-01-01,1,1
CAMIRI,atencion de partos en servicios,rn con malformacion congenita,2022-01-01,1,1
CLIZA,atencion de partos en servicios,rn con malformacion congenita,2022-01-01,1,1
COCHABAMBA,atencion de partos en servicios,rn con malformacion congenita,2022-01-01,8,8
"COLCHA ""K""",atencion de partos en servicios,rn con malformacion congenita,2022-01-01,1,1
CORIPATA,atencion de partos en servicios,rn con malformacion congenita,2022-01-01,1,1
EL ALTO,atencion de partos en servicios,rn con malformacion congenita,2022-01-01,11,11
LA PAZ,atencion de partos en servicios,rn con malformacion congenita,2022-01-01,9,9
MIZQUE,atencion de partos en servicios,rn con malformacion congenita,2022-01-01,1,1
POTOSI,atencion de partos en servicios,rn con malformacion congenita,2022-01-01,15,15
QUILLACOLLO,atencion de partos en servicios,rn con malformacion congenita,2022-01-01,3,3
RIBERALTA,atencion de partos en servicios,rn con malformacion congenita,2022-01-01,3,3
SAN IGNACIO DE VELASCO,atencion de partos en servicios,rn con malformacion congenita,2022-01-01,2,2
SANTA CRUZ DE LA SIERRA,atencion de partos en servicios,rn con malformacion congenita,2022-01-01,8,8
SUCRE,atencion de partos en servicios,rn con malformacion congenita,2022-01-01,1,1
VILLA TUNARI,atencion de partos en servicios,rn con malformacion congenita,2022-01-01,1,1
ASCENCION DE GUARAYOS,atencion de partos en servicios,rn con malformacion congenita,2022-02-01,1,1
AYO AYO,atencion de partos en servicios,rn con malformacion congenita,2022-02-01,1,1
CAIROMA,atencion de partos en servicios,rn con malformacion congenita,2022-02-01,1,1
COCHABAMBA,atencion de partos en servicios,rn con malformacion congenita,2022-02-01,2,2
COMARAPA,atencion de partos en servicios,rn con malformacion congenita,2022-02-01,1,1
CUCHUMUELA (V. G. VILLARROEL),atencion de partos en servicios,rn con malformacion congenita,2022-02-01,1,1
EL ALTO,atencion de partos en servicios,rn con malformacion congenita,2022-02-01,7,7
HUANUNI,atencion de partos en servicios,rn con malformacion congenita,2022-02-01,1,1
HUAYLLAMARCA,atencion de partos en servicios,rn con malformacion congenita,2022-02-01,1,1
LA PAZ,atencion de partos en servicios,rn con malformacion congenita,2022-02-01,9,9
MAPIRI,atencion de partos en servicios,rn con malformacion congenita,2022-02-01,1,1
MONTEAGUDO,atencion de partos en servicios,rn con malformacion congenita,2022-02-01,1,1
ORURO,atencion de partos en servicios,rn con malformacion congenita,2022-02-01,2,2
PADCAYA,atencion de partos en servicios,rn con malformacion congenita,2022-02-01,1,1
PUCARANI,atencion de partos en servicios,rn con malformacion congenita,2022-02-01,1,1
QUILLACOLLO,atencion de partos en servicios,rn con malformacion congenita,2022-02-01,1,1
RIBERALTA,atencion de partos en servicios,rn con malformacion congenita,2022-02-01,1,1
SAN IGNACIO DE VELASCO,atencion de partos en servicios,rn con malformacion congenita,2022-02-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en servicios,rn con malformacion congenita,2022-02-01,13,13
VILLA TUNARI,atencion de partos en servicios,rn con malformacion congenita,2022-02-01,1,1
AIQUILE,atencion de partos en servicios,rn con malformacion congenita,2022-03-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en servicios,rn con malformacion congenita,2022-03-01,1,1
BAURES,atencion de partos en servicios,rn con malformacion congenita,2022-03-01,1,1
CAJUATA,atencion de partos en servicios,rn con malformacion congenita,2022-03-01,1,1
CARANAVI,atencion de partos en servicios,rn con malformacion congenita,2022-03-01,1,1
COCHABAMBA,atencion de partos en servicios,rn con malformacion congenita,2022-03-01,2,2
COTOCA,atencion de partos en servicios,rn con malformacion congenita,2022-03-01,1,1
EL ALTO,atencion de partos en servicios,rn con malformacion congenita,2022-03-01,4,4
ENTRE RIOS CBBA,atencion de partos en servicios,rn con malformacion congenita,2022-03-01,4,4
FERNANDEZ ALONSO,atencion de partos en servicios,rn con malformacion congenita,2022-03-01,1,1
LA PAZ,atencion de partos en servicios,rn con malformacion congenita,2022-03-01,6,6
