,group,variable,month,TRASTORNOS DE COMPORTAMIENTO Y CONSUMO DE SUSTANCIAS PSICOACTIVAS CANTIDAD,TRASTORNOS DE COMPORTAMIENTO Y CONSUMO DE SUSTANCIAS PSICOACTIVAS CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
COCAPATA,"enf. no transmisibles, factores de riesgo y salud mental",trastornos de comportamiento y consumo de sustancias psicoactivas,2010-01-01,1,0,1,0,1
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",trastornos de comportamiento y consumo de sustancias psicoactivas,2010-01-01,0,1,0,1,1
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",trastornos de comportamiento y consumo de sustancias psicoactivas,2010-01-01,1,1,1,1,2
HUANUNI,"enf. no transmisibles, factores de riesgo y salud mental",trastornos de comportamiento y consumo de sustancias psicoactivas,2010-01-01,1,0,1,0,1
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",trastornos de comportamiento y consumo de sustancias psicoactivas,2010-01-01,2,1,2,1,3
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",trastornos de comportamiento y consumo de sustancias psicoactivas,2010-01-01,3,6,3,6,9
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",trastornos de comportamiento y consumo de sustancias psicoactivas,2010-01-01,1,4,1,4,5
RURRENABAQUE,"enf. no transmisibles, factores de riesgo y salud mental",trastornos de comportamiento y consumo de sustancias psicoactivas,2010-01-01,1,0,1,0,1
SAN PABLO DE LIPEZ,"enf. no transmisibles, factores de riesgo y salud mental",trastornos de comportamiento y consumo de sustancias psicoactivas,2010-01-01,0,1,0,1,1
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",trastornos de comportamiento y consumo de sustancias psicoactivas,2010-01-01,22,11,22,11,33
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",trastornos de comportamiento y consumo de sustancias psicoactivas,2010-01-01,6,2,6,2,8
TARVITA,"enf. no transmisibles, factores de riesgo y salud mental",trastornos de comportamiento y consumo de sustancias psicoactivas,2010-01-01,0,4,0,4,4
VILLA SERRANO,"enf. no transmisibles, factores de riesgo y salud mental",trastornos de comportamiento y consumo de sustancias psicoactivas,2010-01-01,1,2,1,2,3
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",trastornos de comportamiento y consumo de sustancias psicoactivas,2010-01-01,0,1,0,1,1
BETANZOS,"enf. no transmisibles, factores de riesgo y salud mental",trastornos de comportamiento y consumo de sustancias psicoactivas,2010-02-01,0,1,0,1,1
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",trastornos de comportamiento y consumo de sustancias psicoactivas,2010-02-01,5,3,5,3,8
JESUS DE MACHACA,"enf. no transmisibles, factores de riesgo y salud mental",trastornos de comportamiento y consumo de sustancias psicoactivas,2010-02-01,1,0,1,0,1
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",trastornos de comportamiento y consumo de sustancias psicoactivas,2010-02-01,5,1,5,1,6
MOROCHATA,"enf. no transmisibles, factores de riesgo y salud mental",trastornos de comportamiento y consumo de sustancias psicoactivas,2010-02-01,0,1,0,1,1
OMEREQUE,"enf. no transmisibles, factores de riesgo y salud mental",trastornos de comportamiento y consumo de sustancias psicoactivas,2010-02-01,0,1,0,1,1
PADILLA,"enf. no transmisibles, factores de riesgo y salud mental",trastornos de comportamiento y consumo de sustancias psicoactivas,2010-02-01,3,4,3,4,7
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",trastornos de comportamiento y consumo de sustancias psicoactivas,2010-02-01,5,1,5,1,6
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",trastornos de comportamiento y consumo de sustancias psicoactivas,2010-02-01,0,1,0,1,1
SAN LUCAS,"enf. no transmisibles, factores de riesgo y salud mental",trastornos de comportamiento y consumo de sustancias psicoactivas,2010-02-01,0,1,0,1,1
SAN RAMON BENI,"enf. no transmisibles, factores de riesgo y salud mental",trastornos de comportamiento y consumo de sustancias psicoactivas,2010-02-01,2,0,2,0,2
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",trastornos de comportamiento y consumo de sustancias psicoactivas,2010-02-01,8,3,8,3,11
