,group,variable,month,REUMÁTICAS CANTIDAD,REUMÁTICAS CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
ACHACACHI,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-01-01,22,22,22,22,44
ACHOCALLA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-01-01,0,1,0,1,1
ANCORAIMES,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-01-01,0,3,0,3,3
ANDAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-01-01,4,5,4,5,9
APOLO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-01-01,7,14,7,14,21
ARANI,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-01-01,0,1,0,1,1
ARBIETO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-01-01,4,28,4,28,32
ASCENCION DE GUARAYOS,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-01-01,1,0,1,0,1
ATOCHA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-01-01,1,2,1,2,3
BATALLAS,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-01-01,9,15,9,15,24
BAURES,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-01-01,0,1,0,1,1
BELEN DE ANDAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-01-01,0,2,0,2,2
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-01-01,4,16,4,16,20
BETANZOS,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-01-01,8,22,8,22,30
CABEZAS,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-01-01,1,0,1,0,1
CAIROMA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-01-01,2,5,2,5,7
CALACOTO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-01-01,1,1,1,1,2
CALAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-01-01,1,4,1,4,5
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-01-01,6,21,6,21,27
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-01-01,11,20,11,20,31
CARANAVI,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-01-01,1,0,1,0,1
CARAPARI,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-01-01,0,1,0,1,1
CATACORA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-01-01,2,1,2,1,3
CHOQUE COTA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-01-01,3,4,3,4,7
CHULUMANI (V. DE LA LIBERTAD),"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-01-01,1,5,1,5,6
CHUMA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-01-01,3,13,3,13,16
CLIZA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-01-01,7,6,7,6,13
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-01-01,2,5,2,5,7
COCAPATA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-01-01,0,3,0,3,3
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-01-01,105,171,105,171,276
COLCAPIRHUA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-01-01,0,1,0,1,1
"COLCHA ""K""","enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-01-01,0,4,0,4,4
COLOMI,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-01-01,0,1,0,1,1
COLQUENCHA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-01-01,5,5,5,5,10
COLQUIRI,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-01-01,1,2,1,2,3
COMANCHE,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2010-01-01,0,1,0,1,1
