,group,variable,month,EPILEPSIA / CONVULSIONES / ATAQUES CANTIDAD,EPILEPSIA / CONVULSIONES / ATAQUES CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
APOLO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-01-01,0,1,0,1,1
ATOCHA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-01-01,1,0,1,0,1
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-01-01,1,0,1,0,1
BOYUIBE,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-01-01,1,0,1,0,1
CABEZAS,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-01-01,0,1,0,1,1
CAIROMA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-01-01,1,1,1,1,2
CALACOTO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-01-01,1,0,1,0,1
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-01-01,3,3,3,3,6
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-01-01,1,3,1,3,4
CARAPARI,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-01-01,0,2,0,2,2
CLIZA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-01-01,0,1,0,1,1
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-01-01,0,2,0,2,2
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-01-01,27,35,27,35,62
COLPA BELGICA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-01-01,0,1,0,1,1
COLQUENCHA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-01-01,0,1,0,1,1
COPACABANA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-01-01,0,1,0,1,1
COTAGAITA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-01-01,2,0,2,0,2
COTOCA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-01-01,3,0,3,0,3
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-01-01,23,17,23,17,40
EL PUENTE(TJA),"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-01-01,0,2,0,2,2
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-01-01,2,3,2,3,5
EL VILLAR,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-01-01,0,2,0,2,2
ENTRE RIOS TRJ,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-01-01,4,6,4,6,10
ENTRE RIOS CBBA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-01-01,1,0,1,0,1
GENERAL SAAVEDRA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-01-01,0,1,0,1,1
HUANUNI,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-01-01,1,0,1,0,1
INCAHUASI,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-01-01,0,1,0,1,1
JESUS DE MACHACA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-01-01,1,0,1,0,1
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-01-01,2,0,2,0,2
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2010-01-01,42,37,42,37,79
