,group,variable,month,EPISODIOS DEPRESIVOS / ANSIEDAD CANTIDAD,EPISODIOS DEPRESIVOS / ANSIEDAD CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
ALTO BENI,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-01-01,1,0,1,0,1
ARANI,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-01-01,1,0,1,0,1
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-01-01,1,0,1,0,1
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-01-01,1,3,1,3,4
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-01-01,3,4,3,4,7
CARANAVI,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-01-01,0,1,0,1,1
CLIZA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-01-01,2,2,2,2,4
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-01-01,0,1,0,1,1
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-01-01,14,62,14,62,76
COLCAPIRHUA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-01-01,0,2,0,2,2
COPACABANA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-01-01,0,1,0,1,1
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-01-01,4,13,4,13,17
EL VILLAR,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-01-01,1,1,1,1,2
ENTRE RIOS TRJ,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-01-01,0,1,0,1,1
FERNANDEZ ALONSO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-01-01,1,0,1,0,1
GENERAL SAAVEDRA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-01-01,0,1,0,1,1
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-01-01,0,1,0,1,1
HUACARETA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-01-01,1,0,1,0,1
HUANUNI,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-01-01,0,1,0,1,1
IRUPANA (VILLA DE LANZA),"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-01-01,0,1,0,1,1
JESUS DE MACHACA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-01-01,0,1,0,1,1
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-01-01,1,1,1,1,2
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-01-01,62,100,62,100,162
MAGDALENA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-01-01,0,1,0,1,1
MAIRANA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-01-01,1,0,1,0,1
MORO MORO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-01-01,0,2,0,2,2
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-01-01,1,5,1,5,6
PADILLA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-01-01,0,2,0,2,2
PORTACHUELO,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-01-01,0,2,0,2,2
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-01-01,1,1,1,1,2
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",episodios depresivos / ansiedad,2010-01-01,0,4,0,4,4
