,group,variable,month,SOBREPESO EN MAYORES DE 5 AÑOS CANTIDAD,SOBREPESO EN MAYORES DE 5 AÑOS CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
ALTO BENI,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2010-01-01,3,0,3,0,3
ARBIETO,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2010-01-01,1,0,1,0,1
ATOCHA,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2010-01-01,0,2,0,2,2
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2010-01-01,2,4,2,4,6
CABEZAS,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2010-01-01,1,0,1,0,1
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2010-01-01,2,6,2,6,8
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2010-01-01,3,0,3,0,3
CARANAVI,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2010-01-01,0,2,0,2,2
CARAPARI,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2010-01-01,0,1,0,1,1
CLIZA,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2010-01-01,0,4,0,4,4
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2010-01-01,35,66,35,66,101
COLOMI,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2010-01-01,4,5,4,5,9
COLQUENCHA,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2010-01-01,1,0,1,0,1
CORO CORO,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2010-01-01,1,0,1,0,1
COTOCA,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2010-01-01,1,1,1,1,2
DESAGUADERO,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2010-01-01,0,1,0,1,1
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2010-01-01,42,97,42,97,139
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2010-01-01,6,10,6,10,16
EL VILLAR,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2010-01-01,0,1,0,1,1
ENTRE RIOS TRJ,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2010-01-01,2,8,2,8,10
FERNANDEZ ALONSO,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2010-01-01,1,0,1,0,1
HUACARETA,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2010-01-01,1,0,1,0,1
HUANUNI,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2010-01-01,0,1,0,1,1
IRUPANA (VILLA DE LANZA),"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2010-01-01,0,1,0,1,1
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2010-01-01,0,5,0,5,5
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2010-01-01,56,218,56,218,274
LICOMA PAMPA,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2010-01-01,0,1,0,1,1
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2010-01-01,0,3,0,3,3
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2010-01-01,1,3,1,3,4
MORO MORO,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2010-01-01,1,12,1,12,13
