,group,variable,month,CÁNCER CERVICOUTERINO CANTIDAD,CÁNCER CERVICOUTERINO CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
ACHACACHI,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-01-01,0,2,0,2,2
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-01-01,0,4,0,4,4
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-01-01,0,4,0,4,4
CHULUMANI (V. DE LA LIBERTAD),"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-01-01,0,1,0,1,1
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-01-01,0,34,0,34,34
COMARAPA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-01-01,0,2,0,2,2
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-01-01,0,12,0,12,12
EL VILLAR,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-01-01,0,2,0,2,2
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-01-01,0,3,0,3,3
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-01-01,0,45,0,45,45
MINEROS,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-01-01,0,1,0,1,1
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-01-01,0,5,0,5,5
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-01-01,0,1,0,1,1
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-01-01,0,4,0,4,4
SABAYA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-01-01,0,1,0,1,1
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-01-01,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-01-01,0,40,0,40,40
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-01-01,0,2,0,2,2
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-01-01,0,2,0,2,2
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-01-01,0,4,0,4,4
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-01-01,0,3,0,3,3
VILLA SERRANO,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-01-01,0,4,0,4,4
VILLA TUNARI,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-01-01,0,1,0,1,1
ZUDAÑEZ,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-01-01,0,1,0,1,1
ATOCHA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-02-01,0,1,0,1,1
CHULUMANI (V. DE LA LIBERTAD),"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-02-01,0,1,0,1,1
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-02-01,0,18,0,18,18
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-02-01,0,18,0,18,18
GENERAL SAAVEDRA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-02-01,0,1,0,1,1
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-02-01,0,65,0,65,65
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-02-01,0,1,0,1,1
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-02-01,0,1,0,1,1
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2010-02-01,0,2,0,2,2
