,group,variable,month,CÁNCER OTROS CANTIDAD,CÁNCER OTROS CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-01-01,2,0,2,0,2
CABEZAS,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-01-01,3,5,3,5,8
CALACOTO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-01-01,0,1,0,1,1
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-01-01,0,2,0,2,2
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-01-01,1,1,1,1,2
CHULUMANI (V. DE LA LIBERTAD),"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-01-01,0,2,0,2,2
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-01-01,76,96,76,96,172
COPACABANA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-01-01,0,1,0,1,1
COTOCA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-01-01,1,0,1,0,1
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-01-01,2,7,2,7,9
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-01-01,0,1,0,1,1
IRUPANA (VILLA DE LANZA),"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-01-01,0,1,0,1,1
JESUS DE MACHACA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-01-01,0,1,0,1,1
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-01-01,1,2,1,2,3
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-01-01,35,51,35,51,86
LAGUNILLAS,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-01-01,0,2,0,2,2
MAGDALENA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-01-01,0,1,0,1,1
MORO MORO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-01-01,0,1,0,1,1
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-01-01,3,19,3,19,22
PADILLA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-01-01,4,0,4,0,4
PALOS BLANCOS,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-01-01,3,0,3,0,3
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-01-01,0,1,0,1,1
SAN MIGUEL DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-01-01,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-01-01,123,69,123,69,192
SHINAOTA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-01-01,0,1,0,1,1
SORATA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-01-01,0,1,0,1,1
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-01-01,5,6,5,6,11
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-01-01,2,10,2,10,12
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-01-01,1,1,1,1,2
VILLA SERRANO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-01-01,1,0,1,0,1
VILLA TUNARI,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-01-01,0,1,0,1,1
VILLA VACA GUZMAN (MUYUPAMPA),"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-01-01,1,0,1,0,1
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-01-01,6,9,6,9,15
ACHACACHI,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-02-01,0,1,0,1,1
AIQUILE,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-02-01,0,1,0,1,1
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2010-02-01,3,7,3,7,10
