,group,variable,month,HABITO DE FUMAR CANTIDAD,HABITO DE FUMAR CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-01-01,9,1,9,1,10
CABEZAS,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-01-01,0,2,0,2,2
COTOCA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-01-01,1,0,1,0,1
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-01-01,1,1,1,1,2
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-01-01,3,1,3,1,4
ENTRE RIOS TRJ,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-01-01,11,0,11,0,11
HUACARETA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-01-01,0,2,0,2,2
HUANUNI,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-01-01,1,0,1,0,1
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-01-01,2,0,2,0,2
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-01-01,6,11,6,11,17
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-01-01,2,0,2,0,2
PADCAYA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-01-01,3,0,3,0,3
PADILLA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-01-01,5,0,5,0,5
PORTACHUELO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-01-01,1,0,1,0,1
PUERTO VILLARROEL,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-01-01,2,0,2,0,2
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-01-01,15,0,15,0,15
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-01-01,18,0,18,0,18
RURRENABAQUE,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-01-01,1,0,1,0,1
SAN JAVIER(STC),"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-01-01,0,1,0,1,1
SAN MIGUEL DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-01-01,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-01-01,7,6,7,6,13
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-01-01,46,18,46,18,64
VALLEGRANDE,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-01-01,4,0,4,0,4
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-01-01,20,2,20,2,22
VILLA NUEVA (LOMA ALTA),"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-01-01,3,0,3,0,3
VILLA VACA GUZMAN (MUYUPAMPA),"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-01-01,5,0,5,0,5
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-01-01,0,1,0,1,1
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-02-01,0,12,0,12,12
CABEZAS,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-02-01,1,0,1,0,1
CAMATAQUI (C. VILLA ABECIA),"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-02-01,3,0,3,0,3
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-02-01,1,0,1,0,1
COTOCA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-02-01,3,0,3,0,3
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-02-01,3,0,3,0,3
ENTRE RIOS TRJ,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-02-01,6,1,6,1,7
HUACARETA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2010-02-01,2,0,2,0,2
