,group,variable,month,PERSONAS CON DISCAPACIDAD CANTIDAD,PERSONAS CON DISCAPACIDAD CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
ACHOCALLA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-01-01,1,0,1,0,1
ATOCHA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-01-01,0,1,0,1,1
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-01-01,0,1,0,1,1
BETANZOS,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-01-01,1,2,1,2,3
CABEZAS,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-01-01,2,0,2,0,2
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-01-01,2,0,2,0,2
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-01-01,1,0,1,0,1
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-01-01,4,0,4,0,4
COLCAPIRHUA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-01-01,0,2,0,2,2
COMANCHE,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-01-01,2,0,2,0,2
CORQUE,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-01-01,2,1,2,1,3
DESAGUADERO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-01-01,1,0,1,0,1
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-01-01,2,0,2,0,2
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-01-01,12,18,12,18,30
ENTRE RIOS TRJ,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-01-01,0,1,0,1,1
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-01-01,2,2,2,2,4
GUTIERREZ,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-01-01,1,0,1,0,1
HUACARETA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-01-01,1,0,1,0,1
JESUS DE MACHACA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-01-01,1,0,1,0,1
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-01-01,0,1,0,1,1
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-01-01,1,3,1,3,4
LAGUNILLAS,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-01-01,2,2,2,2,4
MOJINETE,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-01-01,1,1,1,1,2
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-01-01,1,1,1,1,2
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-01-01,3,4,3,4,7
MORO MORO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-01-01,0,1,0,1,1
NUEVO MANOA (NUEVA ESPERANZA),"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-01-01,0,1,0,1,1
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-01-01,1,0,1,0,1
PALCA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-01-01,1,0,1,0,1
PAMPA AULLAGAS,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-01-01,0,1,0,1,1
PORTACHUELO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-01-01,1,0,1,0,1
POSTRER VALLE,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-01-01,0,1,0,1,1
PUCARANI,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-01-01,1,0,1,0,1
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-01-01,1,1,1,1,2
