,group,variable,month,ABUSO DE ALCOHOL CANTIDAD,ABUSO DE ALCOHOL CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-01-01,3,0,3,0,3
BOYUIBE,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-01-01,1,0,1,0,1
CABEZAS,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-01-01,1,0,1,0,1
CAIROMA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-01-01,1,0,1,0,1
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-01-01,10,1,10,1,11
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-01-01,1,0,1,0,1
CLIZA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-01-01,7,0,7,0,7
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-01-01,4,2,4,2,6
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-01-01,5,0,5,0,5
COLQUENCHA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-01-01,1,0,1,0,1
COLQUIRI,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-01-01,1,0,1,0,1
COPACABANA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-01-01,0,1,0,1,1
COTOCA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-01-01,1,1,1,1,2
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-01-01,4,1,4,1,5
EL PUENTE(TJA),"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-01-01,0,1,0,1,1
ENTRE RIOS TRJ,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-01-01,12,2,12,2,14
FERNANDEZ ALONSO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-01-01,1,0,1,0,1
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-01-01,1,1,1,1,2
HUACARETA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-01-01,2,2,2,2,4
HUANUNI,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-01-01,1,0,1,0,1
IRUPANA (VILLA DE LANZA),"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-01-01,1,0,1,0,1
JESUS DE MACHACA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-01-01,1,0,1,0,1
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-01-01,2,2,2,2,4
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-01-01,53,16,53,16,69
LLALLAGUA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-01-01,1,1,1,1,2
MECAPACA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-01-01,0,1,0,1,1
MINEROS,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-01-01,0,1,0,1,1
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-01-01,7,0,7,0,7
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-01-01,6,2,6,2,8
PADCAYA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-01-01,10,0,10,0,10
PADILLA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-01-01,3,0,3,0,3
PAZÑA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-01-01,1,0,1,0,1
PORTACHUELO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-01-01,4,0,4,0,4
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2010-01-01,12,2,12,2,14
