,group,variable,month,CARDIOVASCULARES CANTIDAD,CARDIOVASCULARES CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
ACHOCALLA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-01-01,0,1,0,1,1
APOLO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-01-01,1,1,1,1,2
ARBIETO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-01-01,0,3,0,3,3
ATOCHA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-01-01,1,3,1,3,4
BATALLAS,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-01-01,0,1,0,1,1
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-01-01,3,2,3,2,5
BETANZOS,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-01-01,6,1,6,1,7
CABEZAS,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-01-01,1,3,1,3,4
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-01-01,12,9,12,9,21
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-01-01,3,3,3,3,6
CHULUMANI (V. DE LA LIBERTAD),"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-01-01,2,3,2,3,5
CHUMA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-01-01,1,1,1,1,2
CLIZA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-01-01,2,4,2,4,6
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-01-01,3,2,3,2,5
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-01-01,24,43,24,43,67
COLQUENCHA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-01-01,2,1,2,1,3
COMARAPA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-01-01,8,1,8,1,9
COMBAYA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-01-01,1,0,1,0,1
COPACABANA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-01-01,0,1,0,1,1
COTAGAITA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-01-01,5,7,5,7,12
COTOCA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-01-01,16,7,16,7,23
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-01-01,29,32,29,32,61
EL PUENTE(STC),"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-01-01,1,1,1,1,2
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-01-01,24,30,24,30,54
EL VILLAR,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-01-01,3,5,3,5,8
ESCOMA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-01-01,3,0,3,0,3
GENERAL SAAVEDRA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-01-01,0,2,0,2,2
HUACARETA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-01-01,0,1,0,1,1
HUANUNI,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-01-01,0,1,0,1,1
IRUPANA (VILLA DE LANZA),"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-01-01,1,0,1,0,1
JESUS DE MACHACA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-01-01,0,1,0,1,1
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-01-01,4,1,4,1,5
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-01-01,53,62,53,62,115
LAGUNILLAS,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-01-01,2,2,2,2,4
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2010-01-01,6,4,6,4,10
