,group,variable,month,DIABETES MELLITUS I - II CANTIDAD,DIABETES MELLITUS I - II CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
ALTO BENI,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-01-01,1,0,1,0,1
APOLO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-01-01,1,0,1,0,1
ARBIETO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-01-01,0,1,0,1,1
ATOCHA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-01-01,0,2,0,2,2
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-01-01,24,21,24,21,45
BOYUIBE,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-01-01,0,1,0,1,1
CABEZAS,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-01-01,5,5,5,5,10
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-01-01,15,10,15,10,25
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-01-01,64,73,64,73,137
CARMEN RIVERO TORREZ,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-01-01,2,2,2,2,4
CLIZA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-01-01,5,16,5,16,21
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-01-01,14,14,14,14,28
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-01-01,165,220,165,220,385
COLCAPIRHUA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-01-01,1,3,1,3,4
COLOMI,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-01-01,0,1,0,1,1
COLPA BELGICA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-01-01,0,1,0,1,1
COMARAPA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-01-01,5,15,5,15,20
COPACABANA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-01-01,0,1,0,1,1
COTAGAITA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-01-01,1,1,1,1,2
COTOCA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-01-01,23,39,23,39,62
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-01-01,38,72,38,72,110
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-01-01,32,65,32,65,97
ENTRE RIOS TRJ,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-01-01,2,8,2,8,10
ENTRE RIOS CBBA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-01-01,1,0,1,0,1
GENERAL SAAVEDRA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-01-01,2,1,2,1,3
GUANAY,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-01-01,0,1,0,1,1
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-01-01,7,15,7,15,22
GUTIERREZ,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-01-01,0,1,0,1,1
HUACARETA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-01-01,1,3,1,3,4
HUACAYA (VILLA DE HUACAYA),"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-01-01,0,1,0,1,1
HUANUNI,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-01-01,0,1,0,1,1
INCAHUASI,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2010-01-01,0,1,0,1,1
