,group,variable,month,ANTIPOLIOMIELÍTICA 2DA DOSIS DENTRO,ANTIPOLIOMIELÍTICA 2DA DOSIS DENTRO,ANTIPOLIOMIELÍTICA 2DA DOSIS FUERA,ANTIPOLIOMIELÍTICA 2DA DOSIS FUERA,TOTALES
,,,,DENTRO,FUERA,DENTRO,FUERA,TOTAL
municipality,,,,,,,,
AUCAPATA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2019-01-01,1,0,0,0,1
BERMEJO,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2019-01-01,1,0,0,0,1
BETANZOS,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2019-01-01,0,0,1,0,1
CHALLAPATA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2019-01-01,1,0,0,0,1
CHAYANTA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2019-01-01,3,1,0,0,4
CHIMORE,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2019-01-01,0,1,0,0,1
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2019-01-01,0,1,0,0,1
CLIZA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2019-01-01,0,1,0,1,2
COCHABAMBA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2019-01-01,4,9,0,0,13
COLOMI,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2019-01-01,0,0,0,1,1
COTOCA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2019-01-01,2,1,1,1,5
CUATRO CAÑADAS,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2019-01-01,0,0,0,1,1
EL ALTO,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2019-01-01,10,8,5,1,24
GUAYARAMERIN,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2019-01-01,0,1,0,0,1
INQUISIVI,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2019-01-01,1,0,0,0,1
LA PAZ,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2019-01-01,0,5,0,0,5
MONTERO,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2019-01-01,2,1,1,2,6
ORURO,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2019-01-01,1,7,1,0,9
PAILON,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2019-01-01,1,0,0,0,1
PALCA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2019-01-01,1,0,1,0,2
POTOSI,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2019-01-01,1,1,1,0,3
PUCARANI,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2019-01-01,0,0,1,0,1
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2019-01-01,0,1,0,0,1
QUILLACOLLO,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2019-01-01,1,0,0,0,1
SACABA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2019-01-01,0,0,2,3,5
SAN BORJA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2019-01-01,0,1,0,0,1
SAN IGNACIO,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2019-01-01,0,1,0,0,1
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2019-01-01,1,1,0,0,2
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2019-01-01,0,1,0,1,2
SAN JULIAN,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2019-01-01,0,1,0,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2019-01-01,19,17,2,2,40
SHINAOTA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2019-01-01,0,1,1,0,2
SORATA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2019-01-01,0,0,1,0,1
