,group,variable,month,ANTIAMARÍLICA DOSIS ÚNICA DENTRO,ANTIAMARÍLICA DOSIS ÚNICA DENTRO,ANTIAMARÍLICA DOSIS ÚNICA FUERA,ANTIAMARÍLICA DOSIS ÚNICA FUERA,TOTALES
,,,,DENTRO,FUERA,DENTRO,FUERA,TOTAL
municipality,,,,,,,,
ACHACACHI,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-01-01,0,5,0,0,5
ACHOCALLA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-01-01,1,1,0,1,3
AIQUILE,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-01-01,1,0,0,0,1
ANZALDO,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-01-01,0,0,1,0,1
ARANI,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-01-01,0,1,0,0,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-01-01,2,3,0,0,5
AUCAPATA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-01-01,0,1,0,0,1
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-01-01,0,0,0,1,1
BAURES,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-01-01,2,1,0,0,3
BELLA FLOR,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-01-01,0,0,0,1,1
BERMEJO,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-01-01,0,0,1,0,1
BOLIVAR,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-01-01,0,0,1,0,1
BOYUIBE,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-01-01,0,0,1,1,2
CABEZAS,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-01-01,0,1,0,1,2
CAIROMA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-01-01,4,1,0,0,5
CAJUATA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-01-01,0,1,0,0,1
CAMIRI,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-01-01,1,2,0,0,3
CAPINOTA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-01-01,1,0,1,0,2
CARACOLLO,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-01-01,1,0,0,1,2
CARANAVI,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-01-01,0,0,0,1,1
CARMEN RIVERO TORREZ,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-01-01,0,1,0,0,1
CHALLAPATA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-01-01,0,1,1,0,2
CHUA COCANI,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-01-01,1,0,0,0,1
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-01-01,1,0,0,0,1
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-01-01,0,1,0,1,2
CKOCHAS,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-01-01,0,0,1,0,1
CLIZA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-01-01,0,1,0,0,1
COBIJA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-01-01,2,0,0,0,2
COCHABAMBA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-01-01,24,29,6,1,60
COLCAPIRHUA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-01-01,4,0,2,1,7
"COLCHA ""K""",vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-01-01,1,0,0,0,1
COLOMI,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-01-01,2,0,0,0,2
CONCEPCION,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-01-01,2,0,1,0,3
CORIPATA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2019-01-01,3,0,0,1,4
