,group,variable,month,SRP 2DA. DOSIS DENTRO,SRP 2DA. DOSIS DENTRO,SRP 2DA. DOSIS FUERA,SRP 2DA. DOSIS FUERA,TOTALES
,,,,DENTRO,FUERA,DENTRO,FUERA,TOTAL
municipality,,,,,,,,
ACHACACHI,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2019-01-01,7,6,1,0,14
ACHOCALLA,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2019-01-01,11,4,1,1,17
AIQUILE,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2019-01-01,2,2,13,13,30
ALTO BENI,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2019-01-01,0,1,0,0,1
ANCORAIMES,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2019-01-01,1,2,1,2,6
APOLO,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2019-01-01,4,4,3,6,17
ARAMPAMPA,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2019-01-01,0,0,0,2,2
ARANI,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2019-01-01,2,5,0,0,7
ARBIETO,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2019-01-01,0,2,0,0,2
ARQUE,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2019-01-01,3,0,0,0,3
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2019-01-01,11,17,3,5,36
ATOCHA,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2019-01-01,0,0,1,0,1
AUCAPATA,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2019-01-01,2,2,1,0,5
AYATA,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2019-01-01,2,1,0,1,4
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2019-01-01,3,3,3,5,14
BATALLAS,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2019-01-01,5,3,1,1,10
BELLA FLOR,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2019-01-01,0,0,0,2,2
BERMEJO,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2019-01-01,1,4,1,0,6
BETANZOS,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2019-01-01,4,2,0,0,6
BOLPEBRA,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2019-01-01,0,0,2,0,2
BOYUIBE,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2019-01-01,0,4,0,2,6
BUENA VISTA,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2019-01-01,3,11,0,0,14
CABEZAS,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2019-01-01,5,4,1,3,13
CAIROMA,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2019-01-01,4,1,0,0,5
"CAIZA ""D""",vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2019-01-01,0,2,0,0,2
CALACOTO,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2019-01-01,0,0,0,1,1
CALAMARCA,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2019-01-01,3,2,5,3,13
CAMARGO,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2019-01-01,2,1,0,0,3
CAMIRI,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2019-01-01,7,8,1,0,16
CAPINOTA,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2019-01-01,6,4,1,4,15
CARACOLLO,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2019-01-01,1,1,1,0,3
CARANAVI,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2019-01-01,3,2,0,0,5
CARAPARI,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2019-01-01,0,1,0,0,1
CARIPUYO,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2019-01-01,0,1,0,0,1
CARMEN RIVERO TORREZ,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2019-01-01,0,2,0,1,3
CHALLAPATA,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2019-01-01,3,4,4,1,12
CHAQUI,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2019-01-01,0,1,0,0,1
