,group,variable,month,PENTAVALENTE 1RA DOSIS DENTRO,PENTAVALENTE 1RA DOSIS DENTRO,PENTAVALENTE 1RA DOSIS FUERA,PENTAVALENTE 1RA DOSIS FUERA,TOTALES
,,,,DENTRO,FUERA,DENTRO,FUERA,TOTAL
municipality,,,,,,,,
AIQUILE,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-01-01,0,0,2,1,3
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-01-01,0,0,0,1,1
BERMEJO,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-01-01,1,0,0,0,1
COCHABAMBA,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-01-01,2,2,1,0,5
COLOMI,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-01-01,1,0,0,0,1
CUATRO CAÑADAS,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-01-01,0,1,0,0,1
EL ALTO,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-01-01,9,10,2,1,22
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-01-01,1,0,0,0,1
EUREKA (SANTOS MERCADO),vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-01-01,0,1,1,1,3
GUAYARAMERIN,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-01-01,0,1,0,0,1
INQUISIVI,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-01-01,0,0,1,0,1
LA ASUNTA,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-01-01,0,1,0,0,1
LA GUARDIA,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-01-01,0,1,0,0,1
MINEROS,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-01-01,0,1,0,0,1
MONTERO,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-01-01,0,3,0,1,4
ORURO,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-01-01,3,2,0,0,5
PAILON,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-01-01,1,0,0,0,1
PUERTO CARABUCO,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-01-01,0,0,0,1,1
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-01-01,1,0,0,1,2
QUILLACOLLO,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-01-01,0,1,0,1,2
RIBERALTA,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-01-01,2,0,0,0,2
SACABA,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-01-01,1,1,1,0,3
SAN BORJA,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-01-01,1,0,0,0,1
SAN BUENA VENTURA,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-01-01,0,0,1,0,1
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-01-01,1,0,0,0,1
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-01-01,1,0,0,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-01-01,11,12,1,1,25
SENA,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-01-01,0,1,0,0,1
SUCRE,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-01-01,3,4,1,0,8
TIQUIPAYA,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-01-01,0,0,0,1,1
TRINIDAD,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-01-01,2,1,0,0,3
UNCIA,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-01-01,0,1,0,0,1
VIACHA,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-01-01,1,2,0,0,3
VILLA SERRANO,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2019-01-01,1,1,0,0,2
