,group,variable,month,ANTIPOLIOMIELÍTICA 3RA DOSIS DENTRO,ANTIPOLIOMIELÍTICA 3RA DOSIS DENTRO,ANTIPOLIOMIELÍTICA 3RA DOSIS FUERA,ANTIPOLIOMIELÍTICA 3RA DOSIS FUERA,TOTALES
,,,,DENTRO,FUERA,DENTRO,FUERA,TOTAL
municipality,,,,,,,,
ACHOCALLA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 3ra dosis,2019-01-01,0,0,2,0,2
AIQUILE,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 3ra dosis,2019-01-01,0,0,1,0,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 3ra dosis,2019-01-01,0,2,0,0,2
BAURES,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 3ra dosis,2019-01-01,1,0,0,0,1
CABEZAS,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 3ra dosis,2019-01-01,1,0,0,0,1
CHALLAPATA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 3ra dosis,2019-01-01,1,0,0,0,1
CHAYANTA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 3ra dosis,2019-01-01,0,1,0,0,1
COCHABAMBA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 3ra dosis,2019-01-01,9,3,1,1,14
COLCAPIRHUA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 3ra dosis,2019-01-01,1,0,0,0,1
COLQUIRI,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 3ra dosis,2019-01-01,1,1,0,0,2
COMARAPA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 3ra dosis,2019-01-01,0,0,0,1,1
CONCEPCION,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 3ra dosis,2019-01-01,0,0,0,3,3
COPACABANA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 3ra dosis,2019-01-01,0,0,0,2,2
COROICO,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 3ra dosis,2019-01-01,0,1,1,0,2
COTOCA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 3ra dosis,2019-01-01,8,0,0,0,8
EL ALTO,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 3ra dosis,2019-01-01,13,20,2,2,37
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 3ra dosis,2019-01-01,1,2,0,0,3
GUAYARAMERIN,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 3ra dosis,2019-01-01,0,0,2,0,2
LA ASUNTA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 3ra dosis,2019-01-01,1,1,0,0,2
LA GUARDIA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 3ra dosis,2019-01-01,1,0,0,0,1
LA PAZ,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 3ra dosis,2019-01-01,10,17,0,0,27
MAGDALENA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 3ra dosis,2019-01-01,0,2,0,0,2
MAIRANA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 3ra dosis,2019-01-01,2,0,0,1,3
MONTERO,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 3ra dosis,2019-01-01,2,1,1,0,4
ORURO,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 3ra dosis,2019-01-01,2,3,1,0,6
PALCA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 3ra dosis,2019-01-01,0,0,0,1,1
POTOSI,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 3ra dosis,2019-01-01,3,3,2,2,10
PUCARANI,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 3ra dosis,2019-01-01,1,0,0,0,1
PUERTO QUIJARRO,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 3ra dosis,2019-01-01,0,1,0,0,1
PUERTO SUAREZ,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 3ra dosis,2019-01-01,0,0,1,0,1
PUNATA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 3ra dosis,2019-01-01,0,1,0,1,2
QUILLACOLLO,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 3ra dosis,2019-01-01,0,1,0,2,3
REYES,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 3ra dosis,2019-01-01,0,1,0,0,1
