,group,variable,month,SRP 1RA. DOSIS DENTRO,SRP 1RA. DOSIS DENTRO,SRP 1RA. DOSIS FUERA,SRP 1RA. DOSIS FUERA,TOTALES
,,,,DENTRO,FUERA,DENTRO,FUERA,TOTAL
municipality,,,,,,,,
ACHACACHI,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2019-01-01,0,3,0,0,3
ACHOCALLA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2019-01-01,0,0,0,1,1
AIQUILE,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2019-01-01,1,0,0,0,1
ANCORAIMES,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2019-01-01,0,0,0,1,1
ARANI,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2019-01-01,0,1,0,0,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2019-01-01,3,3,0,0,6
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2019-01-01,0,0,0,1,1
BAURES,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2019-01-01,3,4,0,0,7
BOLIVAR,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2019-01-01,0,0,1,0,1
BOYUIBE,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2019-01-01,0,0,1,1,2
CABEZAS,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2019-01-01,0,1,0,1,2
CAJUATA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2019-01-01,0,1,0,0,1
CALAMARCA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2019-01-01,0,0,1,0,1
CAMIRI,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2019-01-01,2,4,0,0,6
CAPINOTA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2019-01-01,1,0,1,0,2
CARACOLLO,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2019-01-01,1,0,0,1,2
CARANAVI,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2019-01-01,1,0,0,1,2
CHALLAPATA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2019-01-01,0,1,0,0,1
CHIMORE,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2019-01-01,1,1,0,0,2
CKOCHAS,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2019-01-01,0,0,1,0,1
CLIZA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2019-01-01,0,1,0,0,1
COBIJA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2019-01-01,2,0,0,0,2
COCHABAMBA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2019-01-01,32,36,7,1,76
COLCAPIRHUA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2019-01-01,4,0,2,0,6
COLOMI,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2019-01-01,4,0,0,0,4
COLQUECHACA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2019-01-01,0,1,0,0,1
CONCEPCION,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2019-01-01,1,0,1,0,2
CORIPATA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2019-01-01,4,0,0,1,5
COROICO,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2019-01-01,0,0,1,0,1
COTOCA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2019-01-01,3,2,0,0,5
CUATRO CAÑADAS,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2019-01-01,0,1,0,1,2
EL ALTO,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2019-01-01,86,98,6,13,203
EL PUENTE(STC),vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2019-01-01,0,2,0,0,2
EL TORNO,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2019-01-01,2,1,0,0,3
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2019-01-01,5,2,0,0,7
GENERAL SAAVEDRA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2019-01-01,0,1,0,0,1
