,group,variable,month,DPT 4TA DOSIS CANTIDAD,DPT 4TA DOSIS CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,DENTRO,FUERA,TOTAL DENTRO,TOTAL FUERA,TOTAL
municipality,,,,,,,,
EL ALTO,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-01-01,2,0,2,0,2
PRESTO,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-01-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-01-01,2,0,2,0,2
SICAYA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-01-01,1,0,1,0,1
TARIJA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-01-01,1,0,1,0,1
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-02-01,0,1,0,1,1
COTAGAITA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-02-01,1,0,1,0,1
LA PAZ,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-02-01,14,3,14,3,17
MAGDALENA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-02-01,3,0,3,0,3
TARIJA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-02-01,5,5,5,5,10
TOLEDO,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-02-01,1,0,1,0,1
VITICHI,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-02-01,0,1,0,1,1
EXALTACION,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-03-01,0,2,0,2,2
POROMA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-03-01,0,5,0,5,5
PUNATA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-03-01,0,2,0,2,2
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-03-01,0,0,0,0,0
TARIJA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-03-01,3,0,3,0,3
BUENA VISTA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-04-01,0,1,0,1,1
COBIJA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-04-01,39,0,39,0,39
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-04-01,1,0,1,0,1
EL ALTO,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-04-01,0,3,0,3,3
EL TORNO,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-04-01,27,0,27,0,27
ICLA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-04-01,2,0,2,0,2
LAJA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-04-01,0,11,0,11,11
ORURO,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-04-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-04-01,1,0,1,0,1
VALLEGRANDE,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-04-01,3,0,3,0,3
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-05-01,13,15,13,15,28
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-05-01,14,22,14,22,36
AZURDUY,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-05-01,8,8,8,8,16
BERMEJO,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-05-01,0,20,0,20,20
BETANZOS,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-05-01,13,18,13,18,31
"CAIZA ""D""",vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-05-01,3,33,3,33,36
CALACOTO,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-05-01,0,34,0,34,34
CAQUIAVIRI,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-05-01,0,6,0,6,6
CARAPARI,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-05-01,13,8,13,8,21
CARIPUYO,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-05-01,0,2,0,2,2
CHAQUI,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-05-01,0,1,0,1,1
CHARAÑA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-05-01,2,8,2,8,10
COBIJA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-05-01,14,11,14,11,25
COCAPATA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-05-01,0,3,0,3,3
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-05-01,75,78,75,78,153
"COLCHA ""K""",vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-05-01,9,10,9,10,19
COMARAPA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-05-01,0,9,0,9,9
CORO CORO,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-05-01,0,14,0,14,14
COTAGAITA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-05-01,0,18,0,18,18
COTOCA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-05-01,8,16,8,16,24
EL ALTO,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-05-01,1,1,1,1,2
EL PUENTE(TJA),vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-05-01,0,58,0,58,58
EL TORNO,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-05-01,105,373,105,373,478
EL VILLAR,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-05-01,9,0,9,0,9
ENTRE RIOS TRJ,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-05-01,15,55,15,55,70
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-05-01,1,0,1,0,1
GUAYARAMERIN,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-05-01,40,4,40,4,44
HUACARETA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-05-01,3,7,3,7,10
HUAYLLAMARCA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-05-01,0,9,0,9,9
ICLA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-05-01,17,30,17,30,47
INCAHUASI,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-05-01,6,20,6,20,26
INQUISIVI,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-05-01,0,3,0,3,3
LA GUARDIA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-05-01,4,10,4,10,14
LA PAZ,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-05-01,6,8,6,8,14
LAGUNILLAS,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-05-01,4,1,4,1,5
LLALLAGUA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-05-01,3,5,3,5,8
LORETO,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-05-01,14,38,14,38,52
MAIRANA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-05-01,1,0,1,0,1
MIZQUE,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-05-01,0,10,0,10,10
MOJOCOYA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-05-01,0,2,0,2,2
MONTEAGUDO,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-05-01,50,193,50,193,243
MORO MORO,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-05-01,0,2,0,2,2
ORURO,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-05-01,0,66,0,66,66
PADCAYA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-05-01,0,5,0,5,5
PAILON,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-05-01,0,4,0,4,4
POCONA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-05-01,3,2,3,2,5
POROMA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-05-01,24,59,24,59,83
PORONGO,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-05-01,0,31,0,31,31
POTOSI,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-05-01,25,47,25,47,72
PRESTO,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-05-01,0,123,0,123,123
PUCARA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-05-01,0,6,0,6,6
PUERTO SUAREZ,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-05-01,30,0,30,0,30
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-05-01,13,50,13,50,63
PUNATA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-05-01,0,28,0,28,28
REYES,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-05-01,26,0,26,0,26
RIBERALTA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-05-01,27,0,27,0,27
RURRENABAQUE,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-05-01,0,191,0,191,191
SACABA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-05-01,0,64,0,64,64
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-05-01,34,26,34,26,60
SAN JAVIER(BNI),vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2010-05-01,4,11,4,11,15
