,group,variable,month,ANTIPOLIOMIELÍTICA 3RA DOSIS CANTIDAD,ANTIPOLIOMIELÍTICA 3RA DOSIS CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,DENTRO,FUERA,TOTAL DENTRO,TOTAL FUERA,TOTAL
municipality,,,,,,,,
CHIMORE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-01-01,1,2,1,2,3
EL ALTO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-01-01,6,0,6,0,6
MONTERO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-01-01,12,0,12,0,12
ORURO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-01-01,1,0,1,0,1
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-01-01,2,0,2,0,2
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-01-01,2,1,2,1,3
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-01-01,4,0,4,0,4
VILLA MONTES,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-01-01,1,1,1,1,2
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-01-01,1,0,1,0,1
VINTO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-01-01,2,0,2,0,2
YACUIBA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-01-01,1,0,1,0,1
CULPINA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-02-01,0,6,0,6,6
EL CHORO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-02-01,1,0,1,0,1
LA PAZ,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-02-01,2,0,2,0,2
ORURO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-02-01,5,1,5,1,6
POTOSI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-02-01,1,0,1,0,1
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-02-01,1,0,1,0,1
SACABAMBA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-02-01,0,4,0,4,4
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-02-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-02-01,13,0,13,0,13
SUCRE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-02-01,0,3,0,3,3
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-02-01,1,0,1,0,1
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-02-01,2,2,2,2,4
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-03-01,14,8,14,8,22
COTOCA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-03-01,2,0,2,0,2
EL ALTO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-03-01,21,0,21,0,21
LA GUARDIA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-03-01,1,0,1,0,1
LA PAZ,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-03-01,2,0,2,0,2
LLALLAGUA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-03-01,0,1,0,1,1
MONTERO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-03-01,3,0,3,0,3
ORURO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-03-01,3,0,3,0,3
POTOSI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-03-01,4,0,4,0,4
PUERTO QUIJARRO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-03-01,1,0,1,0,1
ROBORE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-03-01,1,0,1,0,1
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-03-01,1,0,1,0,1
SAN PEDRO DE TIQUINA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-03-01,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-03-01,13,12,13,12,25
TARACO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-03-01,0,2,0,2,2
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-03-01,2,5,2,5,7
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-03-01,3,0,3,0,3
VILLAZON,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-03-01,1,0,1,0,1
VINTO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-03-01,2,0,2,0,2
ATOCHA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-04-01,1,1,1,1,2
CHIMORE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-04-01,4,2,4,2,6
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-04-01,7,1,7,1,8
EL ALTO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-04-01,19,10,19,10,29
JESUS DE MACHACA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-04-01,7,0,7,0,7
LA GUARDIA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-04-01,1,0,1,0,1
LA PAZ,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-04-01,5,0,5,0,5
MONTERO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-04-01,1,0,1,0,1
PAILON,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-04-01,0,1,0,1,1
PAMPA GRANDE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-04-01,1,0,1,0,1
POTOSI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-04-01,2,0,2,0,2
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-04-01,1,1,1,1,2
ROBORE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-04-01,1,0,1,0,1
SACABA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-04-01,1,0,1,0,1
SAN JULIAN,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-04-01,0,6,0,6,6
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-04-01,11,3,11,3,14
SANTIVAÑES,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-04-01,1,0,1,0,1
SUCRE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-04-01,1,0,1,0,1
TARIJA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-04-01,2,0,2,0,2
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-04-01,2,3,2,3,5
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-04-01,0,1,0,1,1
YACUIBA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-04-01,2,0,2,0,2
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-05-01,13,15,13,15,28
ATOCHA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-05-01,0,1,0,1,1
AZURDUY,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-05-01,0,10,0,10,10
CABEZAS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-05-01,0,3,0,3,3
"CAIZA ""D""",vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-05-01,0,6,0,6,6
CARACOLLO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-05-01,1,0,1,0,1
CHALLAPATA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-05-01,0,2,0,2,2
CHIMORE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-05-01,2,1,2,1,3
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-05-01,8,8,8,8,16
COLCAPIRHUA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-05-01,8,0,8,0,8
"COLCHA ""K""",vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-05-01,1,0,1,0,1
COLOMI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-05-01,0,1,0,1,1
CONCEPCION,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-05-01,5,0,5,0,5
COTOCA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-05-01,4,7,4,7,11
EL ALTO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-05-01,16,51,16,51,67
EL TORNO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 3ra dosis,2010-05-01,0,5,0,5,5
