,group,variable,month,DPT 3RA DOSIS CANTIDAD,DPT 3RA DOSIS CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,DENTRO,FUERA,TOTAL DENTRO,TOTAL FUERA,TOTAL
municipality,,,,,,,,
ACHACACHI,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-01-01,0,6,0,6,6
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-01-01,0,1,0,1,1
CARACOLLO,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-01-01,0,1,0,1,1
COBIJA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-01-01,1,0,1,0,1
COLQUECHACA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-01-01,0,2,0,2,2
EL ALTO,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-01-01,20,0,20,0,20
MONTERO,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-01-01,1,0,1,0,1
ORURO,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-01-01,1,0,1,0,1
SAN ANTONIO DE LOMERIO,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-01-01,0,4,0,4,4
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-01-01,15,0,15,0,15
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-01-01,4,0,4,0,4
VILLA MONTES,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-01-01,1,1,1,1,2
VILLA NUEVA (LOMA ALTA),vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-01-01,0,2,0,2,2
VINTO,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-01-01,2,0,2,0,2
YACUIBA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-01-01,1,0,1,0,1
GENERAL SAAVEDRA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-02-01,1,0,1,0,1
LA PAZ,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-02-01,34,1,34,1,35
MAGDALENA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-02-01,2,0,2,0,2
ORURO,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-02-01,5,1,5,1,6
POJO (CBBA),vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-02-01,1,0,1,0,1
POTOSI,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-02-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-02-01,7,0,7,0,7
SUCRE,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-02-01,0,2,0,2,2
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-02-01,1,0,1,0,1
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-02-01,0,2,0,2,2
VINTO,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-02-01,2,0,2,0,2
VITICHI,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-02-01,0,6,0,6,6
ACHACACHI,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-03-01,2,2,2,2,4
AZURDUY,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-03-01,3,0,3,0,3
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-03-01,2,0,2,0,2
COTOCA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-03-01,2,1,2,1,3
EL ALTO,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-03-01,9,0,9,0,9
EL PUENTE(TJA),vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-03-01,3,0,3,0,3
EXALTACION,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-03-01,0,3,0,3,3
GENERAL SAAVEDRA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-03-01,5,2,5,2,7
LA PAZ,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-03-01,3,0,3,0,3
MINEROS,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-03-01,1,0,1,0,1
ORURO,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-03-01,2,0,2,0,2
POROMA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-03-01,0,4,0,4,4
POTOSI,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-03-01,4,0,4,0,4
PUERTO QUIJARRO,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-03-01,1,0,1,0,1
PUERTO RICO,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-03-01,0,1,0,1,1
PUNATA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-03-01,2,0,2,0,2
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-03-01,0,3,0,3,3
SAN IGNACIO,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-03-01,1,0,1,0,1
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-03-01,1,0,1,0,1
SAN PEDRO DE TIQUINA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-03-01,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-03-01,3,0,3,0,3
SUCRE,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-03-01,2,0,2,0,2
TARACO,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-03-01,0,2,0,2,2
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-03-01,2,5,2,5,7
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-03-01,1,1,1,1,2
VINTO,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-03-01,2,0,2,0,2
ATOCHA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-04-01,1,0,1,0,1
BUENA VISTA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-04-01,0,2,0,2,2
CHIMORE,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-04-01,4,2,4,2,6
EL ALTO,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-04-01,11,10,11,10,21
ICLA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-04-01,1,0,1,0,1
LA GUARDIA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-04-01,1,0,1,0,1
LA PAZ,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-04-01,8,0,8,0,8
ORURO,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-04-01,2,2,2,2,4
PAILON,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-04-01,0,1,0,1,1
POTOSI,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-04-01,2,0,2,0,2
ROBORE,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-04-01,1,0,1,0,1
SAN IGNACIO,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-04-01,2,0,2,0,2
SAN LUCAS,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-04-01,3,0,3,0,3
SAN PABLO DE LIPEZ,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-04-01,2,0,2,0,2
SICA SICA (VILLA AROMA),vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-04-01,0,1,0,1,1
SUCRE,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-04-01,1,0,1,0,1
TARIJA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-04-01,1,0,1,0,1
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-04-01,2,3,2,3,5
AZURDUY,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-05-01,4,0,4,0,4
BOLPEBRA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-05-01,0,1,0,1,1
CABEZAS,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-05-01,0,3,0,3,3
"CAIZA ""D""",vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-05-01,0,5,0,5,5
CALAMARCA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-05-01,0,5,0,5,5
CARACOLLO,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-05-01,1,0,1,0,1
CHALLAPATA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-05-01,1,10,1,10,11
CHIMORE,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-05-01,2,1,2,1,3
COCAPATA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-05-01,1,1,1,1,2
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-05-01,11,8,11,8,19
COLCAPIRHUA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-05-01,4,0,4,0,4
COLOMI,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-05-01,1,1,1,1,2
CONCEPCION,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-05-01,5,0,5,0,5
COTOCA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-05-01,4,7,4,7,11
EL ALTO,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-05-01,14,34,14,34,48
EL TORNO,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2010-05-01,0,5,0,5,5
