,group,variable,month,DPT 2DA DOSIS CANTIDAD,DPT 2DA DOSIS CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,DENTRO,FUERA,TOTAL DENTRO,TOTAL FUERA,TOTAL
municipality,,,,,,,,
ACHACACHI,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-01-01,0,16,0,16,16
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-01-01,0,2,0,2,2
CARACOLLO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-01-01,0,2,0,2,2
CATACORA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-01-01,1,0,1,0,1
CHAYANTA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-01-01,1,2,1,2,3
COBIJA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-01-01,4,0,4,0,4
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-01-01,2,0,2,0,2
COTOCA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-01-01,1,0,1,0,1
EL ALTO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-01-01,6,1,6,1,7
GUTIERREZ,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-01-01,1,1,1,1,2
LA PAZ,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-01-01,2,0,2,0,2
ORURO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-01-01,3,0,3,0,3
PALCA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-01-01,1,0,1,0,1
POCONA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-01-01,0,9,0,9,9
PORCO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-01-01,5,0,5,0,5
POROMA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-01-01,0,9,0,9,9
PRESTO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-01-01,1,0,1,0,1
SALINAS DE GARCI MENDOZA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-01-01,4,6,4,6,10
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-01-01,91,16,91,16,107
TOTORA(CBBA),vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-01-01,0,2,0,2,2
CAPINOTA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-02-01,2,0,2,0,2
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-02-01,0,2,0,2,2
COTAGAITA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-02-01,1,0,1,0,1
GENERAL SAAVEDRA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-02-01,2,0,2,0,2
IXIAMAS,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-02-01,1,0,1,0,1
LA PAZ,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-02-01,75,10,75,10,85
MAGDALENA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-02-01,3,0,3,0,3
MONTERO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-02-01,0,1,0,1,1
ORURO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-02-01,1,0,1,0,1
PADCAYA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-02-01,1,0,1,0,1
POCOATA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-02-01,2,0,2,0,2
POJO (CBBA),vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-02-01,8,0,8,0,8
SACACA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-02-01,0,11,0,11,11
SAN IGNACIO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-02-01,3,0,3,0,3
SAN PEDRO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-02-01,7,0,7,0,7
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-02-01,15,0,15,0,15
TOMAVE,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-02-01,0,1,0,1,1
TOTORA(CBBA),vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-02-01,3,0,3,0,3
TUPIZA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-02-01,1,0,1,0,1
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-02-01,0,1,0,1,1
VILLAZON,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-02-01,1,0,1,0,1
VINTO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-02-01,1,0,1,0,1
WARNES,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-02-01,1,0,1,0,1
ACHACACHI,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-03-01,15,6,15,6,21
CARIPUYO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-03-01,3,0,3,0,3
COBIJA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-03-01,11,6,11,6,17
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-03-01,1,0,1,0,1
COTOCA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-03-01,1,1,1,1,2
EL ALTO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-03-01,3,0,3,0,3
EL PUENTE(TJA),vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-03-01,6,0,6,0,6
GENERAL SAAVEDRA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-03-01,6,4,6,4,10
LA PAZ,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-03-01,2,0,2,0,2
MINEROS,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-03-01,0,13,0,13,13
ORURO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-03-01,1,0,1,0,1
PALCA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-03-01,1,17,1,17,18
PELECHUCO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-03-01,0,1,0,1,1
POROMA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-03-01,3,7,3,7,10
PUERTO RICO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-03-01,0,2,0,2,2
PUNATA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-03-01,5,0,5,0,5
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-03-01,0,9,0,9,9
SAN IGNACIO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-03-01,4,0,4,0,4
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-03-01,1,0,1,0,1
SUCRE,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-03-01,9,0,9,0,9
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-03-01,2,0,2,0,2
TUPIZA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-03-01,4,0,4,0,4
UYUNI,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-03-01,32,0,32,0,32
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-03-01,5,0,5,0,5
VINTO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-03-01,2,0,2,0,2
WARNES,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-03-01,4,0,4,0,4
YACUIBA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-03-01,2,0,2,0,2
ANZALDO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-04-01,0,4,0,4,4
BUENA VISTA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-04-01,0,8,0,8,8
CHIMORE,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-04-01,1,0,1,0,1
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-04-01,1,0,1,0,1
COROICO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-04-01,0,2,0,2,2
EL ALTO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-04-01,2,2,2,2,4
LA GUARDIA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-04-01,7,0,7,0,7
LA PAZ,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-04-01,4,0,4,0,4
OCURI,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-04-01,5,0,5,0,5
ORURO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-04-01,2,0,2,0,2
PALCA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-04-01,0,10,0,10,10
POOPO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-04-01,2,0,2,0,2
POTOSI,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-04-01,2,0,2,0,2
PUCARANI,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-04-01,5,0,5,0,5
SAN BUENA VENTURA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-04-01,0,1,0,1,1
SAN CARLOS,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-04-01,2,0,2,0,2
SAN IGNACIO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-04-01,1,0,1,0,1
SAN LUCAS,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-04-01,7,0,7,0,7
SAN PABLO DE LIPEZ,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2010-04-01,1,0,1,0,1
