,group,variable,month,ANTI AMARÍLICA CANTIDAD,ANTI AMARÍLICA CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,DENTRO,FUERA,TOTAL DENTRO,TOTAL FUERA,TOTAL
municipality,,,,,,,,
ACHACACHI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-01-01,6,50,6,50,56
ATOCHA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-01-01,4,31,4,31,35
BERMEJO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-01-01,1,2,1,2,3
CAMIRI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-01-01,2,0,2,0,2
CAPINOTA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-01-01,0,6,0,6,6
CARACOLLO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-01-01,2,40,2,40,42
CHALLAPATA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-01-01,1,0,1,0,1
CHAYANTA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-01-01,0,5,0,5,5
CHIMORE,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-01-01,3,0,3,0,3
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-01-01,0,10,0,10,10
CLIZA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-01-01,0,2,0,2,2
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-01-01,1,0,1,0,1
CORIPATA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-01-01,1,0,1,0,1
COTOCA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-01-01,5,0,5,0,5
CURAHUARA DE CARANGAS,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-01-01,0,8,0,8,8
EL ALTO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-01-01,90,0,90,0,90
EL CHORO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-01-01,0,1,0,1,1
EL TORNO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-01-01,15,6,15,6,21
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-01-01,9,4,9,4,13
GENERAL SAAVEDRA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-01-01,1,0,1,0,1
GUAYARAMERIN,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-01-01,1,0,1,0,1
HUANUNI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-01-01,0,1,0,1,1
ICHOCA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-01-01,0,1,0,1,1
LA GUARDIA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-01-01,8,1,8,1,9
LA PAZ,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-01-01,81,8,81,8,89
MACHACAMARCA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-01-01,2,0,2,0,2
MONTERO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-01-01,13,15,13,15,28
ORURO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-01-01,10,0,10,0,10
PALOS BLANCOS,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-01-01,0,2,0,2,2
PAPEL PAMPA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-01-01,0,402,0,402,402
POTOSI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-01-01,3,0,3,0,3
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-01-01,7,0,7,0,7
SABAYA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-01-01,2,0,2,0,2
SACABA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-01-01,2,3,2,3,5
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-01-01,17,12,17,12,29
SAN LORENZO(TJA),vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-01-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-01-01,152,35,152,35,187
SIPE SIPE,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-01-01,3,1,3,1,4
SORACACHI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-01-01,0,1,0,1,1
SUCRE,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-01-01,7,0,7,0,7
TAPACARI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-01-01,0,2,0,2,2
TARACO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-01-01,0,1,0,1,1
TARIJA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-01-01,10,0,10,0,10
TEOPONTE,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-01-01,0,1,0,1,1
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-01-01,16,4,16,4,20
TOLATA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-01-01,0,1,0,1,1
TURCO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-01-01,0,1,0,1,1
VILLA MONTES,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-01-01,1,0,1,0,1
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-01-01,3,2,3,2,5
VINTO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-01-01,3,0,3,0,3
YACUIBA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-01-01,10,5,10,5,15
YAPACANI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-01-01,0,2,0,2,2
APOLO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-02-01,13,1,13,1,14
ATOCHA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-02-01,1,0,1,0,1
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-02-01,4,0,4,0,4
BATALLAS,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-02-01,0,1,0,1,1
CAMIRI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-02-01,0,3,0,3,3
CAPINOTA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-02-01,2,1,2,1,3
CARACOLLO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-02-01,1,0,1,0,1
CHALLAPATA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-02-01,2,0,2,0,2
CHARAGUA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-02-01,0,1,0,1,1
CHAYANTA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-02-01,0,2,0,2,2
CHIMORE,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-02-01,1,0,1,0,1
COBIJA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-02-01,7,1,7,1,8
COCAPATA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-02-01,0,2,0,2,2
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-02-01,1,0,1,0,1
COLCAPIRHUA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-02-01,6,0,6,0,6
COLOMI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-02-01,1,0,1,0,1
COMARAPA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-02-01,1,0,1,0,1
COTOCA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-02-01,1,0,1,0,1
CURAHUARA DE CARANGAS,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-02-01,0,2,0,2,2
EL ALTO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-02-01,33,0,33,0,33
EL CHORO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-02-01,0,1,0,1,1
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-02-01,1,7,1,7,8
GENERAL SAAVEDRA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-02-01,1,1,1,1,2
GUAYARAMERIN,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-02-01,2,9,2,9,11
JESUS DE MACHACA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-02-01,1,0,1,0,1
LA GUARDIA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-02-01,9,0,9,0,9
LA PAZ,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-02-01,29,19,29,19,48
LLALLAGUA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-02-01,11,0,11,0,11
LURIBAY,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-02-01,0,4,0,4,4
MAIRANA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-02-01,1,1,1,1,2
MINEROS,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-02-01,0,2,0,2,2
MONTERO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-02-01,5,4,5,4,9
ORURO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-02-01,12,0,12,0,12
PADILLA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-02-01,0,10,0,10,10
PALOS BLANCOS,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-02-01,0,5,0,5,5
PAMPA GRANDE,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-02-01,2,0,2,0,2
POCONA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-02-01,0,1,0,1,1
PORTACHUELO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-02-01,2,2,2,2,4
POTOSI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-02-01,5,0,5,0,5
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-02-01,2,0,2,0,2
PUNATA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-02-01,3,2,3,2,5
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2010-02-01,10,0,10,0,10
