,group,variable,month,ANTIPOLIOMIELÍTICA 2DA DOSIS CANTIDAD,ANTIPOLIOMIELÍTICA 2DA DOSIS CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,DENTRO,FUERA,TOTAL DENTRO,TOTAL FUERA,TOTAL
municipality,,,,,,,,
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-01-01,1,0,1,0,1
COTOCA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-01-01,1,0,1,0,1
EL ALTO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-01-01,4,1,4,1,5
LA PAZ,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-01-01,1,0,1,0,1
MONTERO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-01-01,4,0,4,0,4
ORURO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-01-01,3,0,3,0,3
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-01-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-01-01,3,0,3,0,3
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-01-01,0,1,0,1,1
CULPINA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-02-01,0,3,0,3,3
MONTERO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-02-01,1,1,1,1,2
ORURO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-02-01,2,0,2,0,2
PORTACHUELO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-02-01,0,1,0,1,1
ROBORE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-02-01,1,0,1,0,1
SACABAMBA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-02-01,0,4,0,4,4
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-02-01,0,2,0,2,2
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-03-01,9,4,9,4,13
COLQUECHACA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-03-01,0,6,0,6,6
COMANCHE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-03-01,0,2,0,2,2
COTOCA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-03-01,1,1,1,1,2
EL ALTO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-03-01,13,0,13,0,13
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-03-01,0,1,0,1,1
LA PAZ,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-03-01,2,0,2,0,2
MONTERO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-03-01,1,0,1,0,1
ORURO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-03-01,1,0,1,0,1
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-03-01,2,0,2,0,2
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-03-01,2,0,2,0,2
SUCRE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-03-01,2,0,2,0,2
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-03-01,2,0,2,0,2
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-03-01,0,2,0,2,2
VINTO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-03-01,1,0,1,0,1
BUENA VISTA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-04-01,0,2,0,2,2
CHAQUI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-04-01,0,1,0,1,1
CHIMORE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-04-01,1,0,1,0,1
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-04-01,1,0,1,0,1
COLCAPIRHUA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-04-01,1,0,1,0,1
COROICO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-04-01,0,2,0,2,2
EL ALTO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-04-01,4,2,4,2,6
LA GUARDIA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-04-01,7,0,7,0,7
LA PAZ,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-04-01,2,0,2,0,2
LAJA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-04-01,11,19,11,19,30
MONTERO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-04-01,1,1,1,1,2
POTOSI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-04-01,2,0,2,0,2
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-04-01,1,2,1,2,3
SACABA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-04-01,2,0,2,0,2
SAN JULIAN,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-04-01,0,2,0,2,2
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-04-01,3,2,3,2,5
TARIJA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-04-01,1,0,1,0,1
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-04-01,2,0,2,0,2
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-04-01,0,1,0,1,1
VILLAZON,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-04-01,2,0,2,0,2
BETANZOS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-05-01,0,1,0,1,1
CABEZAS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-05-01,0,2,0,2,2
CHALLAPATA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-05-01,0,1,0,1,1
CHIMORE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-05-01,1,1,1,1,2
COBIJA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-05-01,1,0,1,0,1
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-05-01,10,0,10,0,10
COLOMI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-05-01,0,2,0,2,2
COTAGAITA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-05-01,7,0,7,0,7
COTOCA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-05-01,1,3,1,3,4
CUATRO CAÑADAS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-05-01,0,1,0,1,1
EL ALTO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-05-01,6,12,6,12,18
EL TORNO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-05-01,0,2,0,2,2
INCAHUASI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-05-01,2,2,2,2,4
JESUS DE MACHACA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-05-01,5,0,5,0,5
LA GUARDIA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-05-01,3,1,3,1,4
LA PAZ,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-05-01,2,21,2,21,23
MAIRANA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-05-01,1,0,1,0,1
MONTERO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-05-01,1,0,1,0,1
ORURO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-05-01,2,7,2,7,9
PADCAYA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-05-01,1,0,1,0,1
POCONA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-05-01,0,1,0,1,1
PORTACHUELO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-05-01,1,1,1,1,2
POTOSI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-05-01,1,5,1,5,6
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-05-01,0,1,0,1,1
RURRENABAQUE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-05-01,0,2,0,2,2
SACABA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-05-01,0,6,0,6,6
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-05-01,0,1,0,1,1
SAN PEDRO(PND),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-05-01,0,2,0,2,2
SAN RAMON SCZ,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-05-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2010-05-01,6,1,6,1,7
