,group,variable,month,ANTIPOLIOMIELÍTICA 1RA DOSIS CANTIDAD,ANTIPOLIOMIELÍTICA 1RA DOSIS CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,DENTRO,FUERA,TOTAL DENTRO,TOTAL FUERA,TOTAL
municipality,,,,,,,,
CAPINOTA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-01-01,1,0,1,0,1
CHIMORE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-01-01,1,0,1,0,1
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-01-01,2,0,2,0,2
COTOCA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-01-01,1,0,1,0,1
EL ALTO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-01-01,1,0,1,0,1
MONTERO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-01-01,6,0,6,0,6
ORURO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-01-01,1,0,1,0,1
SACABA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-01-01,1,6,1,6,7
SACACA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-01-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-01-01,3,0,3,0,3
TOTORA(CBBA),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-01-01,0,2,0,2,2
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-01-01,0,2,0,2,2
ARBIETO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-02-01,0,23,0,23,23
COLOMI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-02-01,2,0,2,0,2
EL ALTO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-02-01,11,0,11,0,11
LA PAZ,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-02-01,10,0,10,0,10
MAGDALENA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-02-01,1,0,1,0,1
MONTERO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-02-01,1,0,1,0,1
ORURO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-02-01,1,0,1,0,1
SACABA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-02-01,0,6,0,6,6
SACACA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-02-01,1,6,1,6,7
SALINAS DE GARCI MENDOZA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-02-01,0,4,0,4,4
SAN IGNACIO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-02-01,0,6,0,6,6
SAN LUCAS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-02-01,1,0,1,0,1
SUCRE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-02-01,0,1,0,1,1
TACOBAMBA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-02-01,3,0,3,0,3
TAPACARI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-02-01,0,1,0,1,1
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-02-01,1,0,1,0,1
TIRAQUE (CBBA),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-02-01,1,0,1,0,1
UNCIA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-02-01,0,5,0,5,5
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-02-01,0,2,0,2,2
VILLAZON,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-02-01,1,2,1,2,3
VINTO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-02-01,1,0,1,0,1
ARBIETO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-03-01,0,31,0,31,31
CAQUIAVIRI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-03-01,0,9,0,9,9
CHALLAPATA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-03-01,0,1,0,1,1
CHIMORE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-03-01,1,0,1,0,1
CHUMA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-03-01,0,3,0,3,3
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-03-01,2,2,2,2,4
COTOCA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-03-01,0,1,0,1,1
EL ALTO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-03-01,24,0,24,0,24
EXALTACION,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-03-01,0,1,0,1,1
INQUISIVI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-03-01,0,6,0,6,6
LA PAZ,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-03-01,16,40,16,40,56
LLALLAGUA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-03-01,0,1,0,1,1
LURIBAY,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-03-01,0,28,0,28,28
MECAPACA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-03-01,0,2,0,2,2
POCONA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-03-01,1,0,1,0,1
POROMA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-03-01,0,2,0,2,2
POTOSI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-03-01,0,4,0,4,4
PUERTO SUAREZ,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-03-01,1,0,1,0,1
RIBERALTA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-03-01,3,0,3,0,3
SACABA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-03-01,1,0,1,0,1
SACACA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-03-01,0,11,0,11,11
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-03-01,0,2,0,2,2
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-03-01,34,0,34,0,34
SANTIAGO DE HUATA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-03-01,3,6,3,6,9
SUCRE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-03-01,3,0,3,0,3
TACOBAMBA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-03-01,0,3,0,3,3
TAPACARI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-03-01,1,0,1,0,1
TINGUIPAYA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-03-01,0,4,0,4,4
TIRAQUE (CBBA),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-03-01,1,5,1,5,6
TORO TORO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-03-01,0,9,0,9,9
VILLA MONTES,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-03-01,1,0,1,0,1
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-03-01,0,1,0,1,1
VINTO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-03-01,2,0,2,0,2
YUNCHARA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-03-01,0,1,0,1,1
ATOCHA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-04-01,0,1,0,1,1
BETANZOS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-04-01,0,3,0,3,3
CAJUATA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-04-01,9,11,9,11,20
CAQUIAVIRI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-04-01,0,21,0,21,21
CARACOLLO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-04-01,1,0,1,0,1
CARAPARI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-04-01,0,3,0,3,3
CHAQUI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-04-01,0,1,0,1,1
CHIMORE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-04-01,2,1,2,1,3
COBIJA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-04-01,5,0,5,0,5
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-04-01,9,1,9,1,10
COLQUECHACA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-04-01,0,3,0,3,3
EL ALTO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-04-01,11,33,11,33,44
GUAYARAMERIN,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 1ra dosis,2010-04-01,1,0,1,0,1
