,group,variable,month,DPT 1RA DOSIS CANTIDAD,DPT 1RA DOSIS CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,DENTRO,FUERA,TOTAL DENTRO,TOTAL FUERA,TOTAL
municipality,,,,,,,,
ACHACACHI,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-01-01,0,18,0,18,18
BELEN DE URMIRI,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-01-01,0,6,0,6,6
"CAIZA ""D""",vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-01-01,1,0,1,0,1
CALAMARCA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-01-01,13,0,13,0,13
CARACOLLO,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-01-01,0,4,0,4,4
CATACORA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-01-01,1,0,1,0,1
CHAYANTA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-01-01,0,3,0,3,3
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-01-01,2,0,2,0,2
COLLANA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-01-01,5,0,5,0,5
COTOCA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-01-01,1,0,1,0,1
EL ALTO,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-01-01,6,0,6,0,6
LA PAZ,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-01-01,2,0,2,0,2
MIZQUE,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-01-01,14,1,14,1,15
POCONA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-01-01,0,2,0,2,2
PORCO,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-01-01,21,0,21,0,21
POROMA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-01-01,0,1,0,1,1
PRESTO,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-01-01,2,0,2,0,2
SALINAS DE GARCI MENDOZA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-01-01,1,3,1,3,4
SAN ANTONIO DE LOMERIO,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-01-01,0,2,0,2,2
SAN BUENA VENTURA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-01-01,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-01-01,135,12,135,12,147
SICAYA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-01-01,1,0,1,0,1
TOTORA(CBBA),vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-01-01,1,0,1,0,1
VILLA CHARCAS,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-01-01,0,6,0,6,6
VILLA NUEVA (LOMA ALTA),vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-01-01,0,1,0,1,1
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-02-01,0,2,0,2,2
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-02-01,0,2,0,2,2
COMANCHE,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-02-01,2,0,2,0,2
COTAGAITA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-02-01,5,0,5,0,5
EL ALTO,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-02-01,1,0,1,0,1
IXIAMAS,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-02-01,2,0,2,0,2
LA PAZ,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-02-01,75,23,75,23,98
MAGDALENA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-02-01,1,0,1,0,1
POCOATA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-02-01,3,0,3,0,3
POJO (CBBA),vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-02-01,19,0,19,0,19
SACABA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-02-01,0,3,0,3,3
SACACA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-02-01,0,4,0,4,4
SAN IGNACIO,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-02-01,4,0,4,0,4
SAN PEDRO,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-02-01,6,0,6,0,6
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-02-01,32,0,32,0,32
SANTUARIO DE QUILLACAS,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-02-01,1,2,1,2,3
TARABUCO,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-02-01,1,0,1,0,1
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-02-01,1,0,1,0,1
TOMAVE,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-02-01,1,2,1,2,3
TOTORA(CBBA),vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-02-01,4,0,4,0,4
VILLA MONTES,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-02-01,1,0,1,0,1
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-02-01,0,1,0,1,1
VILLAZON,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-02-01,3,0,3,0,3
VINTO,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-02-01,1,0,1,0,1
VITICHI,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-02-01,0,3,0,3,3
ACHACACHI,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-03-01,35,223,35,223,258
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-03-01,0,20,0,20,20
AZURDUY,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-03-01,1,0,1,0,1
BOLPEBRA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-03-01,0,1,0,1,1
CARIPUYO,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-03-01,11,0,11,0,11
CHALLAPATA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-03-01,0,1,0,1,1
CHIMORE,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-03-01,1,0,1,0,1
COBIJA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-03-01,19,3,19,3,22
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-03-01,1,0,1,0,1
EL ALTO,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-03-01,3,0,3,0,3
EL PUENTE(TJA),vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-03-01,3,0,3,0,3
EXALTACION,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-03-01,1,9,1,9,10
GENERAL SAAVEDRA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-03-01,0,3,0,3,3
HUACARETA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-03-01,9,0,9,0,9
LA PAZ,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-03-01,1,0,1,0,1
MINEROS,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-03-01,0,24,0,24,24
PALCA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-03-01,16,17,16,17,33
PELECHUCO,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-03-01,0,1,0,1,1
POROMA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-03-01,1,31,1,31,32
PORTACHUELO,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-03-01,24,0,24,0,24
PUERTO RICO,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-03-01,5,2,5,2,7
PUERTO SUAREZ,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-03-01,1,0,1,0,1
PUNATA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-03-01,3,0,3,0,3
SACABA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-03-01,1,0,1,0,1
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-03-01,0,36,0,36,36
SAN IGNACIO,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-03-01,3,0,3,0,3
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-03-01,0,0,0,0,0
SUCRE,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-03-01,9,1,9,1,10
TUPIZA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-03-01,1,0,1,0,1
URIONDO (A. CONCEPCION),vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-03-01,4,0,4,0,4
UYUNI,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-03-01,44,0,44,0,44
VILLA MONTES,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-03-01,1,0,1,0,1
VILLA SERRANO,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-03-01,0,5,0,5,5
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-03-01,3,0,3,0,3
VINTO,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-03-01,1,0,1,0,1
WARNES,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2010-03-01,1,0,1,0,1
