,group,variable,month,SRP DOSIS ÚNICA CANTIDAD,SRP DOSIS ÚNICA CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,DENTRO,FUERA,TOTAL DENTRO,TOTAL FUERA,TOTAL
municipality,,,,,,,,
CABEZAS,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-01-01,1,0,1,0,1
CAMIRI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-01-01,2,0,2,0,2
CAPINOTA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-01-01,1,0,1,0,1
CARAPARI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-01-01,1,0,1,0,1
CHALLAPATA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-01-01,0,1,0,1,1
CHIMORE,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-01-01,2,0,2,0,2
COLOMI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-01-01,0,1,0,1,1
COTOCA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-01-01,3,0,3,0,3
EL ALTO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-01-01,18,4,18,4,22
EL TORNO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-01-01,1,0,1,0,1
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-01-01,1,0,1,0,1
ESCOMA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-01-01,7,3,7,3,10
HUANUNI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-01-01,0,1,0,1,1
ICHOCA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-01-01,0,1,0,1,1
LA GUARDIA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-01-01,6,0,6,0,6
LA PAZ,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-01-01,43,6,43,6,49
MACHACAMARCA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-01-01,2,0,2,0,2
MONTERO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-01-01,3,2,3,2,5
ORURO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-01-01,2,0,2,0,2
PAPEL PAMPA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-01-01,0,2,0,2,2
POTOSI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-01-01,1,0,1,0,1
PUNATA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-01-01,0,1,0,1,1
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-01-01,3,0,3,0,3
SACABA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-01-01,1,2,1,2,3
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-01-01,1,0,1,0,1
SAN LUCAS,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-01-01,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-01-01,48,14,48,14,62
SANTA ROSA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-01-01,5,0,5,0,5
SANTA ROSA DEL SARA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-01-01,1,0,1,0,1
SAPAHAQUI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-01-01,1,2,1,2,3
SUCRE,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-01-01,4,0,4,0,4
TARACO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-01-01,0,1,0,1,1
TARIJA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-01-01,5,0,5,0,5
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-01-01,0,5,0,5,5
TOLATA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-01-01,0,1,0,1,1
VIACHA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-01-01,2,0,2,0,2
VILLA MONTES,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-01-01,1,1,1,1,2
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-01-01,2,2,2,2,4
VINTO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-01-01,3,0,3,0,3
YACUIBA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-01-01,11,3,11,3,14
AIQUILE,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-02-01,0,1,0,1,1
APOLO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-02-01,17,0,17,0,17
ATOCHA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-02-01,1,0,1,0,1
CAMIRI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-02-01,1,0,1,0,1
CAPINOTA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-02-01,1,0,1,0,1
CARANAVI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-02-01,0,1,0,1,1
COBIJA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-02-01,2,4,2,4,6
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-02-01,1,0,1,0,1
COLCAPIRHUA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-02-01,1,0,1,0,1
COLOMI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-02-01,1,0,1,0,1
COMARAPA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-02-01,2,0,2,0,2
COROICO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-02-01,0,1,0,1,1
EL ALTO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-02-01,16,0,16,0,16
EL TORNO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-02-01,1,0,1,0,1
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-02-01,0,3,0,3,3
GENERAL SAAVEDRA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-02-01,1,0,1,0,1
GUAYARAMERIN,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-02-01,1,1,1,1,2
HUACAYA (VILLA DE HUACAYA),vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-02-01,0,1,0,1,1
ICHOCA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-02-01,0,1,0,1,1
LA GUARDIA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-02-01,1,0,1,0,1
LA PAZ,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-02-01,16,4,16,4,20
MECAPACA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-02-01,1,0,1,0,1
MINEROS,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-02-01,0,1,0,1,1
MONTERO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-02-01,2,1,2,1,3
ORURO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-02-01,4,1,4,1,5
PAMPA AULLAGAS,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-02-01,0,1,0,1,1
PORTACHUELO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-02-01,2,1,2,1,3
PORVENIR,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-02-01,2,0,2,0,2
POTOSI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-02-01,1,0,1,0,1
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-02-01,4,0,4,0,4
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-02-01,4,0,4,0,4
QUIRUSILLAS,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-02-01,1,0,1,0,1
ROBORE,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-02-01,1,0,1,0,1
RURRENABAQUE,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-02-01,1,0,1,0,1
SACABA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-02-01,3,5,3,5,8
SALINAS DE GARCI MENDOZA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-02-01,1,0,1,0,1
SAN BENITO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-02-01,0,1,0,1,1
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-02-01,0,15,0,15,15
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-02-01,3,1,3,1,4
SAN JAVIER(BNI),vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-02-01,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-02-01,48,31,48,31,79
SANTIVAÑES,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-02-01,1,0,1,0,1
SUCRE,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-02-01,1,0,1,0,1
TARIJA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-02-01,1,0,1,0,1
TIAWANACU,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-02-01,2,3,2,3,5
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-02-01,2,0,2,0,2
TOLATA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-02-01,1,1,1,1,2
TUPIZA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-02-01,1,3,1,3,4
URUBICHA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-02-01,0,2,0,2,2
VIACHA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-02-01,3,1,3,1,4
VILLA MONTES,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-02-01,0,1,0,1,1
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2010-02-01,2,1,2,1,3
