,group,variable,month,NUEVAS ANTES DEL 5TO MES DE EMBARAZO CANTIDAD,NUEVAS ANTES DEL 5TO MES DE EMBARAZO CANTIDAD,TOTALES
,,,,DENTRO,FUERA,TOTAL
municipality,,,,,,
ACACIO,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,3,0,3
ACHACACHI,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,45,1,46
ACHOCALLA,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,14,4,18
AIQUILE,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,53,1,54
ALALAY,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,2,1,3
ALCALA,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,7,1,8
ALTO BENI,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,24,1,25
ANCORAIMES,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,8,1,9
ANDAMARCA,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,2,0,2
ANZALDO,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,2,0,2
APOLO,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,31,6,37
ARAMPAMPA,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,3,4,7
ARANI,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,20,0,20
ARBIETO,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,14,3,17
ARQUE,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,19,0,19
ASCENCION DE GUARAYOS,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,32,2,34
ATOCHA,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,36,0,36
AUCAPATA,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,4,0,4
AYATA,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,2,1,3
AYO AYO,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,7,0,7
AYOPAYA (V. DE INDEPENDENCIA),consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,40,1,41
AZURDUY,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,7,1,8
BATALLAS,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,16,2,18
BAURES,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,12,0,12
BELEN DE URMIRI,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,3,1,4
BELLA FLOR,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,2,0,2
BERMEJO,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,55,4,59
BETANZOS,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,36,2,38
BOLIVAR,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,4,0,4
BOLPEBRA,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,2,3,5
BOYUIBE,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,4,0,4
BUENA VISTA,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,28,0,28
CABEZAS,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,43,0,43
CAIROMA,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,12,0,12
"CAIZA ""D""",consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,11,0,11
CAJUATA,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,7,0,7
CALACOTO,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,2,0,2
CALAMARCA,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,15,2,17
CAMARGO,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,52,1,53
CAMATAQUI (C. VILLA ABECIA),consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,2,0,2
CAMIRI,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,72,0,72
CAPINOTA,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,36,0,36
CAQUIAVIRI,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,4,0,4
CARACOLLO,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,29,3,32
CARANAVI,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,74,4,78
CARANGAS,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,2,1,3
CARAPARI,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,33,0,33
CARIPUYO,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,6,3,9
CARMEN RIVERO TORREZ,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,9,0,9
CATACORA,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,1,0,1
CHALLAPATA,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,64,3,67
CHAQUI,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,8,1,9
CHARAGUA,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,59,1,60
CHARAÑA,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,2,1,3
CHAYANTA,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,18,3,21
CHIMORE,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,44,0,44
CHIPAYA,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,3,0,3
CHUA COCANI,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,0,2,2
CHULUMANI (V. DE LA LIBERTAD),consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,26,0,26
CHUMA,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,9,2,11
CHUQUIHUTA AYLLU JUCUMANI,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,14,3,17
CKOCHAS,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,18,0,18
CLIZA,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,34,1,35
COBIJA,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,156,0,156
COCAPATA,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,9,2,11
COCHABAMBA,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,2094,2,2096
COIPASA,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,1,0,1
COLCAPIRHUA,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,130,0,130
"COLCHA ""K""",consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,17,1,18
COLLANA,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,1,0,1
COLOMI,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,24,0,24
COLPA BELGICA,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,7,0,7
COLQUECHACA,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,27,7,34
COLQUENCHA,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,11,0,11
COLQUIRI,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,20,6,26
COMANCHE,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,3,0,3
COMARAPA,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,26,0,26
COMBAYA,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,3,0,3
CONCEPCION,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,34,0,34
COPACABANA,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,19,0,19
CORIPATA,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,12,1,13
CORO CORO,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,11,1,12
COROICO,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,35,1,36
CORQUE,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,1,0,1
COTAGAITA,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,26,5,31
COTOCA,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,117,0,117
CUATRO CAÑADAS,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,38,2,40
CUCHUMUELA (V. G. VILLARROEL),consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,1,0,1
CUEVO,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,2,1,3
CULPINA,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,39,4,43
CURAHUARA DE CARANGAS,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,2,0,2
CURVA,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,2,0,2
DESAGUADERO,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,9,0,9
EL ALTO,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,1795,2,1797
EL CHORO,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,0,1,1
EL PUENTE(STC),consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,17,1,18
EL PUENTE(TJA),consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,14,0,14
EL TORNO,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,93,1,94
EL VILLAR,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,11,1,12
ENTRE RIOS TRJ,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,33,2,35
ENTRE RIOS CBBA,consultas prenatales,nuevas antes del 5to mes de embarazo,2013-01-01,77,0,77
