,group,variable,month,REPETIDAS TOTAL 4.3 REPETIDAS,REPETIDAS TOTAL 4.3 REPETIDAS,TOTALES
,,,,DENTRO,FUERA,TOTAL
municipality,,,,,,
ACACIO,consultas prenatales,repetidas,2013-01-01,10,0,10
ACHACACHI,consultas prenatales,repetidas,2013-01-01,185,4,189
ACHOCALLA,consultas prenatales,repetidas,2013-01-01,49,9,58
AIQUILE,consultas prenatales,repetidas,2013-01-01,196,1,197
ALALAY,consultas prenatales,repetidas,2013-01-01,8,2,10
ALCALA,consultas prenatales,repetidas,2013-01-01,20,0,20
ALTO BENI,consultas prenatales,repetidas,2013-01-01,65,2,67
ANCORAIMES,consultas prenatales,repetidas,2013-01-01,38,3,41
ANDAMARCA,consultas prenatales,repetidas,2013-01-01,3,3,6
ANTEQUERA,consultas prenatales,repetidas,2013-01-01,0,21,21
ANZALDO,consultas prenatales,repetidas,2013-01-01,25,8,33
APOLO,consultas prenatales,repetidas,2013-01-01,110,8,118
ARAMPAMPA,consultas prenatales,repetidas,2013-01-01,14,11,25
ARANI,consultas prenatales,repetidas,2013-01-01,91,1,92
ARBIETO,consultas prenatales,repetidas,2013-01-01,61,5,66
ARQUE,consultas prenatales,repetidas,2013-01-01,56,3,59
ASCENCION DE GUARAYOS,consultas prenatales,repetidas,2013-01-01,148,6,154
ATOCHA,consultas prenatales,repetidas,2013-01-01,81,2,83
AUCAPATA,consultas prenatales,repetidas,2013-01-01,13,1,14
AYATA,consultas prenatales,repetidas,2013-01-01,21,7,28
AYO AYO,consultas prenatales,repetidas,2013-01-01,25,1,26
AYOPAYA (V. DE INDEPENDENCIA),consultas prenatales,repetidas,2013-01-01,135,4,139
AZURDUY,consultas prenatales,repetidas,2013-01-01,34,8,42
BATALLAS,consultas prenatales,repetidas,2013-01-01,60,6,66
BAURES,consultas prenatales,repetidas,2013-01-01,36,0,36
BELEN DE ANDAMARCA,consultas prenatales,repetidas,2013-01-01,2,1,3
BELEN DE URMIRI,consultas prenatales,repetidas,2013-01-01,1,2,3
BELLA FLOR,consultas prenatales,repetidas,2013-01-01,6,0,6
BERMEJO,consultas prenatales,repetidas,2013-01-01,292,0,292
BETANZOS,consultas prenatales,repetidas,2013-01-01,126,10,136
BOLIVAR,consultas prenatales,repetidas,2013-01-01,20,8,28
BOLPEBRA,consultas prenatales,repetidas,2013-01-01,0,4,4
BOYUIBE,consultas prenatales,repetidas,2013-01-01,19,0,19
BUENA VISTA,consultas prenatales,repetidas,2013-01-01,43,1,44
CABEZAS,consultas prenatales,repetidas,2013-01-01,182,5,187
CAIROMA,consultas prenatales,repetidas,2013-01-01,20,2,22
"CAIZA ""D""",consultas prenatales,repetidas,2013-01-01,32,4,36
CAJUATA,consultas prenatales,repetidas,2013-01-01,56,0,56
CALACOTO,consultas prenatales,repetidas,2013-01-01,10,1,11
CALAMARCA,consultas prenatales,repetidas,2013-01-01,45,3,48
CAMARGO,consultas prenatales,repetidas,2013-01-01,90,43,133
CAMATAQUI (C. VILLA ABECIA),consultas prenatales,repetidas,2013-01-01,12,4,16
CAMIRI,consultas prenatales,repetidas,2013-01-01,361,0,361
CAPINOTA,consultas prenatales,repetidas,2013-01-01,186,1,187
CAQUIAVIRI,consultas prenatales,repetidas,2013-01-01,19,5,24
CARACOLLO,consultas prenatales,repetidas,2013-01-01,103,4,107
CARANAVI,consultas prenatales,repetidas,2013-01-01,362,11,373
CARAPARI,consultas prenatales,repetidas,2013-01-01,92,0,92
CARIPUYO,consultas prenatales,repetidas,2013-01-01,16,21,37
CARMEN RIVERO TORREZ,consultas prenatales,repetidas,2013-01-01,13,0,13
CATACORA,consultas prenatales,repetidas,2013-01-01,1,0,1
CHACARILLA,consultas prenatales,repetidas,2013-01-01,1,0,1
CHALLAPATA,consultas prenatales,repetidas,2013-01-01,224,25,249
CHAQUI,consultas prenatales,repetidas,2013-01-01,42,0,42
CHARAGUA,consultas prenatales,repetidas,2013-01-01,162,19,181
CHARAÑA,consultas prenatales,repetidas,2013-01-01,6,0,6
CHAYANTA,consultas prenatales,repetidas,2013-01-01,45,15,60
CHIMORE,consultas prenatales,repetidas,2013-01-01,162,4,166
CHIPAYA,consultas prenatales,repetidas,2013-01-01,8,0,8
CHOQUE COTA,consultas prenatales,repetidas,2013-01-01,3,2,5
CHUA COCANI,consultas prenatales,repetidas,2013-01-01,2,0,2
CHULUMANI (V. DE LA LIBERTAD),consultas prenatales,repetidas,2013-01-01,110,2,112
CHUMA,consultas prenatales,repetidas,2013-01-01,25,7,32
CHUQUIHUTA AYLLU JUCUMANI,consultas prenatales,repetidas,2013-01-01,39,2,41
CKOCHAS,consultas prenatales,repetidas,2013-01-01,49,5,54
CLIZA,consultas prenatales,repetidas,2013-01-01,244,3,247
COBIJA,consultas prenatales,repetidas,2013-01-01,671,0,671
COCAPATA,consultas prenatales,repetidas,2013-01-01,31,20,51
COCHABAMBA,consultas prenatales,repetidas,2013-01-01,6468,3,6471
COIPASA,consultas prenatales,repetidas,2013-01-01,2,0,2
COLCAPIRHUA,consultas prenatales,repetidas,2013-01-01,452,0,452
"COLCHA ""K""",consultas prenatales,repetidas,2013-01-01,52,3,55
COLLANA,consultas prenatales,repetidas,2013-01-01,2,1,3
COLOMI,consultas prenatales,repetidas,2013-01-01,120,0,120
COLPA BELGICA,consultas prenatales,repetidas,2013-01-01,29,0,29
COLQUECHACA,consultas prenatales,repetidas,2013-01-01,105,37,142
COLQUENCHA,consultas prenatales,repetidas,2013-01-01,63,2,65
COLQUIRI,consultas prenatales,repetidas,2013-01-01,41,26,67
COMANCHE,consultas prenatales,repetidas,2013-01-01,19,0,19
COMARAPA,consultas prenatales,repetidas,2013-01-01,159,0,159
COMBAYA,consultas prenatales,repetidas,2013-01-01,0,2,2
CONCEPCION,consultas prenatales,repetidas,2013-01-01,116,0,116
COPACABANA,consultas prenatales,repetidas,2013-01-01,107,1,108
CORIPATA,consultas prenatales,repetidas,2013-01-01,47,0,47
CORO CORO,consultas prenatales,repetidas,2013-01-01,40,4,44
COROICO,consultas prenatales,repetidas,2013-01-01,128,9,137
CORQUE,consultas prenatales,repetidas,2013-01-01,16,2,18
COTAGAITA,consultas prenatales,repetidas,2013-01-01,87,14,101
COTOCA,consultas prenatales,repetidas,2013-01-01,419,3,422
CRUZ DE MACHACAMARCA,consultas prenatales,repetidas,2013-01-01,0,1,1
CUATRO CAÑADAS,consultas prenatales,repetidas,2013-01-01,141,1,142
CUCHUMUELA (V. G. VILLARROEL),consultas prenatales,repetidas,2013-01-01,6,1,7
CUEVO,consultas prenatales,repetidas,2013-01-01,12,4,16
CULPINA,consultas prenatales,repetidas,2013-01-01,65,8,73
CURAHUARA DE CARANGAS,consultas prenatales,repetidas,2013-01-01,24,1,25
CURVA,consultas prenatales,repetidas,2013-01-01,3,2,5
DESAGUADERO,consultas prenatales,repetidas,2013-01-01,47,0,47
EL ALTO,consultas prenatales,repetidas,2013-01-01,6459,0,6459
EL CHORO,consultas prenatales,repetidas,2013-01-01,8,6,14
EL PUENTE(STC),consultas prenatales,repetidas,2013-01-01,77,3,80
EL PUENTE(TJA),consultas prenatales,repetidas,2013-01-01,88,12,100
EL TORNO,consultas prenatales,repetidas,2013-01-01,255,16,271
EL VILLAR,consultas prenatales,repetidas,2013-01-01,11,2,13
ENTRE RIOS TRJ,consultas prenatales,repetidas,2013-01-01,156,11,167
ENTRE RIOS CBBA,consultas prenatales,repetidas,2013-01-01,185,0,185
ESCARA,consultas prenatales,repetidas,2013-01-01,2,0,2
ESCOMA,consultas prenatales,repetidas,2013-01-01,27,0,27
EUCALIPTUS,consultas prenatales,repetidas,2013-01-01,18,0,18
EUREKA (SANTOS MERCADO),consultas prenatales,repetidas,2013-01-01,8,1,9
EXALTACION,consultas prenatales,repetidas,2013-01-01,9,1,10
FERNANDEZ ALONSO,consultas prenatales,repetidas,2013-01-01,75,0,75
FILADELFIA,consultas prenatales,repetidas,2013-01-01,21,2,23
GENERAL SAAVEDRA,consultas prenatales,repetidas,2013-01-01,99,0,99
GRAL. J.J. PEREZ (CHARAZANI),consultas prenatales,repetidas,2013-01-01,37,12,49
GUANAY,consultas prenatales,repetidas,2013-01-01,70,5,75
GUAQUI,consultas prenatales,repetidas,2013-01-01,17,3,20
GUAYARAMERIN,consultas prenatales,repetidas,2013-01-01,504,0,504
GUTIERREZ,consultas prenatales,repetidas,2013-01-01,74,23,97
HUACARETA,consultas prenatales,repetidas,2013-01-01,52,1,53
HUACAYA (VILLA DE HUACAYA),consultas prenatales,repetidas,2013-01-01,12,13,25
HUACHACALLA,consultas prenatales,repetidas,2013-01-01,9,0,9
HUANUNI,consultas prenatales,repetidas,2013-01-01,341,0,341
HUARACAJE,consultas prenatales,repetidas,2013-01-01,15,0,15
HUARINA,consultas prenatales,repetidas,2013-01-01,24,1,25
HUATAJATA,consultas prenatales,repetidas,2013-01-01,17,0,17
HUAYLLAMARCA,consultas prenatales,repetidas,2013-01-01,9,4,13
HUMANATA,consultas prenatales,repetidas,2013-01-01,10,3,13
ICHOCA,consultas prenatales,repetidas,2013-01-01,5,5,10
ICLA,consultas prenatales,repetidas,2013-01-01,31,14,45
INCAHUASI,consultas prenatales,repetidas,2013-01-01,38,9,47
INGAVI (HUMAITA),consultas prenatales,repetidas,2013-01-01,13,0,13
INQUISIVI,consultas prenatales,repetidas,2013-01-01,24,23,47
IRUPANA (VILLA DE LANZA),consultas prenatales,repetidas,2013-01-01,44,4,48
IXIAMAS,consultas prenatales,repetidas,2013-01-01,52,6,58
JESUS DE MACHACA,consultas prenatales,repetidas,2013-01-01,76,0,76
LA ASUNTA,consultas prenatales,repetidas,2013-01-01,316,2,318
LA GUARDIA,consultas prenatales,repetidas,2013-01-01,601,0,601
LA PAZ,consultas prenatales,repetidas,2013-01-01,7217,2,7219
