,group,variable,month,NUEVAS A PARTIR DEL 5TO MES DE EMBARAZO CANTIDAD,NUEVAS A PARTIR DEL 5TO MES DE EMBARAZO CANTIDAD,TOTALES
,,,,DENTRO,FUERA,TOTAL
municipality,,,,,,
ACACIO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,2,0,2
ACHACACHI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,38,2,40
ACHOCALLA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,12,2,14
AIQUILE,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,29,2,31
ALALAY,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,1,0,1
ALCALA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,1,0,1
ALTO BENI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,6,0,6
ANCORAIMES,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,10,3,13
ANDAMARCA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,1,2,3
ANTEQUERA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,0,3,3
ANZALDO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,2,5,7
APOLO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,15,2,17
ARAMPAMPA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,4,0,4
ARANI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,10,0,10
ARBIETO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,3,2,5
ARQUE,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,7,0,7
ASCENCION DE GUARAYOS,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,24,0,24
ATOCHA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,35,0,35
AUCAPATA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,1,1,2
AYATA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,5,1,6
AYO AYO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,10,0,10
AYOPAYA (V. DE INDEPENDENCIA),consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,23,4,27
AZURDUY,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,4,0,4
BATALLAS,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,14,2,16
BAURES,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,6,0,6
BELEN DE ANDAMARCA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,2,0,2
BELEN DE URMIRI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,0,1,1
BELLA FLOR,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,1,0,1
BERMEJO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,21,0,21
BETANZOS,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,21,4,25
BOLIVAR,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,5,0,5
BOLPEBRA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,0,3,3
BOYUIBE,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,6,0,6
BUENA VISTA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,12,0,12
CABEZAS,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,23,1,24
CAIROMA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,7,0,7
"CAIZA ""D""",consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,2,3,5
CAJUATA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,4,1,5
CALAMARCA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,12,4,16
CAMARGO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,9,1,10
CAMIRI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,25,0,25
CAPINOTA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,19,0,19
CAQUIAVIRI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,6,1,7
CARACOLLO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,14,0,14
CARANAVI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,40,3,43
CARANGAS,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,1,0,1
CARAPARI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,7,1,8
CARIPUYO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,4,1,5
CARMEN RIVERO TORREZ,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,11,0,11
CHALLAPATA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,52,6,58
CHAQUI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,4,0,4
CHARAGUA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,48,4,52
CHARAÑA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,0,1,1
CHAYANTA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,10,3,13
CHIMORE,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,27,1,28
CHIPAYA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,1,0,1
CHULUMANI (V. DE LA LIBERTAD),consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,12,1,13
CHUMA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,2,1,3
CHUQUIHUTA AYLLU JUCUMANI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,3,0,3
CKOCHAS,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,5,2,7
CLIZA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,20,2,22
COBIJA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,58,0,58
COCAPATA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,12,7,19
COCHABAMBA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,1756,9,1765
COIPASA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,1,0,1
COLCAPIRHUA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,65,0,65
"COLCHA ""K""",consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,5,0,5
COLOMI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,24,0,24
COLPA BELGICA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,13,0,13
COLQUECHACA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,28,6,34
COLQUENCHA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,6,0,6
COLQUIRI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,7,4,11
COMANCHE,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,4,0,4
COMARAPA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,3,0,3
CONCEPCION,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,29,0,29
COPACABANA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,6,1,7
CORIPATA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,7,0,7
CORO CORO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,4,0,4
COROICO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,40,3,43
CORQUE,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,2,0,2
COTAGAITA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,8,7,15
COTOCA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,96,2,98
CUATRO CAÑADAS,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,10,0,10
CUCHUMUELA (V. G. VILLARROEL),consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,1,0,1
CUEVO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,4,0,4
CULPINA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,2,3,5
CURAHUARA DE CARANGAS,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,5,0,5
CURVA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,1,0,1
DESAGUADERO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,5,0,5
EL ALTO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,1143,1,1144
EL CHORO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,1,0,1
EL PUENTE(STC),consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,12,0,12
EL PUENTE(TJA),consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,4,0,4
EL TORNO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,24,2,26
ENTRE RIOS TRJ,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,16,0,16
ENTRE RIOS CBBA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,29,0,29
ESCOMA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,13,0,13
ESMERALDA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,0,1,1
EUCALIPTUS,consultas prenatales,nuevas a partir del 5to mes de embarazo,2013-01-01,2,0,2
