,group,variable,month,TRAT. ODONTOLÓGICO INTEGRAL TERMINADO MENORES DE 5 AÑOS,TRAT. ODONTOLÓGICO INTEGRAL TERMINADO MENORES DE 5 AÑOS,TRAT. ODONTOLÓGICO INTEGRAL TERMINADO 5 A 13 AÑOS,TRAT. ODONTOLÓGICO INTEGRAL TERMINADO 5 A 13 AÑOS,TRAT. ODONTOLÓGICO INTEGRAL TERMINADO 14 A 19 AÑOS,TRAT. ODONTOLÓGICO INTEGRAL TERMINADO 14 A 19 AÑOS,TRAT. ODONTOLÓGICO INTEGRAL TERMINADO 20 A 59 AÑOS,TRAT. ODONTOLÓGICO INTEGRAL TERMINADO 20 A 59 AÑOS,TRAT. ODONTOLÓGICO INTEGRAL TERMINADO 60 AÑOS Y MAS,TRAT. ODONTOLÓGICO INTEGRAL TERMINADO 60 AÑOS Y MAS,TRAT. ODONTOLÓGICO INTEGRAL TERMINADO EMB,TRAT. ODONTOLÓGICO INTEGRAL TERMINADO EMB,TRAT. ODONTOLÓGICO INTEGRAL TERMINADO EMB,TRAT. ODONTOLÓGICO INTEGRAL TERMINADO EMB,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO.1,FEMENINO.1,TOTAL
municipality,,,,,,,,,,,,,,,,,,
ACHACACHI,atencion odontologica,trat. odontologico integral terminado,2022-01-01,1,0,0,0,2,0,0,2,0,0,0,0,0,0,5
AIQUILE,atencion odontologica,trat. odontologico integral terminado,2022-01-01,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2
ALALAY,atencion odontologica,trat. odontologico integral terminado,2022-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
ANTEQUERA,atencion odontologica,trat. odontologico integral terminado,2022-01-01,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2
ARAMPAMPA,atencion odontologica,trat. odontologico integral terminado,2022-01-01,0,0,0,0,3,0,4,2,0,1,0,0,0,0,10
ARBIETO,atencion odontologica,trat. odontologico integral terminado,2022-01-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
ASCENCION DE GUARAYOS,atencion odontologica,trat. odontologico integral terminado,2022-01-01,0,0,5,2,1,2,0,1,0,0,0,0,0,0,11
ATOCHA,atencion odontologica,trat. odontologico integral terminado,2022-01-01,0,0,2,0,3,3,0,0,0,0,0,0,0,0,8
