,group,variable,month,CIRUGIA BUCOMAXILOFACIAL MENOR MENORES DE 5 AÑOS,CIRUGIA BUCOMAXILOFACIAL MENOR MENORES DE 5 AÑOS,CIRUGIA BUCOMAXILOFACIAL MENOR 5 A 13 AÑOS,CIRUGIA BUCOMAXILOFACIAL MENOR 5 A 13 AÑOS,CIRUGIA BUCOMAXILOFACIAL MENOR 14 A 19 AÑOS,CIRUGIA BUCOMAXILOFACIAL MENOR 14 A 19 AÑOS,CIRUGIA BUCOMAXILOFACIAL MENOR 20 A 59 AÑOS,CIRUGIA BUCOMAXILOFACIAL MENOR 20 A 59 AÑOS,CIRUGIA BUCOMAXILOFACIAL MENOR 60 AÑOS Y MAS,CIRUGIA BUCOMAXILOFACIAL MENOR 60 AÑOS Y MAS,CIRUGIA BUCOMAXILOFACIAL MENOR EMB,CIRUGIA BUCOMAXILOFACIAL MENOR EMB,CIRUGIA BUCOMAXILOFACIAL MENOR POST,CIRUGIA BUCOMAXILOFACIAL MENOR POST,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,,,,,,,,,,,,,
ACHACACHI,atencion odontologica,cirugia bucomaxilofacial menor,2022-01-01,0,0,0,4,0,0,0,1,0,0,0,0,0,0,5
ASCENCION DE GUARAYOS,atencion odontologica,cirugia bucomaxilofacial menor,2022-01-01,4,2,5,5,2,7,7,16,7,0,0,0,0,0,55
BERMEJO,atencion odontologica,cirugia bucomaxilofacial menor,2022-01-01,0,0,0,0,0,0,0,9,2,1,0,0,0,0,12
BETANZOS,atencion odontologica,cirugia bucomaxilofacial menor,2022-01-01,0,0,2,3,0,3,0,4,0,0,0,0,0,0,12
BOLPEBRA,atencion odontologica,cirugia bucomaxilofacial menor,2022-01-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
BUENA VISTA,atencion odontologica,cirugia bucomaxilofacial menor,2022-01-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
CABEZAS,atencion odontologica,cirugia bucomaxilofacial menor,2022-01-01,0,0,0,0,0,0,2,5,0,0,0,0,0,0,7
CHALLAPATA,atencion odontologica,cirugia bucomaxilofacial menor,2022-01-01,0,0,2,7,0,2,2,1,1,0,0,0,0,0,15
COBIJA,atencion odontologica,cirugia bucomaxilofacial menor,2022-01-01,0,0,4,2,0,0,0,2,0,0,0,0,0,0,8
