,group,variable,month,RAYOS X DENTAL MENORES DE 5 AÑOS,RAYOS X DENTAL MENORES DE 5 AÑOS,RAYOS X DENTAL 5 A 13 AÑOS,RAYOS X DENTAL 5 A 13 AÑOS,RAYOS X DENTAL 14 A 19 AÑOS,RAYOS X DENTAL 14 A 19 AÑOS,RAYOS X DENTAL 20 A 59 AÑOS,RAYOS X DENTAL 20 A 59 AÑOS,RAYOS X DENTAL 60 AÑOS Y MAS,RAYOS X DENTAL 60 AÑOS Y MAS,RAYOS X DENTAL EMB,RAYOS X DENTAL EMB,RAYOS X DENTAL EMB,RAYOS X DENTAL EMB,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO.1,FEMENINO.1,TOTAL
municipality,,,,,,,,,,,,,,,,,,
ACHACACHI,atencion odontologica,rayos x dental,2022-01-01,0,0,1,1,2,2,4,5,0,0,0,0,0,0,15
ACHOCALLA,atencion odontologica,rayos x dental,2022-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
AIQUILE,atencion odontologica,rayos x dental,2022-01-01,0,0,2,0,0,4,5,3,0,0,0,0,0,0,14
ANDAMARCA,atencion odontologica,rayos x dental,2022-01-01,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2
ANTEQUERA,atencion odontologica,rayos x dental,2022-01-01,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2
APOLO,atencion odontologica,rayos x dental,2022-01-01,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2
ARANI,atencion odontologica,rayos x dental,2022-01-01,0,0,2,2,2,2,3,11,1,1,0,0,0,0,24
ARQUE,atencion odontologica,rayos x dental,2022-01-01,0,0,0,1,0,0,1,1,0,0,0,0,0,0,3
ATOCHA,atencion odontologica,rayos x dental,2022-01-01,0,0,5,1,2,1,8,4,1,0,0,0,0,0,22
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica,rayos x dental,2022-01-01,0,0,0,0,1,4,1,4,0,0,0,0,0,0,10
