,group,variable,month,CONSULTA REPETIDA MENORES DE 5 AÑOS,CONSULTA REPETIDA MENORES DE 5 AÑOS,CONSULTA REPETIDA 5 A 13 AÑOS,CONSULTA REPETIDA 5 A 13 AÑOS,CONSULTA REPETIDA 14 A 19 AÑOS,CONSULTA REPETIDA 14 A 19 AÑOS,CONSULTA REPETIDA 20 A 59 AÑOS,CONSULTA REPETIDA 20 A 59 AÑOS,CONSULTA REPETIDA 60 AÑOS Y MAS,CONSULTA REPETIDA 60 AÑOS Y MAS,CONSULTA REPETIDA EMB,CONSULTA REPETIDA EMB,CONSULTA REPETIDA POST,CONSULTA REPETIDA POST,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,,,,,,,,,,,,,
ACACIO,atencion odontologica,consulta repetida,2022-01-01,0,0,1,6,0,0,0,7,1,0,0,0,0,0,15
ACHACACHI,atencion odontologica,consulta repetida,2022-01-01,1,4,6,7,8,8,10,18,1,15,0,0,0,1,79
ACHOCALLA,atencion odontologica,consulta repetida,2022-01-01,4,0,0,0,0,4,4,11,2,0,0,0,0,0,25
AIQUILE,atencion odontologica,consulta repetida,2022-01-01,0,4,3,8,0,4,11,16,0,0,0,0,0,0,46
ALCALA,atencion odontologica,consulta repetida,2022-01-01,0,0,4,2,2,7,8,14,0,0,0,1,0,0,38
ALTO BENI,atencion odontologica,consulta repetida,2022-01-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
ANDAMARCA,atencion odontologica,consulta repetida,2022-01-01,0,0,0,0,3,3,1,5,3,1,0,0,0,0,16
ANTEQUERA,atencion odontologica,consulta repetida,2022-01-01,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2
ANZALDO,atencion odontologica,consulta repetida,2022-01-01,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2
ARAMPAMPA,atencion odontologica,consulta repetida,2022-01-01,0,0,0,0,3,1,5,3,0,0,0,0,0,0,12
ARANI,atencion odontologica,consulta repetida,2022-01-01,2,4,3,2,3,24,10,22,0,3,0,0,0,0,73
ARBIETO,atencion odontologica,consulta repetida,2022-01-01,0,0,0,1,0,1,0,2,0,0,0,0,0,0,4
ARQUE,atencion odontologica,consulta repetida,2022-01-01,0,1,1,7,6,8,8,14,1,0,0,1,0,0,47
