,group,variable,month,ENDODONCIA MENORES DE 5 AÑOS,ENDODONCIA MENORES DE 5 AÑOS,ENDODONCIA 5 A 13 AÑOS,ENDODONCIA 5 A 13 AÑOS,ENDODONCIA 14 A 19 AÑOS,ENDODONCIA 14 A 19 AÑOS,ENDODONCIA 20 A 59 AÑOS,ENDODONCIA 20 A 59 AÑOS,ENDODONCIA 60 AÑOS Y MAS,ENDODONCIA 60 AÑOS Y MAS,ENDODONCIA EMB,ENDODONCIA EMB,ENDODONCIA POST,ENDODONCIA POST,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,,,,,,,,,,,,,
ACACIO,atencion odontologica,endodoncia,2022-01-01,0,0,2,4,0,0,0,1,0,0,0,0,0,0,7
ACHACACHI,atencion odontologica,endodoncia,2022-01-01,0,4,10,20,24,24,22,31,4,36,0,0,0,0,175
ACHOCALLA,atencion odontologica,endodoncia,2022-01-01,2,1,2,3,0,6,4,24,2,0,0,0,0,0,44
AIQUILE,atencion odontologica,endodoncia,2022-01-01,0,2,4,2,0,12,8,10,0,0,0,0,0,0,38
ALTO BENI,atencion odontologica,endodoncia,2022-01-01,0,0,0,10,5,7,0,12,0,0,0,0,0,0,34
ANCORAIMES,atencion odontologica,endodoncia,2022-01-01,0,0,0,1,0,0,1,2,0,0,0,0,0,0,4
ANDAMARCA,atencion odontologica,endodoncia,2022-01-01,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2
ANZALDO,atencion odontologica,endodoncia,2022-01-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
APOLO,atencion odontologica,endodoncia,2022-01-01,0,1,0,0,0,2,2,2,0,0,0,0,0,0,7
ARAMPAMPA,atencion odontologica,endodoncia,2022-01-01,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2
ARANI,atencion odontologica,endodoncia,2022-01-01,0,0,0,0,0,4,3,2,0,1,0,0,0,0,10
ARBIETO,atencion odontologica,endodoncia,2022-01-01,0,0,1,2,0,1,0,0,0,0,0,0,0,0,4
ARQUE,atencion odontologica,endodoncia,2022-01-01,0,0,1,3,1,0,2,1,0,0,0,0,0,0,8
ASCENCION DE GUARAYOS,atencion odontologica,endodoncia,2022-01-01,2,10,2,6,5,2,1,51,0,0,0,0,0,0,79
