,group,variable,month,RESTAURACIONES MENORES DE 5 AÑOS,RESTAURACIONES MENORES DE 5 AÑOS,RESTAURACIONES 5 A 13 AÑOS,RESTAURACIONES 5 A 13 AÑOS,RESTAURACIONES 14 A 19 AÑOS,RESTAURACIONES 14 A 19 AÑOS,RESTAURACIONES 20 A 59 AÑOS,RESTAURACIONES 20 A 59 AÑOS,RESTAURACIONES 60 AÑOS Y MAS,RESTAURACIONES 60 AÑOS Y MAS,RESTAURACIONES EMB,RESTAURACIONES EMB,RESTAURACIONES POST,RESTAURACIONES POST,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,,,,,,,,,,,,,
ACACIO,atencion odontologica,restauraciones,2022-01-01,3,6,4,17,2,10,3,13,0,0,0,0,0,0,58
ACHACACHI,atencion odontologica,restauraciones,2022-01-01,19,16,41,98,59,35,81,103,18,5,0,0,0,0,475
ACHOCALLA,atencion odontologica,restauraciones,2022-01-01,30,25,48,95,22,51,35,78,5,1,0,0,0,0,390
AIQUILE,atencion odontologica,restauraciones,2022-01-01,0,10,20,23,5,32,36,47,3,0,0,0,0,0,176
ALALAY,atencion odontologica,restauraciones,2022-01-01,1,0,0,0,3,0,4,2,0,0,0,0,0,0,10
ALCALA,atencion odontologica,restauraciones,2022-01-01,4,3,3,9,1,14,5,13,2,0,0,0,0,0,54
ALTO BENI,atencion odontologica,restauraciones,2022-01-01,2,4,19,22,15,21,13,45,1,1,0,0,0,0,143
ANCORAIMES,atencion odontologica,restauraciones,2022-01-01,1,6,0,4,17,4,7,17,7,3,0,0,0,0,66
ANDAMARCA,atencion odontologica,restauraciones,2022-01-01,0,4,11,8,12,22,3,28,4,1,0,0,0,0,93
ANTEQUERA,atencion odontologica,restauraciones,2022-01-01,4,2,0,3,3,0,0,13,0,0,0,0,0,0,25
ANZALDO,atencion odontologica,restauraciones,2022-01-01,0,0,3,5,10,2,10,7,0,0,0,0,0,0,37
APOLO,atencion odontologica,restauraciones,2022-01-01,0,1,6,3,2,9,4,7,1,1,0,0,0,0,34
ARAMPAMPA,atencion odontologica,restauraciones,2022-01-01,1,0,2,1,3,1,6,4,0,0,0,0,0,0,18
ARANI,atencion odontologica,restauraciones,2022-01-01,3,8,10,28,12,27,25,56,0,0,0,0,0,0,169
