,group,variable,month,PERIODONCIA MENORES DE 5 AÑOS,PERIODONCIA MENORES DE 5 AÑOS,PERIODONCIA 5 A 13 AÑOS,PERIODONCIA 5 A 13 AÑOS,PERIODONCIA 14 A 19 AÑOS,PERIODONCIA 14 A 19 AÑOS,PERIODONCIA 20 A 59 AÑOS,PERIODONCIA 20 A 59 AÑOS,PERIODONCIA 60 AÑOS Y MAS,PERIODONCIA 60 AÑOS Y MAS,PERIODONCIA EMB,PERIODONCIA EMB,PERIODONCIA POST,PERIODONCIA POST,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,,,,,,,,,,,,,
ACACIO,atencion odontologica,periodoncia,2022-01-01,0,0,0,0,0,0,1,3,1,0,0,0,0,0,5
ACHACACHI,atencion odontologica,periodoncia,2022-01-01,0,0,0,0,2,1,6,21,3,4,0,0,0,0,37
ACHOCALLA,atencion odontologica,periodoncia,2022-01-01,0,0,1,1,0,4,9,36,4,4,0,0,0,0,59
AIQUILE,atencion odontologica,periodoncia,2022-01-01,0,0,0,2,1,6,2,15,3,0,0,0,0,0,29
ALCALA,atencion odontologica,periodoncia,2022-01-01,0,0,0,0,0,0,1,3,0,0,0,0,0,0,4
ALTO BENI,atencion odontologica,periodoncia,2022-01-01,0,0,1,1,1,0,1,2,0,0,0,0,0,0,6
ANCORAIMES,atencion odontologica,periodoncia,2022-01-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
ANDAMARCA,atencion odontologica,periodoncia,2022-01-01,0,0,0,0,1,3,1,3,8,8,0,0,0,0,24
ANTEQUERA,atencion odontologica,periodoncia,2022-01-01,0,0,0,0,0,2,0,6,0,0,0,0,0,0,8
ANZALDO,atencion odontologica,periodoncia,2022-01-01,0,0,0,0,0,1,3,2,0,0,0,0,0,0,6
APOLO,atencion odontologica,periodoncia,2022-01-01,0,0,0,0,1,0,0,2,0,0,0,0,0,0,3
ARAMPAMPA,atencion odontologica,periodoncia,2022-01-01,0,0,0,0,0,1,2,5,0,1,0,0,0,0,9
ARANI,atencion odontologica,periodoncia,2022-01-01,0,0,0,0,2,0,4,7,0,0,0,0,0,0,13
ARBIETO,atencion odontologica,periodoncia,2022-01-01,0,0,0,0,0,1,4,15,3,4,0,0,0,0,27
