,group,variable,month,CIRUGIA BUCAL MENOR MENORES DE 5 AÑOS,CIRUGIA BUCAL MENOR MENORES DE 5 AÑOS,CIRUGIA BUCAL MENOR 5 A 13 AÑOS,CIRUGIA BUCAL MENOR 5 A 13 AÑOS,CIRUGIA BUCAL MENOR 14 A 19 AÑOS,CIRUGIA BUCAL MENOR 14 A 19 AÑOS,CIRUGIA BUCAL MENOR 20 A 59 AÑOS,CIRUGIA BUCAL MENOR 20 A 59 AÑOS,CIRUGIA BUCAL MENOR 60 AÑOS Y MAS,CIRUGIA BUCAL MENOR 60 AÑOS Y MAS,CIRUGIA BUCAL MENOR EMB,CIRUGIA BUCAL MENOR EMB,CIRUGIA BUCAL MENOR POST,CIRUGIA BUCAL MENOR POST,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,,,,,,,,,,,,,
ACACIO,atencion odontologica,cirugia bucal menor,2022-01-01,0,0,0,4,0,0,1,12,4,3,0,0,0,0,24
ACHACACHI,atencion odontologica,cirugia bucal menor,2022-01-01,3,2,33,32,21,17,37,68,21,25,0,0,0,0,259
ACHOCALLA,atencion odontologica,cirugia bucal menor,2022-01-01,4,5,32,27,9,12,9,25,8,3,0,0,0,0,134
AIQUILE,atencion odontologica,cirugia bucal menor,2022-01-01,0,0,1,5,0,0,0,5,0,0,0,0,0,0,11
ALALAY,atencion odontologica,cirugia bucal menor,2022-01-01,0,0,0,1,0,1,2,8,1,0,0,0,0,0,13
ALCALA,atencion odontologica,cirugia bucal menor,2022-01-01,0,0,6,6,2,7,6,21,1,5,0,0,0,0,54
ALTO BENI,atencion odontologica,cirugia bucal menor,2022-01-01,0,1,7,14,3,4,7,12,5,0,0,0,0,0,53
ANCORAIMES,atencion odontologica,cirugia bucal menor,2022-01-01,1,1,8,6,10,4,5,20,14,7,0,0,0,0,76
ANDAMARCA,atencion odontologica,cirugia bucal menor,2022-01-01,1,0,4,5,2,4,1,4,3,4,0,0,0,0,28
ANTEQUERA,atencion odontologica,cirugia bucal menor,2022-01-01,0,0,0,1,0,0,1,2,0,0,0,0,0,0,4
ANZALDO,atencion odontologica,cirugia bucal menor,2022-01-01,0,0,4,5,0,1,11,9,3,3,0,0,0,0,36
APOLO,atencion odontologica,cirugia bucal menor,2022-01-01,0,3,9,8,4,7,13,13,1,0,0,0,0,0,58
