,group,variable,month,CONSULTA NUEVA MENORES DE 5 AÑOS,CONSULTA NUEVA MENORES DE 5 AÑOS,CONSULTA NUEVA 5 A 13 AÑOS,CONSULTA NUEVA 5 A 13 AÑOS,CONSULTA NUEVA 14 A 19 AÑOS,CONSULTA NUEVA 14 A 19 AÑOS,CONSULTA NUEVA 20 A 59 AÑOS,CONSULTA NUEVA 20 A 59 AÑOS,CONSULTA NUEVA 60 AÑOS Y MAS,CONSULTA NUEVA 60 AÑOS Y MAS,CONSULTA NUEVA EMB,CONSULTA NUEVA EMB,CONSULTA NUEVA POST,CONSULTA NUEVA POST,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,,,,,,,,,,,,,
ACACIO,atencion odontologica,consulta nueva,2022-01-01,8,6,10,41,2,16,8,45,6,5,0,7,0,2,156
ACHACACHI,atencion odontologica,consulta nueva,2022-01-01,31,32,124,172,162,93,164,286,46,64,0,31,0,7,1212
ACHOCALLA,atencion odontologica,consulta nueva,2022-01-01,139,103,150,196,46,99,76,222,32,33,0,36,0,20,1152
AIQUILE,atencion odontologica,consulta nueva,2022-01-01,0,15,31,27,4,30,26,68,6,0,0,7,0,0,214
ALALAY,atencion odontologica,consulta nueva,2022-01-01,4,0,9,12,6,10,22,52,7,12,0,0,0,3,137
ALCALA,atencion odontologica,consulta nueva,2022-01-01,7,6,12,17,4,27,14,34,3,5,0,3,0,1,133
ALTO BENI,atencion odontologica,consulta nueva,2022-01-01,8,14,35,52,25,34,21,74,6,1,0,2,0,0,272
ANCORAIMES,atencion odontologica,consulta nueva,2022-01-01,3,7,12,12,29,9,14,42,21,12,0,0,0,3,164
ANDAMARCA,atencion odontologica,consulta nueva,2022-01-01,26,8,51,23,18,46,13,59,25,35,0,2,0,0,306
ANTEQUERA,atencion odontologica,consulta nueva,2022-01-01,15,8,0,26,10,9,2,31,0,0,0,2,0,0,103
ANZALDO,atencion odontologica,consulta nueva,2022-01-01,0,0,14,21,12,11,32,31,6,5,0,0,0,0,132
APOLO,atencion odontologica,consulta nueva,2022-01-01,7,13,17,18,7,18,20,26,2,1,0,2,0,4,135
ARAMPAMPA,atencion odontologica,consulta nueva,2022-01-01,8,0,16,4,4,6,23,17,2,4,0,1,0,4,89
